,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1809,2.73,2.0,2.49
1812,2.4,2.0,2.43
1814,2.29,2.0,2.2
1821,0.01,0.0,0.0
1826,-0.04,0.0,0.0
1829,-0.01,0.0,0.0
1831,0.57,0.0,-0.05
1833,2.1,1.0,2.01
1835,2.05,2.0,2.35
1847,0.0,0.0,-0.07
1848,-0.0,0.0,-0.04
1851,0.01,0.0,0.0
1854,-0.16,0.0,-0.02
1856,0.48,0.0,-0.18
1863,1.73,2.0,1.47
1869,0.0,0.0,0.01
1871,0.0,0.0,-0.0
1873,-0.0,0.0,-0.0
1874,-0.0,0.0,-0.0
1875,0.0,0.0,0.0
1879,-0.06,0.0,0.01
1880,0.93,0.0,0.09
1881,1.83,2.0,2.69
1884,1.09,1.0,1.35
1886,1.14,1.0,1.45
1900,-0.04,0.0,-0.0
1901,-0.03,0.0,0.0
1902,-0.04,0.0,0.0
1904,0.45,0.0,0.11
1905,1.84,1.0,2.01
1907,1.44,1.0,2.23
1910,1.34,2.0,1.61
1912,1.45,1.0,1.87
1917,-0.02,0.0,-0.02
1918,-0.02,0.0,-0.0
1931,2.5,3.0,2.89
1935,1.63,1.0,1.6
1939,-0.0,0.0,-0.04
1946,0.0,0.0,0.0
1948,0.0,0.0,0.0
1956,0.18,0.0,0.02
1958,-0.06,0.0,0.05
1961,0.6,0.0,-0.0
1969,-0.02,0.0,0.0
1970,0.0,0.0,0.0
1974,-0.03,0.0,0.0
1976,0.24,0.0,0.05
1978,1.69,3.0,2.27
1981,1.66,2.0,1.55
1988,-0.09,0.0,-0.05
1989,-0.05,0.0,-0.03
1990,-0.04,0.0,-0.05
1991,-0.08,0.0,-0.05
1994,-0.04,0.0,0.0
2003,2.82,2.0,2.79
2008,2.45,2.0,2.11
2009,2.21,3.0,1.82
2015,-0.01,0.0,-0.0
2018,-0.01,0.0,-0.0
2021,0.07,0.0,0.0
2027,1.75,3.0,1.81
2028,1.83,2.0,1.83
2030,2.33,2.0,2.03
2037,0.0,0.0,-0.0
2038,0.0,0.0,-0.0
2044,-0.02,0.0,0.0
2045,-0.06,0.0,0.0
2047,0.19,0.0,0.0
