,ì˙ï ,é¿ê—
140,16.26055816028552,16.0
141,16.26055816028552,16.0
142,2.6450401758880866,1.0
143,2.6450401758880866,1.0
144,15.33857555742131,15.0
146,16.26055816028552,19.0
148,16.26055816028552,19.0
149,2.6450401758880866,1.0
151,16.26055816028552,19.0
153,1.0122915279802547,1.0
154,0.9458265375874803,1.0
155,1.0271211360693198,1.0
156,0.49323178485832053,0.0
157,1.466693757000039,1.0
158,0.8790281735187817,1.0
159,1.3896130611218405,1.0
162,4.405065104075386,4.0
164,0.570620231370188,1.0
166,1.7584655736756478,1.0
167,2.7939920772868936,2.0
168,1.802264564273747,1.0
169,1.067860244649461,1.0
171,0.8118951364483095,1.0
172,0.9223896588670628,1.0
173,1.9528901347408258,1.0
174,6.184472462624392,7.0
175,1.8352868641757882,1.0
176,12.112518396218679,9.0
178,1.5290106883706942,1.0
179,1.2254569445623906,1.0
180,1.3546399504281383,1.0
181,1.241053013130807,1.0
183,1.6272845780869214,1.0
184,0.6660276142696704,1.0
187,3.524580331894097,2.0
189,0.9819773008084278,1.0
191,1.059368937192786,1.0
192,1.434385084590369,1.0
193,2.552008573284428,1.0
194,0.9503213333715693,1.0
195,1.0070092472054335,1.0
196,0.7891353509267767,0.0
197,1.072417436630923,1.0
198,0.6131827315746864,1.0
199,1.3737895265592819,1.0
201,1.9314401139100363,1.0
202,1.0468427013736987,1.0
204,3.453809294749505,1.0
205,1.216380757490591,1.0
207,1.5209781681633485,1.0
208,1.2711097844251884,1.0
209,1.4494544041615374,1.0
210,0.9461352640850487,1.0
211,1.3240788399619288,1.0
212,1.2640578464086238,1.0
213,1.1438893374611647,1.0
215,1.4450076094567235,1.0
218,1.343441617830578,1.0
220,1.6154171336659584,2.0
221,1.426110038111841,1.0
222,1.0693433944818829,1.0
224,1.473518287221711,1.0
225,1.4774285082365226,1.0
226,1.199073715537974,1.0
228,1.3209699821534113,1.0
230,2.2900760233708324,1.0
231,2.2755985520910773,2.0
232,2.776169933100669,3.0
234,1.353093596256832,1.0
235,1.947813298498366,2.0
236,1.3304266378257406,1.0
237,4.182438223793042,4.0
239,3.0789329332640207,2.0
240,1.7924288095409788,1.0
241,1.6076183191430085,2.0
242,17.078234199091526,17.0
243,7.179957121871558,9.0
244,2.100712610342807,3.0
245,10.168675986492369,14.0
246,8.637915698456812,8.0
247,1.6898480971249523,1.0
248,1.5497695609100197,1.0
251,16.673237815320224,18.0
252,13.932387745716717,16.0
253,14.37516195150845,17.0
