,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
941,inf,inf
942,inf,inf
943,inf,inf
945,inf,inf
946,3.54,74.25
947,inf,inf
948,inf,inf
952,inf,inf
953,inf,inf
954,72.67,19.04
955,inf,inf
956,inf,inf
958,inf,inf
959,inf,inf
960,inf,inf
961,81.72,4.84
962,inf,inf
963,inf,inf
964,inf,inf
966,inf,inf
968,inf,inf
969,71.73,0.14
970,inf,inf
971,inf,inf
972,inf,inf
974,inf,inf
976,73.26,21.71
977,inf,inf
978,inf,inf
979,inf,inf
980,inf,inf
982,inf,inf
983,inf,inf
986,inf,inf
987,inf,inf
988,inf,inf
989,inf,inf
990,inf,inf
993,inf,inf
994,inf,inf
997,inf,inf
998,inf,inf
999,78.68,35.63
1000,inf,inf
1001,inf,inf
1003,inf,inf
1006,inf,inf
1007,86.58,15.8
1008,inf,inf
1009,inf,inf
1012,inf,inf
1014,71.94,3.19
1015,inf,inf
1017,inf,inf
1020,inf,inf
1021,inf,inf
1022,17.42,53.36
1023,inf,inf
1025,inf,inf
1026,inf,inf
1029,81.47,42.98
1030,inf,inf
1031,inf,inf
1032,inf,inf
1034,inf,inf
1036,inf,inf
1037,79.4,8.09
1038,inf,inf
1041,inf,inf
1042,21.33,8.67
1044,34.7,29.57
1045,28.93,31.14
1048,33.23,20.43
1049,8.88,14.32
1050,inf,inf
1051,75.78,52.25
1052,inf,inf
1053,inf,inf
1055,inf,inf
1056,inf,inf
1057,inf,inf
1058,inf,inf
1059,86.17,3.06
1060,inf,inf
1061,inf,inf
1062,inf,inf
1063,inf,inf
1065,inf,inf
1067,59.18,37.0
1068,inf,inf
1069,inf,inf
1070,inf,inf
1071,inf,inf
1072,inf,inf
1079,inf,inf
1081,inf,inf
1082,inf,inf
1083,inf,inf
1084,87.69,3.06
1085,inf,inf
1088,inf,inf
1089,inf,inf
1090,inf,inf
1091,inf,inf
1093,inf,inf
1094,inf,inf
1095,inf,inf
1096,inf,inf
1097,inf,inf
1100,69.33,64.95
1101,inf,inf
1103,inf,inf
1104,inf,inf
1105,inf,inf
1106,inf,inf
1108,83.27,3.38
1110,inf,inf
1111,inf,inf
1112,inf,inf
1113,6.93,8.49
1114,30.29,33.36
1116,25.94,35.17
1118,3.24,11.89
1120,11.07,19.71
1121,25.18,17.66
1122,inf,inf
1124,37.83,73.75
1125,inf,inf
1126,inf,inf
1127,inf,inf
1128,inf,inf
1129,inf,inf
1130,inf,inf
1131,inf,inf
1133,inf,inf
1135,inf,inf
1138,5.08,2.15
1139,1.1,1.57
1140,72.53,95.61
1143,21.38,6.92
1145,57.74,17.73
1147,inf,inf
1148,inf,inf
1150,61.89,10.14
1153,inf,inf
1156,inf,inf
1158,82.69,11.9
1159,59.27,39.4
1162,58.87,45.17
1164,37.81,41.57
1165,1.32,17.15
1166,47.03,33.4
1167,28.93,33.04
1168,0.75,2.2
1171,inf,inf
1172,inf,inf
1173,69.62,51.7
1174,inf,inf
1177,inf,inf
1179,inf,inf
1180,inf,inf
1181,68.1,7.72
1182,inf,inf
1183,inf,inf
1184,inf,inf
1185,19.48,31.08
1186,25.76,14.19
1188,8.9,0.13
1189,20.0,2.38
1191,36.19,37.92
1193,41.64,41.32
1195,inf,inf
1196,inf,inf
1197,inf,inf
1198,inf,inf
1200,inf,inf
1201,89.35,0.1
1202,inf,inf
1203,inf,inf
