COP,•‰‰×—¦
2.741935484,0.17
2.608695652,0.24
3.40625,0.218
3.069767442,0.264
3.518518519,0.19
3.740740741,0.202
2.428571429,0.17
1.733333333,0.052
2.5,0.02
3,0.006
2.583333333,0.062
2.318181818,0.102
2.047619048,0.086
2.416666667,0.116
3.066666667,0.092
3.8,0.152
4,0.128
3.684210526,0.14
4.142857143,0.116
3.4,0.034
3.3125,0.106
3.352941176,0.114
3.363636364,0.074
3,0.03
2.19047619,0.092
3.285714286,0.046
3.461538462,0.09
2.666666667,0.032
3.416666667,0.082
3.357142857,0.094
3.384615385,0.088
3.285714286,0.23
3.047619048,0.128
2.974358974,0.232
3.076923077,0.08
3,0.024
3.9,0.078
3.375,0.054
3.857142857,0.054
1.176470588,0.04
2.411764706,0.328
2.919354839,0.362
3.43902439,0.282
2.672727273,0.294
1.588235294,0.054
1.6,0.048
2.25,0.018
2.659574468,0.25
3.166666667,0.076
3.23255814,0.278
3.5,0.042
1.166666667,0.014
1.533333333,0.046
1.8,0.018
4.076923077,0.106
2.666666667,0.096
2.641025641,0.206
3.259259259,0.176
3.260869565,0.15
3,0.024
2.666666667,0.016
3.5,0.042
2.6,0.13
1.466666667,0.044
1.666666667,0.05
1.6,0.048
1.6,0.048
1.533333333,0.046
1.6,0.048
2.037037037,0.11
1.666666667,0.05
3.5,0.028
3.5625,0.114
3.444444444,0.124
2.75,0.396
2.610169492,0.308
2.117647059,0.072
3.014285714,0.422
3.145454545,0.346
2.347826087,0.108
3.192982456,0.364
2.565217391,0.236
3.35483871,0.208
2.333333333,0.098
1.75,0.056
6,0.012
3.142857143,0.132
3,0.102
2.454545455,0.054
2.192307692,0.114
2.033333333,0.122
2,0.008
3.846153846,0.1
3.857142857,0.108
3.692307692,0.096
3.384615385,0.088
3,0.156
3.571428571,0.05
2,0.004
3.588235294,0.122
3,0.018
1.777777778,0.032
1.6,0.048
1.6,0.048
1.625,0.026
1.733333333,0.052
1.5,0.042
1.642857143,0.046
1.571428571,0.044
1.571428571,0.044
1.571428571,0.044
1.5,0.042
3.333333333,0.14
4.5,0.126
4.384615385,0.114
3.8,0.076
2.848484848,0.188
3.033333333,0.182
2.884615385,0.15
2.72,0.136
2.323529412,0.158
1.666666667,0.01
3.5,0.084
1.428571429,0.04
1.733333333,0.052
1.857142857,0.052
2.173913043,0.1
1.571428571,0.044
1.642857143,0.046
1.615384615,0.042
1.833333333,0.022
3.166666667,0.114
3.058823529,0.312
4.535714286,0.254
3.487804878,0.286
1.461538462,0.038
1.538461538,0.04
3.4,0.102
1.538461538,0.04
3.333333333,0.04
4,0.016
3.4,0.068
2.6875,0.172
3.4,0.034
3.2,0.032
3.142857143,0.088
3.214285714,0.09
3.1,0.062
3,0.006
2.692307692,0.14
3,0.084
3.3,0.066
3.538461538,0.092
3.333333333,0.02
3.636363636,0.08
3.625,0.116
2.804878049,0.23
3.32,0.166
2.476190476,0.104
2.224137931,0.258
2.739130435,0.126
1.533333333,0.046
1.642857143,0.046
1.714285714,0.048
1.714285714,0.048
1.882352941,0.064
1.714285714,0.048
3.666666667,0.088
3.5,0.098
3.2,0.096
2.909090909,0.064
1.619047619,0.068
1.533333333,0.046
1.5625,0.05
1.533333333,0.046
1.642857143,0.046
1.642857143,0.046
1.666666667,0.05
1.882352941,0.064
2,0.004
1.5,0.006
1.4375,0.046
1.666666667,0.05
1.666666667,0.05
1.533333333,0.046
1.642857143,0.046
1.6,0.048
1.933333333,0.116
1.714285714,0.048
1.642857143,0.046
1.6,0.048
1.714285714,0.048
1.714285714,0.048
2,0.02
1.571428571,0.044
1.962962963,0.106
1.642857143,0.046
1.571428571,0.044
1.5,0.042
1.571428571,0.044
1.5,0.042
1.5,0.042
2,0.1
1.571428571,0.044
1.538461538,0.04
1.538461538,0.04
5,0.02
4.384615385,0.114
3.916666667,0.094
3.083333333,0.148
1.5,0.042
1.642857143,0.046
1.571428571,0.044
3.130434783,0.144
2.884615385,0.15
3.625,0.116
3.875,0.062
4,0.024
3.085714286,0.432
3.081632653,0.302
2.921052632,0.222
3.428571429,0.192
3.551724138,0.206
3.111111111,0.224
3.586206897,0.208
2.926829268,0.24
3,0.066
4.25,0.136
3.75,0.09
4,0.04
1.666666667,0.02
1.533333333,0.046
1.428571429,0.02
1.333333333,0.016
1.705882353,0.058
1.428571429,0.04
1.6,0.048
1.533333333,0.046
2.111111111,0.076
3.03030303,0.2
2.870967742,0.178
3.346153846,0.174
3.068965517,0.178
3.384615385,0.176
3.346153846,0.174
3.333333333,0.18
2,0.004
1.8,0.018
1.625,0.052
1.5625,0.05
1.625,0.052
1.882352941,0.064
2.363636364,0.104
2.020618557,0.392
3.129032258,0.194
1.642857143,0.046
1.5,0.042
2.672727273,0.294
4,0.224
1,0.006
2,0.096
2.210526316,0.084
2.333333333,0.07
3.125,0.1
1.642857143,0.046
1.571428571,0.044
1.615384615,0.042
1.47826087,0.068
1.428571429,0.04
3.2,0.032
2.833333333,0.034
2.083333333,0.05
2.782608696,0.128
2.558823529,0.174
3.277777778,0.118
3.352941176,0.114
2.8125,0.09
3.466666667,0.104
2.466666667,0.148
2.5,0.07
1.571428571,0.044
1.733333333,0.052
2.666666667,0.096
2.413043478,0.222
2.791666667,0.134
3.285714286,0.046
3.285714286,0.046
3.272727273,0.072
2.916666667,0.07
2.645833333,0.254
3.5625,0.114
3.764705882,0.128
3.769230769,0.098
3,0.03
3.6,0.036
3.3125,0.106
3.692307692,0.096
3.916666667,0.094
3.384615385,0.088
3.222222222,0.058
3.1,0.062
1.75,0.07
1.533333333,0.046
1.533333333,0.046
1.466666667,0.044
1.466666667,0.044
1.666666667,0.05
1.666666667,0.05
1.8125,0.058
1.7,0.034
1.5,0.006
1.428571429,0.04
1.538461538,0.04
1.461538462,0.038
1.461538462,0.038
1.384615385,0.036
1.384615385,0.036
0.846153846,0.044
1.384615385,0.036
1.384615385,0.036
1.384615385,0.036
1.384615385,0.036
1.5,0.018
1.461538462,0.038
1.357142857,0.038
2.75,0.11
4.2,0.126
4.357142857,0.122
4.384615385,0.114
4.416666667,0.106
2.923076923,0.152
1.307692308,0.034
1.307692308,0.034
3.363636364,0.074
3.583333333,0.086
3.583333333,0.086
3.588235294,0.122
2.36,0.118
1.384615385,0.036
1.384615385,0.036
1.307692308,0.034
1.230769231,0.032
1.307692308,0.034
1.416666667,0.034
1.846153846,0.048
1.538461538,0.04
1.461538462,0.038
1.615384615,0.042
1.461538462,0.038
1.384615385,0.036
1.461538462,0.038
1.75,0.014
4,0.04
2.666666667,0.032
3.285714286,0.046
1.538461538,0.04
1.692307692,0.044
1.642857143,0.046
1.4,0.014
1.555555556,0.028
1.428571429,0.04
1.538461538,0.04
1.8,0.054
1.615384615,0.042
2,0.016
1.5,0.018
1.571428571,0.044
1.5,0.042
1.8,0.036
3.285714286,0.046
3.068965517,0.178
3.333333333,0.1
3,0.054
3,0.03
1.333333333,0.008
1.615384615,0.042
1.333333333,0.04
1.666666667,0.05
1,0.054
1.5,0.042
1.461538462,0.038
1.461538462,0.038
1.461538462,0.038
1.461538462,0.038
3.071428571,0.086
2.772727273,0.122
3.076923077,0.08
3.307692308,0.086
2.666666667,0.08
1.714285714,0.048
1.642857143,0.046
1.571428571,0.044
1.814814815,0.098
1.538461538,0.04
1.615384615,0.042
4,0.008
4,0.12
3.8,0.114
2.882352941,0.196
3.722222222,0.134
3.642857143,0.102
3.642857143,0.102
4.333333333,0.104
3.192307692,0.166
1.615384615,0.042
1.461538462,0.038
1.384615385,0.036
3.461538462,0.09
4.071428571,0.114
2.066666667,0.062
2.111111111,0.114
1.642857143,0.046
1.666666667,0.05
1.666666667,0.05
1.666666667,0.05
1.642857143,0.046
1.625,0.026
