,éûçèï ,é¿ê—
911,0.06465368595550533,0.0
912,0.09096221998552924,0.0
916,0.036372665187087753,0.0
919,0.03325188623647183,0.0
923,-0.054840177970158596,0.0
926,-0.05804038661254735,0.0
933,0.08465002074204694,0.0
936,0.0895199944251724,0.0
937,0.055639039603065384,0.0
938,0.04376205341310827,0.0
942,0.039175504882359505,0.0
943,-0.31971603585748853,0.0
953,0.06316412535965892,0.0
959,0.039944546252040955,0.0
964,0.04054173178258903,0.0
968,0.06976439916669415,0.0
973,0.0967551559873962,0.0
977,0.08028305186513014,0.0
979,0.08450367541758955,0.0
981,0.07579283749115423,0.0
985,0.0920224087498059,0.0
986,0.08760468991371795,0.0
991,0.05113671806628554,0.0
992,0.07667633417613494,0.0
993,0.03827828039880603,0.0
995,0.07201248564700777,0.0
998,0.1292741589064204,0.0
1004,0.09903014184722121,0.0
1008,0.05903316570391734,0.0
1010,0.06072692085819798,0.0
1013,0.07280781143580105,0.0
1016,0.14823880548158397,0.0
1028,0.03831624195398862,0.0
1029,0.015555319213569913,0.0
1030,0.01819083270578914,0.0
1035,0.056060872263873324,0.0
1037,0.036640823503522116,0.0
1041,0.05714959137848664,0.0
1042,0.0751339524679197,0.0
1045,0.32029262860934576,0.0
1047,0.23164423771123163,1.0
1049,0.05133863325743245,0.0
1058,0.06234505751351962,0.0
1060,0.03588018554151081,0.0
1061,0.04121238084169445,0.0
1065,0.04642203114640574,0.0
1074,0.1139451836747532,0.0
1082,0.05022205390102239,0.0
1083,0.04225166555834231,0.0
1084,0.05668688952780116,0.0
1086,0.08113170834132673,0.0
1087,0.07950995781072577,0.0
1089,0.0982099792559821,0.0
1090,0.09535256772965202,0.0
1092,0.0720605327950354,1.0
1093,0.055652997253932836,0.0
1094,0.08418682882050067,0.0
1095,0.11059845469337468,0.0
1096,0.12183371154401307,0.0
1103,0.10154015271963177,0.0
1106,0.04991897256255056,0.0
1109,0.3032166266965299,0.0
1110,0.40255800569652994,0.0
1111,-0.005936685493015165,0.0
1124,0.010314173655289546,0.0
1125,0.08594528237357418,0.0
1127,0.05606416651905162,0.0
1130,0.09649296840670872,0.0
1132,0.12136307939309465,0.0
1140,0.05609184771445308,0.0
1148,0.026665141256627594,0.0
1150,0.08360182676615029,0.0
1155,0.08323584581758557,0.0
1157,0.08323584581758557,0.0
1158,0.0811058081903483,0.0
1161,0.17590489583009214,0.0
1163,0.012359581819268587,0.0
1167,0.05677746749606796,0.0
1170,0.03307822756658766,0.0
1171,0.0502240363501777,0.0
1172,0.09239666126784056,0.0
1178,0.019302580171355256,0.0
1180,0.018634405094487258,0.0
1181,0.022219230279320504,1.0
1183,0.04309548036578242,0.0
1184,0.1363290636150065,0.0
1192,0.13950686251583264,0.0
1194,0.06014190237379481,0.0
1198,0.03352949551490124,0.0
1203,0.10259534144217979,0.0
1204,0.10407284858524873,0.0
1207,0.03728942550071898,0.0
1208,0.1425689441629639,0.0
1211,0.05359896255076901,0.0
1213,0.3148858261079714,0.0
1218,0.13841444007462214,0.0
1222,0.0627737756416134,0.0
1223,0.07748833448036074,0.0
1226,0.0644319251373931,0.0
1235,0.09157343362260806,0.0
1239,0.061642387511447495,0.0
1242,0.0625218320292465,0.0
1243,0.07707979363100005,0.0
1244,0.061541683898961135,0.0
1246,0.014759991686792352,0.0
1247,0.02387950598689908,0.0
1251,0.05389035488356658,0.0
1256,0.048185375959494514,0.0
1262,0.01244919026793485,0.0
1268,0.036181904974451326,0.0
1270,0.062200948037003684,1.0
1273,0.0774455284574142,0.0
1275,0.026056998049133494,0.0
1276,0.07929063543944463,0.0
1277,0.04763056509691507,0.0
1279,0.0704511402263269,0.0
1292,0.09046412493707119,0.0
1295,0.05850584991072835,0.0
1296,0.058823660178205235,0.0
1308,0.7711674604464395,0.0
1310,0.29415036600018185,0.0
1312,0.09740289471822139,0.0
1316,0.0491272612811118,0.0
1320,0.08992340116227292,0.0
1324,0.0899706514210212,0.0
1327,-0.05898279051147256,0.0
1337,0.22353763711577634,0.0
1341,0.09189057511653874,0.0
1346,0.0458444247341772,0.0
1350,0.07121538073146227,0.0
1362,0.019856462844435773,0.0
1363,0.0730467350917295,0.0
1364,0.041394119748070855,0.0
1368,0.11800273638649404,0.0
1369,0.10176285724099061,0.0
1375,0.043809221287601785,0.0
1377,0.09433219383454688,0.0
1381,0.08713043022342089,0.0
1385,0.07823215355844307,0.0
1388,0.0997691171790633,0.0
1390,0.07036360512589866,0.0
1392,0.06743363465531432,0.0
1393,0.023576676757838786,0.0
1397,0.06888148889280914,0.0
1401,0.09929124417078364,0.0
1403,0.041920769866184676,0.0
1404,0.0036567156870319067,0.0
1405,-0.07049041884944975,0.0
1406,-0.15792037750221466,0.0
1407,-0.05638441873575556,0.0
1408,0.08380178598729304,0.0
1409,0.02131305038379921,0.0
1410,0.06462472629494297,0.0
1420,0.038249013525469056,0.0
1423,0.1126505877678614,0.0
1431,0.16962471271755253,0.0
1437,0.08579320364821229,0.0
1438,0.09636189741391941,0.0
1450,0.05864905259535662,0.0
1451,0.024580560051244787,0.0
1453,-0.12036280990063836,0.0
1458,0.14606098913815022,0.0
1465,0.017633246167953975,0.0
1467,0.011963327509398066,0.0
1471,0.038640093764348425,0.0
1473,0.05551759801428248,0.0
1475,0.5350765020674039,0.0
1478,0.05285464874333738,0.0
1482,0.12790354423671585,0.0
1487,0.06087410735181199,0.0
1489,0.05104906957106686,0.0
1491,0.0468015300275856,1.0
1492,0.0468015300275856,0.0
1494,0.04333471442542175,0.0
1497,0.1308735867960099,0.0
1500,0.5565436955029297,0.0
1504,0.14255968821704273,0.0
1505,0.16739847729076995,0.0
1508,0.06740394327988523,0.0
1511,0.08097638243746828,0.0
1513,0.0360840732852638,0.0
1523,0.029950432304582414,0.0
1526,0.43926657501189276,1.0
1527,0.16795119633527159,1.0
