,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1206,9.43,110.47
1207,inf,inf
1208,0.49,9.64
1209,3.77,7.72
1212,3.99,8.31
1215,2.59,5.2
1218,4.66,12.51
1219,2.03,4.11
1220,16.14,63.55
1221,10.89,23.5
1222,inf,inf
1223,37.15,219.04
1225,inf,inf
1226,inf,inf
1227,inf,inf
1228,inf,inf
1230,inf,inf
1232,0.32,1.15
1233,1.24,22.9
1234,15.39,42.97
1236,0.68,3.73
1237,1.68,3.56
1238,0.34,3.7
1239,0.7,1.82
1240,1.7,3.44
1241,0.9,1.43
1242,6.42,5.1
1243,3.44,13.82
1244,11.3,7.55
1245,1.48,5.48
1246,inf,inf
1247,inf,inf
1250,inf,inf
1251,inf,inf
1252,inf,inf
1253,inf,inf
1254,12.78,84.69
1255,inf,inf
1256,5.78,12.47
1257,1.0,3.48
1259,1.19,3.71
1262,0.93,6.94
1263,0.95,0.7
1265,2.79,7.23
1266,10.54,12.97
1267,4.95,8.24
1268,inf,inf
1269,inf,inf
1272,inf,inf
1274,inf,inf
1277,inf,inf
1278,inf,inf
1279,inf,inf
1281,23.1,77.55
1282,7.56,19.4
1283,5.95,6.74
1284,4.91,10.05
1285,5.06,1.45
1286,4.43,6.42
1287,2.13,2.95
1289,0.99,4.64
1290,15.66,59.69
1291,inf,inf
1292,inf,inf
1293,inf,inf
1294,inf,inf
1296,48.12,33.65
1297,inf,inf
1298,inf,inf
1299,inf,inf
1301,53.32,50.07
1303,inf,inf
1304,inf,inf
1305,9.36,0.92
1306,1.26,5.57
1309,1.12,2.12
1312,1.15,3.65
1315,inf,inf
1317,inf,inf
1318,inf,inf
1319,18.11,21.44
1320,inf,inf
1322,inf,inf
1323,inf,inf
1324,inf,inf
1325,36.77,16.95
1327,1.0,0.32
1328,1.81,0.73
1329,3.1,4.05
1332,1.03,4.03
1333,0.71,3.71
1334,0.84,4.6
1335,0.28,2.48
1336,2.44,0.32
1337,4.91,8.24
1338,8.47,24.43
1339,8.29,4.71
1340,41.41,145.0
1341,16.73,6.11
1342,inf,inf
1346,inf,inf
1348,inf,inf
1349,inf,inf
1350,2.95,40.23
1351,inf,inf
1352,6.83,14.36
1353,2.94,9.62
1355,0.06,1.6
1357,4.12,15.22
1359,1.32,3.8
1360,1.05,3.68
1361,1.5,6.12
1362,5.39,86.47
1363,5.05,3.27
1364,3.77,31.44
1366,inf,inf
1367,inf,inf
1368,inf,inf
1370,inf,inf
1371,inf,inf
1373,inf,inf
1374,2.77,14.44
1375,7.19,19.12
1376,2.87,13.37
1377,4.13,6.84
1379,0.92,2.13
1380,0.87,1.14
1382,4.55,8.77
1383,0.83,0.57
1385,0.52,7.56
1386,inf,inf
1387,inf,inf
1388,6.98,7.51
1389,7.95,0.14
1390,inf,inf
1394,inf,inf
1395,inf,inf
1396,inf,inf
1397,inf,inf
1398,46.13,212.82
1399,inf,inf
1400,6.23,14.8
1401,1.78,1.7
1402,1.94,3.04
1406,1.88,5.0
1407,0.94,7.67
1408,0.07,4.39
1412,0.54,9.39
1414,12.82,114.52
1416,inf,inf
1417,inf,inf
1418,inf,inf
1420,10.33,33.97
1422,inf,inf
1423,12.48,6.46
1424,9.3,18.55
1425,2.41,7.38
1426,0.14,1.69
1428,1.1,4.7
1429,3.46,2.46
1430,1.8,1.47
1431,0.63,3.21
1432,0.63,5.73
1433,1.13,5.03
1434,inf,inf
1435,10.6,37.37
1436,5.69,4.65
1437,11.34,23.42
1439,inf,inf
1440,inf,inf
1441,inf,inf
1442,inf,inf
1443,68.45,13.44
1444,inf,inf
1445,inf,inf
1446,inf,inf
1449,0.35,4.33
1450,1.92,0.65
1451,0.83,0.74
1455,1.09,1.16
1456,2.22,1.54
1458,inf,inf
1461,18.0,156.35
1462,inf,inf
1463,inf,inf
1464,inf,inf
1465,inf,inf
1466,inf,inf
1468,inf,inf
1469,37.64,15.26
1470,inf,inf
1471,inf,inf
1472,inf,inf
1473,inf,inf
1474,19.51,75.66
1475,inf,inf
1476,inf,inf
1477,inf,inf
1479,inf,inf
1480,28.61,64.24
1481,inf,inf
1482,inf,inf
1485,55.81,21.27
1486,inf,inf
1487,inf,inf
1489,inf,inf
1492,inf,inf
1493,inf,inf
1494,inf,inf
1495,inf,inf
1496,inf,inf
1498,inf,inf
1499,inf,inf
1501,inf,inf
1502,33.77,70.3
1504,inf,inf
1505,inf,inf
1507,inf,inf
1508,48.84,8.64
1509,inf,inf
1510,inf,inf
1511,inf,inf
1512,inf,inf
1513,47.03,2.39
1514,inf,inf
1515,inf,inf
1516,inf,inf
1517,inf,inf
1520,0.08,83.39
1521,2.43,15.55
1522,7.35,8.59
1523,0.85,1.98
1524,2.15,15.6
1526,5.96,9.33
1529,10.52,10.01
1531,inf,inf
1532,inf,inf
1533,inf,inf
1536,inf,inf
1537,inf,inf
1538,inf,inf
1541,inf,inf
1543,inf,inf
1545,20.01,25.32
1548,5.43,4.01
1549,4.68,4.29
1550,4.68,1.82
1551,3.07,3.07
1552,1.0,5.35
1554,inf,inf
1555,inf,inf
1557,inf,inf
1558,49.24,7.73
1561,inf,inf
1562,inf,inf
1563,54.84,8.18
1564,inf,inf
1566,inf,inf
1567,inf,inf
1568,3.78,4.55
1569,6.94,1.22
1570,3.61,5.14
1571,0.64,1.35
1573,1.47,1.39
1574,1.66,2.27
1576,5.75,9.6
1577,3.94,12.64
1578,inf,inf
1580,inf,inf
1581,inf,inf
1582,inf,inf
1584,inf,inf
1585,64.52,17.82
1586,inf,inf
1587,inf,inf
1588,inf,inf
1589,inf,inf
1590,inf,inf
1591,50.3,47.92
1592,inf,inf
1593,5.21,14.1
1594,3.05,65.98
1595,inf,inf
1596,inf,inf
1597,inf,inf
1598,inf,inf
1599,36.75,169.6
1601,inf,inf
1602,inf,inf
1603,inf,inf
1604,inf,inf
1606,inf,inf
1607,inf,inf
1608,inf,inf
1609,inf,inf
1611,inf,inf
1613,inf,inf
1614,inf,inf
1616,15.62,7.46
1617,inf,inf
1619,inf,inf
1620,inf,inf
1622,inf,inf
1623,inf,inf
1625,inf,inf
1626,inf,inf
1627,6.59,21.91
1628,inf,inf
1630,inf,inf
1631,inf,inf
1632,inf,inf
1633,39.62,3.23
1634,inf,inf
1635,inf,inf
1638,47.89,0.83
1640,inf,inf
1643,inf,inf
1644,22.16,41.06
1646,inf,inf
1648,inf,inf
1650,inf,inf
1651,inf,inf
1653,inf,inf
1654,inf,inf
1655,46.29,6.02
1656,inf,inf
1657,inf,inf
1658,inf,inf
1659,inf,inf
1660,74.62,7.89
1661,inf,inf
1662,inf,inf
1663,inf,inf
1664,6.25,17.5
1666,1.05,7.24
1667,0.31,2.17
1670,1.13,3.96
1671,2.86,8.84
1672,2.98,9.14
1674,4.37,8.25
1675,15.92,26.1
1676,inf,inf
1677,22.26,101.22
1678,inf,inf
1679,inf,inf
1681,inf,inf
1682,59.42,10.52
1683,inf,inf
1684,inf,inf
1685,inf,inf
1688,0.78,7.72
1689,1.57,0.12
1693,1.82,0.48
1694,1.03,1.68
1695,2.39,6.51
1697,0.17,4.94
1698,5.1,76.31
1699,inf,inf
1700,inf,inf
1704,inf,inf
1705,inf,inf
1706,inf,inf
1707,inf,inf
1708,inf,inf
1709,15.14,12.03
1710,inf,inf
1711,2.69,6.61
1713,2.28,10.75
1714,5.51,12.74
1716,0.74,10.22
1717,1.49,0.36
1718,7.58,24.98
1722,inf,inf
1723,inf,inf
1724,50.22,24.79
1725,inf,inf
1726,inf,inf
1727,inf,inf
1728,inf,inf
1729,inf,inf
1730,48.85,6.57
1731,inf,inf
1732,inf,inf
1734,inf,inf
1735,29.36,6.05
1736,4.1,5.46
1738,0.35,7.42
1740,0.49,0.88
1741,1.44,1.57
1744,0.02,2.49
1745,3.32,11.56
1747,21.14,122.71
1748,5.44,40.7
1750,inf,inf
1751,inf,inf
1752,inf,inf
1753,inf,inf
1754,43.16,32.78
1756,inf,inf
1757,inf,inf
1758,inf,inf
1759,inf,inf
1761,inf,inf
1762,inf,inf
1764,inf,inf
1766,24.27,90.31
1767,inf,inf
1768,inf,inf
1769,inf,inf
1770,inf,inf
1771,43.35,10.3
1772,inf,inf
1773,inf,inf
1775,inf,inf
1776,inf,inf
1777,52.12,0.04
1779,inf,inf
1780,inf,inf
1782,51.32,9.93
1783,inf,inf
1784,inf,inf
1785,inf,inf
1786,inf,inf
1787,inf,inf
1788,4.2,72.26
1789,inf,inf
1790,inf,inf
1791,inf,inf
1792,inf,inf
1793,15.35,101.14
1795,inf,inf
1797,inf,inf
1798,inf,inf
1799,48.57,33.57
1801,inf,inf
1802,inf,inf
1803,inf,inf
1804,65.54,4.2
1805,inf,inf
1806,inf,inf
1807,inf,inf
1808,1.02,68.83
1810,1.51,7.39
1811,18.38,27.38
1812,5.28,18.87
1813,2.02,17.57
1815,4.49,11.14
1817,1.68,1.43
1818,13.25,55.69
1820,inf,inf
1821,inf,inf
1822,inf,inf
1823,inf,inf
1824,20.1,16.49
1825,inf,inf
1826,inf,inf
1827,inf,inf
1828,inf,inf
1829,56.28,8.74
1830,inf,inf
1831,inf,inf
1833,2.9,16.83
1834,2.33,7.57
1836,3.11,41.68
1838,3.0,1.81
1839,0.07,0.42
1840,5.44,13.05
1841,4.83,15.36
1843,inf,inf
1844,inf,inf
1845,inf,inf
1846,inf,inf
1847,34.88,16.0
1848,inf,inf
1849,inf,inf
1850,inf,inf
1851,inf,inf
1852,inf,inf
1854,inf,inf
1855,inf,inf
1856,0.92,8.1
1858,4.14,3.35
1859,5.07,15.83
1860,2.25,6.1
1864,8.81,17.13
1865,6.62,11.96
1866,11.42,36.71
1868,inf,inf
1869,inf,inf
1870,inf,inf
1871,35.15,11.39
1872,inf,inf
1874,inf,inf
1875,inf,inf
1876,inf,inf
1877,52.96,6.39
1880,33.08,15.78
1882,9.14,20.74
1883,4.87,17.24
1886,0.54,12.94
1888,21.63,10.28
1891,inf,inf
1895,inf,inf
1896,inf,inf
1897,52.18,8.68
1898,inf,inf
1899,inf,inf
1900,inf,inf
1901,inf,inf
1902,inf,inf
1903,19.73,4.46
1905,17.24,19.11
1906,inf,inf
1908,21.13,27.72
1910,26.43,25.97
1912,33.64,125.6
1913,inf,inf
1916,inf,inf
1917,inf,inf
1918,41.25,11.4
1919,inf,inf
1920,inf,inf
1921,inf,inf
1922,inf,inf
1923,51.17,6.4
1926,inf,inf
1927,inf,inf
1928,inf,inf
1929,9.27,72.3
1930,inf,inf
1933,50.4,129.83
1935,10.74,10.82
1936,1.65,3.93
1937,5.08,10.17
1939,inf,inf
1940,inf,inf
1942,56.93,41.93
1943,inf,inf
1944,inf,inf
1947,35.13,7.93
1948,inf,inf
1949,inf,inf
1951,inf,inf
1953,31.63,62.52
1954,inf,inf
1955,14.19,33.27
1956,6.81,11.4
1957,1.38,4.83
1958,7.73,8.61
1959,5.31,9.71
1960,12.75,11.81
1961,13.55,22.83
1962,inf,inf
1963,inf,inf
1964,inf,inf
1965,inf,inf
1967,inf,inf
1968,inf,inf
1969,inf,inf
1972,inf,inf
1973,inf,inf
1975,42.91,4.68
1976,33.88,22.51
1977,inf,inf
1978,inf,inf
1979,inf,inf
1981,17.55,122.35
1982,inf,inf
1985,inf,inf
1986,21.93,16.0
1987,inf,inf
1989,inf,inf
1990,inf,inf
1991,inf,inf
1992,37.6,8.72
1994,inf,inf
1995,inf,inf
1996,inf,inf
1997,39.43,3.48
1999,inf,inf
2001,inf,inf
2002,inf,inf
2003,15.26,27.94
2005,13.29,87.7
2006,5.82,20.78
2007,7.74,1.22
2009,12.41,28.5
2010,inf,inf
2011,inf,inf
2013,inf,inf
2014,68.84,3.42
2016,inf,inf
2018,inf,inf
2019,inf,inf
2020,65.61,19.83
2021,inf,inf
2022,inf,inf
2025,inf,inf
2026,11.24,133.54
2027,15.01,4.56
2028,10.29,30.59
2029,1.39,8.49
2030,2.79,20.19
2032,10.32,3.88
2036,inf,inf
2037,inf,inf
2039,inf,inf
2040,inf,inf
2041,inf,inf
2042,inf,inf
2043,63.49,10.9
2044,inf,inf
2045,inf,inf
2046,inf,inf
2049,inf,inf
2051,inf,inf
2052,inf,inf
2053,18.21,17.59
2056,6.4,62.69
2057,56.23,116.2
2059,inf,inf
