,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
684,49.99,55.69,4.43,2.58
685,59.36,58.87,10.31,1.9
686,6.72,1.37,6.05,8.07
687,10.21,14.55,9.3,10.49
688,1.61,8.95,14.08,13.36
690,66.98,70.67,2.25,0.27
691,inf,inf,inf,inf
692,inf,inf,inf,inf
693,inf,inf,inf,inf
695,inf,inf,inf,inf
696,64.23,64.68,1.36,2.28
697,61.15,64.63,1.36,2.58
698,inf,inf,inf,inf
699,inf,inf,inf,inf
700,inf,inf,inf,inf
701,inf,inf,inf,inf
702,inf,inf,inf,inf
703,27.81,17.78,3.39,2.0
704,2.27,19.28,3.72,2.69
705,1.0,7.42,3.94,4.24
706,0.47,8.68,3.58,3.95
707,7.16,16.84,3.58,3.95
708,7.65,41.59,3.58,10.55
710,41.07,38.39,3.06,1.08
711,47.21,42.98,0.41,2.0
712,inf,inf,inf,inf
713,55.87,54.41,2.79,3.72
714,75.17,74.82,1.96,1.21
715,63.36,66.89,3.02,1.17
716,inf,inf,inf,inf
717,inf,inf,inf,inf
718,inf,inf,inf,inf
719,inf,inf,inf,inf
721,inf,inf,inf,inf
722,62.79,61.32,0.62,0.94
723,inf,inf,inf,inf
724,inf,inf,inf,inf
726,inf,inf,inf,inf
727,35.34,42.26,1.25,2.31
728,37.1,27.86,1.25,2.31
729,56.98,52.81,0.91,2.31
730,inf,inf,inf,inf
731,3.59,0.62,3.31,5.23
732,13.42,19.86,6.41,6.34
733,41.21,42.91,5.15,2.43
736,0.82,8.38,2.61,3.89
737,50.88,53.7,1.78,2.36
738,inf,inf,inf,inf
739,49.6,67.12,0.27,0.77
742,inf,inf,inf,inf
743,inf,inf,inf,inf
744,inf,inf,inf,inf
746,inf,inf,inf,inf
747,inf,inf,inf,inf
748,62.79,63.01,1.41,1.25
749,51.45,63.86,1.41,1.25
750,inf,inf,inf,inf
754,4.76,6.78,5.3,5.38
755,4.06,1.97,7.57,4.83
757,14.72,15.67,7.38,6.51
760,14.61,26.02,3.82,2.79
761,20.29,25.95,3.12,2.55
762,inf,inf,inf,inf
766,inf,inf,inf,inf
768,inf,inf,inf,inf
772,inf,inf,inf,inf
773,inf,inf,inf,inf
775,inf,inf,inf,inf
776,55.46,60.45,1.01,1.35
777,inf,inf,inf,inf
778,50.22,46.35,5.86,6.43
780,inf,inf,inf,inf
782,17.48,9.51,8.73,12.38
783,inf,inf,inf,inf
784,inf,inf,inf,inf
785,40.87,56.55,1.66,4.58
786,inf,inf,inf,inf
788,inf,inf,inf,inf
789,inf,inf,inf,inf
790,60.97,64.91,0.03,0.56
792,inf,inf,inf,inf
793,66.57,64.7,0.63,0.17
794,inf,inf,inf,inf
796,inf,inf,inf,inf
797,inf,inf,inf,inf
798,59.76,60.05,1.82,2.81
799,50.62,45.7,2.18,5.68
800,38.07,37.41,3.97,6.35
801,inf,inf,inf,inf
802,inf,inf,inf,inf
803,inf,inf,inf,inf
804,inf,inf,inf,inf
807,57.57,59.45,4.73,3.08
809,inf,inf,inf,inf
810,inf,inf,inf,inf
812,inf,inf,inf,inf
813,70.84,68.74,0.68,0.89
818,inf,inf,inf,inf
819,66.55,64.9,1.69,1.25
823,inf,inf,inf,inf
826,37.88,28.17,6.1,7.49
828,6.59,17.04,11.41,8.1
829,inf,inf,inf,inf
830,34.65,56.88,4.79,3.78
831,26.13,41.22,7.33,7.39
832,70.18,80.23,6.46,8.33
833,3.41,13.24,3.96,5.12
839,inf,inf,inf,inf
840,61.89,61.23,1.47,1.42
841,65.91,63.33,1.56,1.42
842,inf,inf,inf,inf
843,65.91,63.33,1.56,1.42
844,inf,inf,inf,inf
845,inf,inf,inf,inf
849,32.22,30.48,46.29,45.62
850,154.9,154.59,10.28,17.71
851,16.42,11.82,12.03,11.52
852,5.24,3.48,1.06,3.8
854,34.37,28.75,0.98,2.42
856,15.11,14.1,8.93,6.82
857,76.48,69.68,4.2,3.97
858,inf,inf,inf,inf
859,72.31,72.06,1.71,2.77
860,inf,inf,inf,inf
862,inf,inf,inf,inf
865,inf,inf,inf,inf
866,inf,inf,inf,inf
867,64.39,61.13,1.51,1.01
869,inf,inf,inf,inf
872,43.52,36.23,18.35,17.73
873,142.4,167.6,6.97,8.73
876,9.82,15.16,1.87,0.17
877,17.21,19.97,1.72,2.23
879,29.87,26.18,14.95,13.75
880,24.01,20.49,5.31,6.31
883,inf,inf,inf,inf
884,76.65,80.17,1.43,1.52
885,57.75,61.94,1.42,1.1
886,inf,inf,inf,inf
889,inf,inf,inf,inf
890,inf,inf,inf,inf
891,inf,inf,inf,inf
892,65.05,61.93,0.36,0.37
894,2.8,2.78,3.43,1.97
896,24.63,12.04,9.57,12.81
897,31.55,42.32,5.55,5.39
898,37.79,50.89,5.33,5.88
899,42.73,40.43,3.68,5.57
900,28.71,21.93,5.72,7.49
901,43.53,49.7,6.7,9.03
903,53.93,58.08,5.0,6.92
904,69.26,55.79,2.66,4.94
905,inf,inf,inf,inf
906,inf,inf,inf,inf
907,68.35,70.11,0.23,0.97
908,inf,inf,inf,inf
909,68.09,68.7,1.17,0.97
910,inf,inf,inf,inf
911,inf,inf,inf,inf
912,inf,inf,inf,inf
914,inf,inf,inf,inf
915,inf,inf,inf,inf
916,82.27,81.4,3.3,0.37
917,inf,inf,inf,inf
919,7.16,20.5,3.47,3.31
920,56.68,52.63,25.05,24.55
921,inf,inf,inf,inf
925,76.25,67.17,3.99,4.85
926,82.65,71.95,4.27,4.51
928,0.42,0.49,6.42,4.22
929,inf,inf,inf,inf
932,inf,inf,inf,inf
934,inf,inf,inf,inf
935,56.58,69.96,1.62,0.86
936,inf,inf,inf,inf
938,inf,inf,inf,inf
939,inf,inf,inf,inf
941,inf,inf,inf,inf
942,inf,inf,inf,inf
943,59.11,58.1,18.37,11.43
944,inf,inf,inf,inf
945,11.86,18.13,2.62,13.36
946,inf,inf,inf,inf
947,inf,inf,inf,inf
948,28.69,8.15,10.07,6.73
