,ì˙ï ,é¿ê—
158,11.119238887284421,12.0
159,10.151117530786273,9.0
160,10.054200527146653,9.0
161,12.84189997495907,11.0
162,15.296692277536074,13.0
164,4.279683944794882,3.0
165,17.69779544704554,15.0
167,12.912594894272058,12.0
168,12.776718499673878,13.0
170,5.254203990335343,4.0
171,2.244409478957622,3.0
172,1.9652658050271046,3.0
174,15.917539753933342,13.0
175,7.354671657899212,4.0
177,5.011572291224575,3.0
180,12.82486592561261,14.0
181,12.775282540397527,15.0
182,15.523170971225888,14.0
184,2.700705389464823,4.0
187,13.129497700549077,9.0
188,13.519828283505433,13.0
190,13.177000531983902,16.0
191,13.42531267174282,11.0
192,10.57253732928858,6.0
193,15.177807099440635,15.0
194,10.151171832998966,8.0
195,6.4718399205646415,7.0
198,3.1924177583348734,7.0
199,4.912012946717806,5.0
202,6.871720800101471,6.0
203,4.357322992917429,4.0
204,6.326048386717054,3.0
205,2.69524812332196,3.0
206,0.6285893303454831,3.0
207,4.654722824788407,4.0
208,5.69712494553737,3.0
209,3.7873534414230905,3.0
210,6.985694177304478,6.0
211,6.087691227919446,5.0
213,2.6624479944842796,3.0
214,5.365588754082547,4.0
215,6.986203640196541,4.0
219,2.5368618682015014,5.0
220,4.862443351129882,4.0
223,5.814152610109392,4.0
224,5.022716718492723,4.0
225,4.7380003967775055,4.0
228,7.991573461460441,5.0
229,5.011781713166033,4.0
230,5.1798606528559565,6.0
231,8.090832194498786,8.0
232,6.506386718415842,4.0
235,5.620642723158263,6.0
236,5.473558943569824,4.0
237,9.719905433327183,6.0
240,5.885818065278327,3.0
244,8.52587135414516,7.0
245,14.473428132445626,12.0
247,3.5262924026985685,10.0
248,17.715247260696056,26.0
249,35.76265759911582,40.0
250,17.26359914968398,23.0
254,11.35475026935951,4.0
255,2.765840400500546,3.0
256,35.170571765469106,26.0
260,28.58217949822062,26.0
262,8.37439245980569,4.0
263,28.353175376124405,31.0
264,28.857604857766834,29.0
265,30.72049667122056,26.0
267,30.483795651209793,40.0
268,16.998864145235157,27.0
269,13.854176951736529,3.0
270,30.91444684401238,36.0
271,30.983535860194824,35.0
277,38.445198699374686,3.0
279,47.3218623291267,41.0
280,51.296107191129245,62.0
282,18.792454242556072,3.0
283,15.409191875107146,3.0
284,22.552055082079878,4.0
285,42.92118446722734,32.0
286,47.877231353689524,34.0
288,51.528196180595046,33.0
289,22.52450412379242,14.0
293,45.8120042024912,34.0
295,58.232556451768545,92.0
296,32.43265990477847,43.0
297,35.38802619890489,45.0
298,49.59415057525425,63.0
299,50.63991628736022,60.0
301,53.80048442672259,64.0
302,55.31289647310563,57.0
303,35.77165155678502,44.0
305,57.72006535769859,67.0
306,60.615300625008786,67.0
307,61.3338802378423,62.0
309,61.64923171194664,63.0
310,43.2782174240613,43.0
311,43.26383585599226,45.0
313,61.732708298698284,68.0
314,63.02002481189267,64.0
315,62.037033155952365,76.0
316,52.12913493523678,44.0
317,40.71859765152716,52.0
319,61.42162299541788,68.0
320,55.359752401962915,64.0
321,55.4733612938557,62.0
322,63.67354188715722,66.0
323,61.5115046656827,62.0
326,61.5115046656827,67.0
328,48.776527716520235,43.0
330,60.33211099749234,66.0
331,33.00076536769483,36.0
332,33.169583800344505,34.0
333,54.125208122551285,50.0
334,47.966247773939706,55.0
335,32.676652370719076,55.0
337,54.4882600398708,52.0
339,31.10961044700872,36.0
340,53.89193756736133,50.0
341,49.69899933032795,61.0
342,49.95956606087385,50.0
343,49.67526206622583,59.0
344,41.53835087381592,57.0
346,19.110606100279934,30.0
347,15.410126034024925,20.0
348,7.085451207479403,4.0
349,7.294064578775486,7.0
350,7.085198150913748,6.0
351,35.402292781913616,33.0
352,3.3465142435281763,3.0
353,18.828087734517162,4.0
355,30.480539826448044,25.0
356,39.54395003179187,16.0
357,24.289415108160263,17.0
358,13.153201729438173,12.0
360,7.370544746855191,3.0
363,6.891881700252755,6.0
364,6.838661094064925,5.0
