“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-27 12:00:00,7,27,2,35,56,0.26339285714285715
2022-07-27 14:00:00,7,27,2,34,56,0.32142857142857145
2022-07-27 16:00:00,7,27,2,34,56,0.25446428571428575
2022-07-28 08:00:00,7,28,3,33,56,0.23660714285714288
2022-07-28 09:00:00,7,28,3,33,60,0.2767857142857143
2022-07-28 10:00:00,7,28,3,35,60,0.47767857142857145
2022-07-28 11:00:00,7,28,3,35,60,0.6339285714285714
2022-07-28 12:00:00,7,28,3,35,60,0.6294642857142857
2022-07-28 13:00:00,7,28,3,36,60,0.6383928571428572
2022-07-28 14:00:00,7,28,3,35,60,0.47767857142857145
2022-07-28 15:00:00,7,28,3,35,60,0.5133928571428572
2022-07-28 16:00:00,7,28,3,34,60,0.4821428571428572
2022-07-28 17:00:00,7,28,3,31,8,0.004464285714285715
2022-07-29 08:00:00,7,29,4,31,56,0.21875000000000003
2022-07-29 10:00:00,7,29,4,35,56,0.45089285714285715
2022-07-29 12:00:00,7,29,4,36,56,0.4821428571428572
2022-07-29 14:00:00,7,29,4,36,56,0.4330357142857143
2022-07-29 16:00:00,7,29,4,35,56,0.47321428571428575
2022-08-01 08:00:00,8,1,0,34,55,0.4196428571428572
2022-08-01 10:00:00,8,1,0,37,55,0.5178571428571429
2022-08-01 12:00:00,8,1,0,38,55,0.5178571428571429
2022-08-01 14:00:00,8,1,0,38,55,0.5133928571428572
2022-08-01 16:00:00,8,1,0,37,55,0.5357142857142857
2022-08-02 08:00:00,8,2,1,35,55,0.47321428571428575
2022-08-02 09:00:00,8,2,1,36,60,0.6383928571428572
2022-08-02 10:00:00,8,2,1,37,60,0.6205357142857143
2022-08-02 11:00:00,8,2,1,39,60,0.6160714285714286
2022-08-02 12:00:00,8,2,1,39,60,0.6294642857142857
2022-08-02 13:00:00,8,2,1,39,60,0.625
2022-08-02 14:00:00,8,2,1,39,60,0.6026785714285715
2022-08-02 15:00:00,8,2,1,39,60,0.6383928571428572
2022-08-02 16:00:00,8,2,1,38,60,0.5267857142857143
2022-08-02 17:00:00,8,2,1,37,15,0.022321428571428572
2022-08-03 08:00:00,8,3,2,35,55,0.4241071428571429
2022-08-03 09:00:00,8,3,2,34,1,0.00892857142857143
2022-08-03 10:00:00,8,3,2,37,55,0.5089285714285715
2022-08-03 11:00:00,8,3,2,37,1,0.00892857142857143
2022-08-03 12:00:00,8,3,2,40,55,0.5267857142857143
2022-08-03 13:00:00,8,3,2,39,1,0.00892857142857143
2022-08-03 14:00:00,8,3,2,38,55,0.5267857142857143
2022-08-03 15:00:00,8,3,2,37,1,0.00892857142857143
2022-08-03 16:00:00,8,3,2,37,55,0.5357142857142857
2022-08-03 17:00:00,8,3,2,37,1,0.004464285714285715
2022-08-04 08:00:00,8,4,3,27,55,0.20089285714285715
2022-08-04 09:00:00,8,4,3,27,60,0.23214285714285718
2022-08-04 10:00:00,8,4,3,28,60,0.23660714285714288
2022-08-04 11:00:00,8,4,3,28,60,0.23214285714285718
2022-08-04 12:00:00,8,4,3,28,60,0.23660714285714288
2022-08-04 13:00:00,8,4,3,28,60,0.37946428571428575
2022-08-04 14:00:00,8,4,3,27,60,0.23660714285714288
2022-08-04 15:00:00,8,4,3,26,60,0.2410714285714286
2022-08-04 16:00:00,8,4,3,25,60,0.2410714285714286
2022-08-04 17:00:00,8,4,3,25,9,0.0
2022-08-05 10:00:00,8,5,4,25,9,0.00892857142857143
2022-08-05 12:00:00,8,5,4,28,55,0.18750000000000003
2022-08-05 14:00:00,8,5,4,28,55,0.18750000000000003
2022-08-05 16:00:00,8,5,4,27,55,0.2098214285714286
2022-08-08 08:00:00,8,8,0,33,56,0.4017857142857143
2022-08-08 10:00:00,8,8,0,35,55,0.47321428571428575
2022-08-08 11:00:00,8,8,0,35,1,0.00892857142857143
2022-08-08 12:00:00,8,8,0,36,55,0.4910714285714286
2022-08-08 13:00:00,8,8,0,36,7,0.07589285714285715
2022-08-08 14:00:00,8,8,0,36,55,0.35267857142857145
2022-08-08 15:00:00,8,8,0,35,1,0.00892857142857143
2022-08-08 16:00:00,8,8,0,34,55,0.4955357142857143
2022-08-09 08:00:00,8,9,1,34,56,0.29017857142857145
2022-08-09 09:00:00,8,9,1,35,60,0.6160714285714286
2022-08-09 10:00:00,8,9,1,36,60,0.6473214285714286
2022-08-09 11:00:00,8,9,1,37,60,0.625
2022-08-09 12:00:00,8,9,1,37,60,0.6339285714285714
2022-08-09 13:00:00,8,9,1,37,60,0.6339285714285714
2022-08-09 14:00:00,8,9,1,37,60,0.6294642857142857
2022-08-09 15:00:00,8,9,1,36,60,0.6517857142857143
2022-08-09 16:00:00,8,9,1,36,60,0.5223214285714286
2022-08-10 08:00:00,8,10,2,34,56,0.3348214285714286
2022-08-10 09:00:00,8,10,2,34,1,0.00892857142857143
2022-08-10 10:00:00,8,10,2,36,55,0.47321428571428575
