“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-08-25 16:00:00,8,25,3,29,60,0.29017857142857145
2022-08-26 08:00:00,8,26,4,27,59,0.20535714285714285
2022-08-26 09:00:00,8,26,4,26,3,0.00892857142857143
2022-08-30 09:00:00,8,30,1,24,59,0.2455357142857143
2022-08-30 10:00:00,8,30,1,25,60,0.25892857142857145
2022-08-30 11:00:00,8,30,1,26,60,0.28125
2022-08-30 12:00:00,8,30,1,25,60,0.26785714285714285
2022-08-30 13:00:00,8,30,1,26,60,0.25446428571428575
2022-08-30 14:00:00,8,30,1,26,60,0.28125
2022-08-30 15:00:00,8,30,1,24,60,0.26339285714285715
2022-08-30 16:00:00,8,30,1,24,60,0.32589285714285715
2022-08-31 08:00:00,8,31,2,25,59,0.20089285714285715
2022-09-01 09:00:00,9,1,3,27,59,0.2767857142857143
2022-09-01 10:00:00,9,1,3,29,60,0.2410714285714286
2022-09-01 11:00:00,9,1,3,32,60,0.35714285714285715
2022-09-01 12:00:00,9,1,3,33,60,0.38392857142857145
2022-09-01 13:00:00,9,1,3,33,60,0.32142857142857145
2022-09-01 14:00:00,9,1,3,33,60,0.36607142857142855
2022-09-01 15:00:00,9,1,3,32,60,0.26785714285714285
2022-09-01 16:00:00,9,1,3,31,60,0.32142857142857145
2022-09-02 08:00:00,9,2,4,23,59,0.20535714285714285
2022-09-02 09:00:00,9,2,4,23,3,0.00892857142857143
2022-09-06 09:00:00,9,6,1,31,59,0.2455357142857143
2022-09-06 10:00:00,9,6,1,32,60,0.32142857142857145
2022-09-06 11:00:00,9,6,1,33,60,0.34821428571428575
2022-09-06 12:00:00,9,6,1,33,60,0.2991071428571429
2022-09-06 13:00:00,9,6,1,33,60,0.25
2022-09-06 14:00:00,9,6,1,31,60,0.3080357142857143
2022-09-06 15:00:00,9,6,1,32,60,0.34375000000000006
2022-09-06 16:00:00,9,6,1,31,60,0.3303571428571429
2022-09-07 08:00:00,9,7,2,29,59,0.19642857142857145
2022-09-07 09:00:00,9,7,2,29,3,0.00892857142857143
2022-09-08 09:00:00,9,8,3,24,59,0.23660714285714288
2022-09-08 10:00:00,9,8,3,25,60,0.2410714285714286
2022-09-08 11:00:00,9,8,3,26,60,0.2410714285714286
2022-09-08 12:00:00,9,8,3,25,60,0.26339285714285715
2022-09-08 13:00:00,9,8,3,25,60,0.29464285714285715
2022-09-08 14:00:00,9,8,3,25,60,0.26785714285714285
2022-09-08 15:00:00,9,8,3,25,60,0.26339285714285715
2022-09-08 16:00:00,9,8,3,24,60,0.26339285714285715
2022-09-09 08:00:00,9,9,4,25,59,0.19642857142857145
2022-09-09 09:00:00,9,9,4,24,3,0.00892857142857143
2022-09-13 09:00:00,9,13,1,30,59,0.2455357142857143
2022-09-13 10:00:00,9,13,1,29,60,0.26785714285714285
2022-09-13 11:00:00,9,13,1,31,60,0.22767857142857142
2022-09-13 12:00:00,9,13,1,32,60,0.22767857142857142
2022-09-13 13:00:00,9,13,1,32,60,0.25
2022-09-13 14:00:00,9,13,1,32,60,0.25446428571428575
2022-09-13 15:00:00,9,13,1,32,60,0.32589285714285715
2022-09-13 16:00:00,9,13,1,31,60,0.3125
2022-09-14 08:00:00,9,14,2,30,59,0.20535714285714285
2022-09-14 09:00:00,9,14,2,29,3,0.00892857142857143
2022-09-15 09:00:00,9,15,3,23,59,0.20089285714285715
2022-09-15 10:00:00,9,15,3,24,60,0.2142857142857143
2022-09-15 11:00:00,9,15,3,26,60,0.2098214285714286
2022-09-15 12:00:00,9,15,3,26,60,0.26785714285714285
2022-09-15 13:00:00,9,15,3,27,60,0.22321428571428573
2022-09-15 14:00:00,9,15,3,26,60,0.2142857142857143
