,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1811,76.75,14.98,156.08,119.27
1812,inf,inf,inf,inf
1821,46.06,62.85,41.34,34.47
1825,inf,inf,inf,inf
1827,inf,inf,inf,inf
1831,inf,inf,inf,inf
1835,111.24,51.82,111.34,99.55
1837,57.72,51.92,43.13,46.41
1842,12.01,40.62,3.55,20.12
1845,43.18,49.51,36.32,24.4
1849,inf,inf,inf,inf
1850,inf,inf,inf,inf
1851,89.39,88.93,7.76,3.69
1852,inf,inf,inf,inf
1853,inf,inf,inf,inf
1854,inf,inf,inf,inf
1864,inf,inf,inf,inf
1866,inf,inf,inf,inf
1867,80.81,79.02,57.01,56.91
1868,inf,inf,inf,inf
1869,63.9,64.55,7.71,10.04
1873,inf,inf,inf,inf
1881,inf,inf,inf,inf
1882,inf,inf,inf,inf
1887,44.42,60.08,18.1,20.29
1892,inf,inf,inf,inf
1895,inf,inf,inf,inf
1899,inf,inf,inf,inf
1900,inf,inf,inf,inf
1905,inf,inf,inf,inf
1907,inf,inf,inf,inf
1908,inf,inf,inf,inf
1911,inf,inf,inf,inf
1915,inf,inf,inf,inf
1920,inf,inf,inf,inf
1927,inf,inf,inf,inf
1928,inf,inf,inf,inf
1929,38.14,28.51,3.03,8.45
1930,16.79,11.46,18.87,11.05
1931,7.82,21.91,2.74,12.01
1933,12.74,10.38,31.78,14.81
1945,inf,inf,inf,inf
1951,inf,inf,inf,inf
1952,inf,inf,inf,inf
1955,inf,inf,inf,inf
1967,inf,inf,inf,inf
1970,inf,inf,inf,inf
1974,inf,inf,inf,inf
1979,inf,inf,inf,inf
1983,inf,inf,inf,inf
1985,inf,inf,inf,inf
1987,inf,inf,inf,inf
1988,inf,inf,inf,inf
1989,inf,inf,inf,inf
1990,inf,inf,inf,inf
1994,inf,inf,inf,inf
1996,inf,inf,inf,inf
1997,inf,inf,inf,inf
2001,inf,inf,inf,inf
2002,inf,inf,inf,inf
2003,21.86,38.32,82.72,94.82
2004,inf,inf,inf,inf
2005,38.07,57.39,101.09,124.44
2012,inf,inf,inf,inf
2013,inf,inf,inf,inf
2014,inf,inf,inf,inf
2019,inf,inf,inf,inf
2021,inf,inf,inf,inf
2026,43.96,21.77,31.34,75.28
2033,inf,inf,inf,inf
2036,50.69,55.26,14.08,8.76
2046,inf,inf,inf,inf
2056,inf,inf,inf,inf
2058,29.07,34.58,52.33,48.04
2059,inf,inf,inf,inf
2068,inf,inf,inf,inf
2071,inf,inf,inf,inf
2073,inf,inf,inf,inf
2080,30.81,22.08,1.23,11.31
2083,70.8,70.0,99.92,126.7
2086,inf,inf,inf,inf
2088,inf,inf,inf,inf
2089,inf,inf,inf,inf
2094,inf,inf,inf,inf
2096,inf,inf,inf,inf
2103,31.42,31.35,25.21,27.58
2105,5.69,8.04,8.8,10.58
2111,inf,inf,inf,inf
2119,inf,inf,inf,inf
2120,inf,inf,inf,inf
2121,inf,inf,inf,inf
2122,inf,inf,inf,inf
2123,inf,inf,inf,inf
2128,70.88,27.46,123.87,103.44
2130,49.12,58.23,3.2,2.72
2137,77.45,96.36,6.06,2.08
2138,inf,inf,inf,inf
2139,inf,inf,inf,inf
2144,inf,inf,inf,inf
2147,inf,inf,inf,inf
2149,inf,inf,inf,inf
2154,10.3,12.47,119.85,67.13
2156,36.09,41.39,57.5,25.74
2157,inf,inf,inf,inf
2160,inf,inf,inf,inf
2163,83.25,90.58,3.59,1.34
2165,inf,inf,inf,inf
2166,inf,inf,inf,inf
2171,inf,inf,inf,inf
2177,39.39,56.73,79.05,117.64
2178,26.24,17.62,47.86,51.13
2179,9.55,5.11,56.61,37.43
2182,inf,inf,inf,inf
2186,inf,inf,inf,inf
2187,inf,inf,inf,inf
2188,inf,inf,inf,inf
2189,inf,inf,inf,inf
2197,76.96,62.14,97.99,104.84
2198,inf,inf,inf,inf
2200,inf,inf,inf,inf
2212,inf,inf,inf,inf
2224,21.11,77.59,113.56,165.34
2230,inf,inf,inf,inf
2231,103.27,82.17,28.95,30.85
2232,inf,inf,inf,inf
2234,inf,inf,inf,inf
2235,inf,inf,inf,inf
2248,12.97,26.5,60.16,40.92
2250,inf,inf,inf,inf
2252,inf,inf,inf,inf
2253,72.86,69.55,12.64,9.31
2255,inf,inf,inf,inf
2258,inf,inf,inf,inf
2259,inf,inf,inf,inf
2277,39.34,60.88,31.04,13.97
2280,inf,inf,inf,inf
2281,inf,inf,inf,inf
2286,inf,inf,inf,inf
2288,inf,inf,inf,inf
2289,44.67,34.45,143.82,96.98
2290,73.92,72.69,52.74,57.59
2294,16.08,28.19,137.35,81.94
2295,52.52,56.59,0.5,21.95
2296,59.05,59.48,46.16,2.51
2297,inf,inf,inf,inf
2302,inf,inf,inf,inf
2304,inf,inf,inf,inf
2307,inf,inf,inf,inf
2308,inf,inf,inf,inf
2310,inf,inf,inf,inf
2311,92.89,94.91,3.99,0.77
2314,inf,inf,inf,inf
2315,29.69,52.47,4.74,9.41
2317,inf,inf,inf,inf
2325,48.9,55.02,75.29,39.93
2329,inf,inf,inf,inf
2336,inf,inf,inf,inf
2338,inf,inf,inf,inf
2339,59.99,48.77,31.9,35.13
2344,57.74,42.61,16.97,27.52
2346,58.46,121.29,134.61,112.37
2347,44.7,27.1,26.81,40.74
2349,65.54,54.73,62.13,25.46
2354,inf,inf,inf,inf
2355,inf,inf,inf,inf
2357,82.05,92.3,11.08,1.26
2361,inf,inf,inf,inf
2378,inf,inf,inf,inf
2381,inf,inf,inf,inf
2382,inf,inf,inf,inf
2385,inf,inf,inf,inf
2386,inf,inf,inf,inf
2388,inf,inf,inf,inf
2392,inf,inf,inf,inf
2396,inf,inf,inf,inf
2397,inf,inf,inf,inf
2403,inf,inf,inf,inf
2408,inf,inf,inf,inf
2412,inf,inf,inf,inf
2416,inf,inf,inf,inf
2418,inf,inf,inf,inf
2419,inf,inf,inf,inf
2426,inf,inf,inf,inf
2427,inf,inf,inf,inf
2432,7.73,47.17,124.56,55.66
2433,40.71,43.16,21.57,25.67
2434,23.62,14.74,11.81,1.21
2439,25.78,15.16,4.72,3.32
2443,33.74,44.05,19.26,26.04
2448,inf,inf,inf,inf
2452,inf,inf,inf,inf
2462,24.46,22.1,25.72,19.3
2466,48.17,28.33,35.75,18.52
2469,35.96,37.16,31.61,17.05
2470,inf,inf,inf,inf
2471,inf,inf,inf,inf
2472,83.07,94.5,4.76,0.08
2473,inf,inf,inf,inf
2475,inf,inf,inf,inf
2478,inf,inf,inf,inf
2484,4.16,30.17,87.82,67.66
2485,inf,inf,inf,inf
2491,inf,inf,inf,inf
2500,inf,inf,inf,inf
2501,inf,inf,inf,inf
2503,84.25,57.17,3.79,30.19
2507,49.68,35.41,55.73,39.49
2511,33.64,4.47,17.2,10.86
