,éûçèï 
1330,inf
1332,inf
1335,87.7
1336,inf
1337,inf
1338,inf
1339,inf
1340,inf
1341,inf
1342,inf
1343,inf
1344,inf
1346,inf
1347,inf
1348,inf
1349,inf
1350,inf
1351,inf
1352,inf
1353,inf
1354,inf
1357,inf
1358,inf
1359,inf
1360,inf
1361,inf
1362,inf
1363,inf
1364,inf
1365,inf
1368,inf
1369,inf
1371,inf
1372,inf
1373,inf
1374,inf
1376,84.09
1377,inf
1378,inf
1381,inf
1382,inf
1385,inf
1386,inf
1388,inf
1391,inf
1392,inf
1393,inf
1394,inf
1396,95.02
1398,inf
1401,inf
1402,inf
1403,inf
1404,inf
1406,inf
1407,inf
1408,inf
1410,inf
1411,inf
1413,inf
1414,inf
1415,inf
1416,inf
1417,inf
1418,94.99
1419,inf
1421,inf
1422,inf
1423,inf
1424,inf
1425,inf
1426,inf
1427,inf
1428,inf
1430,inf
1431,inf
1432,inf
1435,inf
1436,inf
1439,93.99
1441,inf
1443,inf
1444,inf
1446,inf
1447,inf
1449,inf
1450,inf
1451,inf
1452,inf
1453,inf
1455,inf
1456,inf
1457,inf
1458,inf
1459,inf
1462,inf
1464,inf
1465,inf
1467,inf
1468,inf
1470,inf
1471,inf
1472,inf
1474,inf
1475,inf
1477,inf
1479,inf
1481,inf
1482,inf
1483,inf
1484,inf
1487,inf
1488,inf
1489,inf
1490,inf
1491,inf
1492,inf
1495,inf
1496,inf
1497,inf
1498,inf
1499,inf
1501,81.83
1502,inf
1503,inf
1506,inf
1507,inf
1509,inf
1510,inf
1512,inf
1513,inf
1514,inf
1516,inf
1517,inf
1519,inf
1521,87.32
1523,inf
1524,inf
1525,inf
1527,inf
1528,inf
1529,inf
1531,inf
1532,inf
1533,inf
1534,inf
1535,inf
1536,inf
1537,inf
1538,inf
1541,inf
1542,inf
1543,inf
1545,inf
1546,inf
1547,inf
1549,inf
1550,inf
1552,inf
1555,inf
1556,inf
1557,inf
1560,inf
1561,inf
1562,inf
1563,inf
1564,inf
1566,inf
1567,inf
1568,inf
1569,inf
1570,inf
1571,inf
1572,inf
1573,87.78
1574,inf
1575,inf
1576,inf
1578,inf
1579,inf
1580,inf
1581,inf
1582,inf
1583,inf
1587,inf
1588,inf
1589,inf
1590,inf
1591,inf
1592,inf
1594,inf
1595,inf
1596,inf
1597,inf
1599,94.85
1600,inf
1602,inf
1603,inf
1604,inf
1605,inf
1606,inf
1607,inf
1608,inf
1609,inf
1610,inf
1611,inf
1614,inf
1615,inf
1617,inf
1619,inf
1620,20.25
1621,14.9
1625,29.5
1626,inf
1627,inf
1628,inf
1629,inf
1631,inf
1632,inf
1634,inf
1635,inf
1637,inf
1638,inf
1640,inf
1641,14.39
1642,2.14
1643,29.37
1644,6.72
1646,2.9
1648,7.91
1649,16.63
1650,inf
1651,inf
1652,inf
1653,inf
1654,inf
1655,inf
1656,95.56
1657,inf
1658,inf
1659,inf
1660,inf
1661,inf
1662,inf
1663,inf
1664,inf
1665,inf
1666,25.21
1667,inf
1668,13.66
1670,8.64
1672,12.32
1674,inf
1677,inf
1678,inf
1680,inf
1681,inf
1682,inf
1683,inf
1684,inf
1685,inf
1687,inf
1688,inf
1689,inf
1691,20.39
1693,11.41
1694,7.14
1695,13.12
1696,12.08
1700,inf
1701,inf
1703,inf
1704,inf
1705,inf
1706,inf
1708,95.45
1709,inf
1710,inf
1711,inf
1713,inf
1714,40.21
1717,23.48
1718,23.94
1719,36.03
1722,inf
1723,inf
1724,inf
1725,inf
1727,inf
1730,inf
1732,inf
1733,inf
1734,inf
1736,inf
1738,inf
1740,inf
1741,inf
1742,inf
1743,inf
1744,inf
1747,inf
1749,inf
1750,inf
1751,inf
1752,95.45
1753,inf
1754,inf
1755,inf
1758,inf
1759,inf
1760,inf
1762,inf
1763,inf
1764,inf
1765,inf
1766,inf
1767,inf
1769,inf
1770,inf
1771,inf
1772,inf
1774,inf
1775,inf
1776,inf
1779,inf
1780,inf
1781,inf
1782,inf
1783,inf
1785,inf
1786,inf
1788,inf
1789,inf
1791,inf
1792,inf
1793,inf
1794,inf
1795,inf
1796,inf
1797,inf
1799,inf
1800,inf
1802,inf
1803,95.45
1804,inf
1806,inf
1807,inf
1809,inf
1810,inf
1811,4.98
1812,19.51
1813,7.33
1814,14.95
1815,19.83
1817,8.5
1818,inf
1819,inf
1820,inf
1821,inf
1822,inf
1823,inf
