“úŽž,EHP2-2,EHP4-4,EHP6-2
2018/12/3,22.13333333,22,23.2
2018/12/4,22,22,23.2
2018/12/5,22,22.0625,23.15833333
2018/12/6,22,22.25,23.10416667
2018/12/7,22,22.28125,23.15
2018/12/8,22,22,23.3
2018/12/9,22,22.22916667,23.3125
2018/12/10,22.38333333,22.91666667,23.36666667
2018/12/11,21.975,22.625,23.4125
2018/12/12,23.13333333,21.5,23.1375
2018/12/13,23.86666667,21.92708333,23.15
2018/12/14,24,23.3125,23.4
2018/12/15,24.55833333,25.5,23.54166667
2018/12/16,24.8,25.65625,23.6
2018/12/17,24.83333333,23.5,23.41666667
2018/12/18,24.73333333,22.32291667,23.10416667
2018/12/19,25,21.58333333,22.91666667
2018/12/20,25,22,22.80416667
2018/12/21,25.25833333,21.66666667,23.1
2018/12/22,25.15,21.82291667,23.1
2018/12/23,25,23.75,23.1
2018/12/24,25,24,23.1
2018/12/25,24.91666667,22.75,23.09166667
2018/12/26,24.04166667,22,23.27083333
2018/12/27,23.63333333,22.66666667,23.16666667
2018/12/28,23.65,23.73958333,23.1
2018/12/29,23.7,25.9375,23.1
2018/12/30,24.4,27.8125,23.1
2018/12/31,24.4,28,23.17916667
2019/1/1,24.4,28,23.29166667
2019/1/2,24.4,28,23.4
2019/1/3,24.4,28,23.5
2019/1/4,24.775,28,23.35416667
2019/1/5,25.29166667,28.02083333,23.2
2019/1/6,26.63333333,29,23.2
2019/1/7,24.94166667,25.08333333,23.27916667
2019/1/8,24.06666667,22.875,23.57916667
2019/1/9,24.375,22,23.5375
2019/1/10,24.98333333,23.875,23.20833333
2019/1/11,24.3,23.875,23.20833333
2019/1/12,24.4,25.28125,23.24583333
2019/1/13,25,27.5625,23.3
2019/1/14,25,26.79166667,23.34583333
2019/1/15,24.78333333,23.33333333,23.65416667
2019/1/16,24.6,22.375,23.75833333
2019/1/17,23.9,22.85416667,23.56666667
2019/1/18,23.2,22.5,23.4
2019/1/19,24.65,24.03125,23.11666667
2019/1/20,25.6,24.5,23
2019/1/21,25.6,23.5,22.775
2019/1/22,25.03333333,23.21875,22.35
2019/1/23,24.05,22.91666667,22.16666667
2019/1/24,24.16666667,22,21.92916667
2019/1/25,24.225,22,21.90833333
2019/1/26,24.53333333,23.67708333,21.97916667
2019/1/27,24.8,25.90625,22.1
2019/1/28,24.60833333,24.8125,22.6375
2019/1/29,24.225,24.67708333,22.77916667
2019/1/30,24.03333333,23,22.4
2019/1/31,24.58333333,22,22.325
2019/2/1,24.75,23.08333333,22.61666667
2019/2/2,25.625,25.42708333,22.64166667
2019/2/3,26.4,26.79166667,22.59166667
2019/2/4,25.61666667,23.66666667,22.7375
2019/2/5,25.09166667,22,22.95833333
2019/2/6,25.08333333,22,22.98333333
2019/2/7,24.45,21.83333333,22.7125
2019/2/8,24.6,22.91666667,22.7375
