“úŽž,EHP2-2,EHP4-4,EHP6-2
2019/4/2,12,15,16
2019/4/3,11,15,17
2019/4/4,9,14,16
2019/4/5,1,10,0
2019/4/6,2,12,0
2019/4/7,0,7,0
2019/4/8,6,14,15
2019/4/9,10,12,4
2019/4/10,9,15,14
2019/4/11,9,16,15
2019/4/12,9,6,12
2019/4/13,0,11,0
2019/4/14,0,5,0
2019/4/15,1,12,1
2019/4/16,0,4,2
2019/4/17,0,5,11
2019/4/18,0,5,0
2019/4/19,0,4,0
2019/4/20,0,5,0
2019/4/21,0,4,0
2019/4/22,0,5,0
2019/4/23,0,10,0
2019/4/24,0,4,0
2019/4/25,4,11,0
2019/4/26,7,5,4
2019/4/27,1,4,0
2019/4/28,0,9,0
2019/4/29,10,10,0
2019/4/30,0,5,6
2019/5/1,0,8,0
2019/5/2,0,4,0
2019/5/3,0,5,0
2019/5/4,0,5,0
2019/5/5,0,4,0
2019/5/6,0,5,0
2019/5/7,0,5,2
2019/5/8,0,4,3
2019/5/9,0,5,0
2019/5/10,6,9,0
2019/5/11,6,5,0
2019/5/12,0,4,0
2019/5/13,3,4,0
2019/5/14,6,6,0
2019/5/15,0,4,0
2019/5/16,6,4,0
2019/5/17,7,11,0
2019/5/18,0,4,0
2019/5/19,0,5,0
2019/5/20,0,12,4
2019/5/21,9,10,0
2019/5/22,3,12,0
2019/5/23,7,12,2
2019/5/24,11,12,4
2019/5/25,5,14,5
2019/5/26,8,13,1
2019/5/27,12,12,14
2019/5/28,11,15,5
2019/5/29,9,14,2
2019/5/30,9,12,4
2019/5/31,10,13,0
2019/6/1,12,10,2
2019/6/2,4,11,0
2019/6/3,13,12,5
2019/6/4,13,15,10
2019/6/5,15,15,11
2019/6/6,15,12,14
2019/6/7,14,13,9
2019/6/8,9,5,7
2019/6/9,8,4,0
2019/6/10,14,8,0
2019/6/11,13,5,0
2019/6/12,11,4,0
2019/6/13,12,12,1
2019/6/14,13,12,10
2019/6/15,4,5,0
2019/6/16,10,12,0
2019/6/17,14,9,6
2019/6/18,14,13,13
2019/6/19,14,13,12
2019/6/20,16,13,12
2019/6/21,13,16,12
2019/6/22,10,10,3
2019/6/23,13,12,0
2019/6/24,15,10,3
2019/6/25,16,12,7
2019/6/26,13,12,12
2019/6/27,15,15,14
2019/6/28,15,19,13
2019/6/29,11,9,0
2019/6/30,11,5,0
2019/7/1,15,11,10
2019/7/2,15,14,12
2019/7/3,15,11,11
2019/7/4,15,11,10
2019/7/5,14,12,11
2019/7/6,8,5,0
2019/7/7,11,8,0
2019/7/8,13,10,3
2019/7/9,14,9,3
2019/7/10,13,10,7
2019/7/11,16,13,7
2019/7/12,14,12,0
2019/7/13,11,5,2
2019/7/14,4,13,1
2019/7/15,12,9,4
2019/7/16,17,12,2
2019/7/17,18,13,9
2019/7/18,16,13,12
2019/7/19,10,13,12
2019/7/20,9,13,4
2019/7/21,13,10,3
2019/7/22,15,14,10
2019/7/23,16,13,12
2019/7/24,14,13,13
2019/7/25,16,13,15
2019/7/26,14,15,14
2019/7/27,13,15,2
2019/7/28,12,7,4
2019/7/29,16,17,15
2019/7/30,15,16,14
