“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-14 11:00:00,7,0,1,27,52,0.18750000000000003
2022-07-14 12:00:00,7,0,1,26,60,0.23214285714285718
2022-07-14 13:00:00,7,0,1,27,60,0.23660714285714288
2022-07-14 14:00:00,7,0,1,25,18,0.06696428571428571
2022-07-14 15:00:00,7,0,1,24,4,0.013392857142857144
2022-07-14 16:00:00,7,0,1,23,10,0.00892857142857143
2022-07-14 17:00:00,7,0,1,23,7,0.00892857142857143
2022-07-15 10:00:00,7,0,1,23,5,0.00892857142857143
2022-07-15 12:00:00,7,0,1,25,10,0.00892857142857143
2022-07-15 14:00:00,7,0,1,25,5,0.004464285714285715
2022-07-15 16:00:00,7,0,1,24,8,0.013392857142857144
2022-07-18 08:00:00,7,1,0,29,55,0.23660714285714288
2022-07-18 10:00:00,7,1,0,33,55,0.22321428571428573
2022-07-18 12:00:00,7,1,0,35,55,0.23660714285714288
2022-07-18 14:00:00,7,1,0,35,55,0.2410714285714286
2022-07-18 16:00:00,7,1,0,33,55,0.22767857142857142
2022-07-19 08:00:00,7,0,1,30,56,0.25
2022-07-19 09:00:00,7,0,1,31,60,0.35714285714285715
2022-07-19 10:00:00,7,0,1,32,60,0.26785714285714285
2022-07-19 11:00:00,7,0,1,30,60,0.27232142857142855
2022-07-19 12:00:00,7,0,1,32,60,0.26785714285714285
2022-07-19 13:00:00,7,0,1,32,60,0.32142857142857145
2022-07-19 14:00:00,7,0,1,30,60,0.26785714285714285
2022-07-19 15:00:00,7,0,1,30,60,0.25446428571428575
2022-07-19 16:00:00,7,0,1,29,60,0.25
2022-07-19 17:00:00,7,0,1,27,8,0.013392857142857144
2022-07-20 08:00:00,7,0,1,33,46,0.17857142857142858
2022-07-20 10:00:00,7,0,1,36,55,0.34375000000000006
2022-07-20 11:00:00,7,0,1,35,1,0.00892857142857143
2022-07-20 12:00:00,7,0,1,34,55,0.34821428571428575
2022-07-20 14:00:00,7,0,1,35,55,0.26339285714285715
2022-07-20 16:00:00,7,0,1,34,55,0.2991071428571429
2022-07-21 08:00:00,7,0,1,30,56,0.20535714285714285
2022-07-21 09:00:00,7,0,1,32,60,0.25
2022-07-21 10:00:00,7,0,1,33,60,0.23660714285714288
2022-07-21 11:00:00,7,0,1,34,60,0.25892857142857145
2022-07-21 12:00:00,7,0,1,34,60,0.3973214285714286
2022-07-21 13:00:00,7,0,1,35,60,0.5401785714285714
2022-07-21 14:00:00,7,0,1,34,60,0.32142857142857145
2022-07-21 15:00:00,7,0,1,33,60,0.28571428571428575
2022-07-21 16:00:00,7,0,1,31,60,0.2767857142857143
2022-07-21 17:00:00,7,0,1,29,11,0.00892857142857143
2022-07-22 08:00:00,7,0,1,30,56,0.23214285714285718
2022-07-22 10:00:00,7,0,1,30,55,0.2767857142857143
2022-07-22 12:00:00,7,0,1,34,55,0.25446428571428575
2022-07-22 14:00:00,7,0,1,34,55,0.25892857142857145
2022-07-22 16:00:00,7,0,1,34,55,0.46875000000000006
2022-07-25 08:00:00,7,0,1,33,56,0.21875000000000003
2022-07-25 10:00:00,7,0,1,35,56,0.4196428571428572
2022-07-25 11:00:00,7,0,1,37,0,0.004464285714285715
2022-07-25 12:00:00,7,0,1,35,56,0.5044642857142858
