“úŽž,ŒŽ,‹x“ú,•½“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-17 08:00:00,7,1,0,24,32,0.09777777777777778
2022-07-17 09:00:00,7,1,0,28,39,0.14222222222222222
2022-07-17 10:00:00,7,1,0,30,35,0.11777777777777777
2022-07-17 11:00:00,7,1,0,29,27,0.1
2022-07-17 12:00:00,7,1,0,30,42,0.16444444444444445
2022-07-17 13:00:00,7,1,0,31,60,0.2511111111111111
2022-07-17 14:00:00,7,1,0,31,35,0.11333333333333333
2022-07-17 15:00:00,7,1,0,31,46,0.1711111111111111
2022-07-17 16:00:00,7,1,0,30,35,0.11333333333333333
2022-07-18 08:00:00,7,1,0,28,59,0.22
2022-07-18 09:00:00,7,1,0,29,47,0.1622222222222222
2022-07-18 10:00:00,7,1,0,30,2,0.015555555555555555
2022-07-18 11:00:00,7,1,0,34,59,0.35333333333333333
2022-07-18 12:00:00,7,1,0,33,1,0.0044444444444444444
2022-07-18 13:00:00,7,1,0,34,59,0.22666666666666666
2022-07-18 14:00:00,7,1,0,34,2,0.0044444444444444444
2022-07-18 15:00:00,7,1,0,34,59,0.21555555555555553
2022-07-18 16:00:00,7,1,0,33,2,0.006666666666666666
2022-07-19 06:00:00,7,0,1,28,24,0.03333333333333333
2022-07-19 07:00:00,7,0,1,28,51,0.1088888888888889
2022-07-19 08:00:00,7,0,1,29,60,0.43111111111111106
2022-07-19 09:00:00,7,0,1,30,60,0.6044444444444445
2022-07-19 10:00:00,7,0,1,32,60,0.47333333333333333
2022-07-19 11:00:00,7,0,1,31,60,0.5111111111111111
2022-07-19 12:00:00,7,0,1,31,60,0.52
2022-07-19 13:00:00,7,0,1,31,60,0.6555555555555556
2022-07-19 14:00:00,7,0,1,30,60,0.6866666666666666
2022-07-19 15:00:00,7,0,1,29,60,0.6644444444444444
2022-07-19 16:00:00,7,0,1,28,60,0.5488888888888889
2022-07-19 17:00:00,7,0,1,27,1,0.006666666666666666
2022-07-20 06:00:00,7,0,1,26,19,0.026666666666666665
2022-07-20 07:00:00,7,0,1,30,37,0.09777777777777778
2022-07-20 08:00:00,7,0,1,32,60,0.45555555555555555
2022-07-20 09:00:00,7,0,1,33,60,0.5133333333333334
2022-07-20 10:00:00,7,0,1,35,60,0.12000000000000001
2022-07-20 11:00:00,7,0,1,35,60,0.42666666666666664
2022-07-20 12:00:00,7,0,1,34,60,0.14222222222222222
2022-07-20 13:00:00,7,0,1,34,60,0.5488888888888889
2022-07-20 14:00:00,7,0,1,34,60,0.13999999999999999
2022-07-20 15:00:00,7,0,1,33,60,0.4466666666666667
2022-07-20 16:00:00,7,0,1,33,60,0.12222222222222222
2022-07-21 06:00:00,7,0,1,26,30,0.044444444444444446
2022-07-21 07:00:00,7,0,1,27,60,0.1288888888888889
2022-07-21 08:00:00,7,0,1,28,60,0.4066666666666667
2022-07-21 09:00:00,7,0,1,32,60,0.5111111111111111
2022-07-21 10:00:00,7,0,1,32,60,0.48000000000000004
2022-07-21 11:00:00,7,0,1,32,60,0.4755555555555555
2022-07-21 12:00:00,7,0,1,32,60,0.47333333333333333
2022-07-21 13:00:00,7,0,1,35,60,0.5466666666666667
2022-07-21 14:00:00,7,0,1,34,60,0.45555555555555555
2022-07-21 15:00:00,7,0,1,32,60,0.4711111111111111
2022-07-21 16:00:00,7,0,1,31,60,0.4755555555555555
2022-07-21 17:00:00,7,0,1,31,1,0.006666666666666666
2022-07-22 06:00:00,7,0,1,27,18,0.024444444444444446
2022-07-22 07:00:00,7,0,1,29,33,0.07555555555555556
2022-07-22 08:00:00,7,0,1,29,60,0.46222222222222226
2022-07-22 09:00:00,7,0,1,27,60,0.5222222222222223
2022-07-22 10:00:00,7,0,1,28,60,0.1511111111111111
2022-07-22 11:00:00,7,0,1,29,60,0.4822222222222222
2022-07-22 12:00:00,7,0,1,33,60,0.12666666666666668
2022-07-22 13:00:00,7,0,1,34,60,0.5733333333333334
2022-07-22 14:00:00,7,0,1,34,60,0.13111111111111112
2022-07-22 15:00:00,7,0,1,33,60,0.5488888888888889
2022-07-22 16:00:00,7,0,1,34,54,0.1111111111111111
2022-07-23 08:00:00,7,1,0,31,59,0.2177777777777778
2022-07-23 09:00:00,7,1,0,33,60,0.27555555555555555
2022-07-23 10:00:00,7,1,0,34,60,0.26222222222222225
2022-07-23 11:00:00,7,1,0,36,60,0.2511111111111111
2022-07-23 12:00:00,7,1,0,36,60,0.25555555555555554
2022-07-23 13:00:00,7,1,0,36,60,0.2688888888888889
2022-07-23 14:00:00,7,1,0,36,60,0.36666666666666664
2022-07-23 15:00:00,7,1,0,35,60,0.24666666666666665
2022-07-23 16:00:00,7,1,0,34,60,0.24666666666666665
2022-07-23 17:00:00,7,1,0,32,1,0.0044444444444444444
2022-07-24 08:00:00,7,1,0,30,59,0.26666666666666666
2022-07-24 09:00:00,7,1,0,31,60,0.3088888888888889
2022-07-24 10:00:00,7,1,0,33,60,0.23777777777777775
2022-07-24 11:00:00,7,1,0,34,60,0.23111111111111113
2022-07-24 12:00:00,7,1,0,35,60,0.2911111111111111
2022-07-24 13:00:00,7,1,0,36,60,0.26666666666666666
2022-07-24 14:00:00,7,1,0,34,60,0.33555555555555555
2022-07-24 15:00:00,7,1,0,34,60,0.26
2022-07-24 16:00:00,7,1,0,33,48,0.13999999999999999
2022-07-24 17:00:00,7,1,0,32,1,0.0022222222222222222
2022-07-25 06:00:00,7,0,1,27,26,0.042222222222222223
2022-07-25 07:00:00,7,0,1,30,53,0.10444444444444445
2022-07-25 08:00:00,7,0,1,32,60,0.40888888888888886
2022-07-25 09:00:00,7,0,1,33,60,0.4533333333333333
2022-07-25 10:00:00,7,0,1,35,60,0.11555555555555556
2022-07-25 11:00:00,7,0,1,35,60,0.5088888888888888
2022-07-25 12:00:00,7,0,1,35,60,0.12666666666666668
2022-07-25 13:00:00,7,0,1,35,60,0.5577777777777778
2022-07-25 14:00:00,7,0,1,34,60,0.12222222222222222
2022-07-25 15:00:00,7,0,1,34,60,0.40888888888888886
2022-07-25 16:00:00,7,0,1,33,59,0.12222222222222222
2022-07-26 06:00:00,7,0,1,25,33,0.04666666666666667
2022-07-26 07:00:00,7,0,1,25,46,0.10666666666666666
2022-07-26 08:00:00,7,0,1,25,60,0.46222222222222226
2022-07-26 09:00:00,7,0,1,25,60,0.5488888888888889
2022-07-26 10:00:00,7,0,1,26,60,0.5777777777777777
2022-07-26 11:00:00,7,0,1,26,60,0.7044444444444444
2022-07-26 12:00:00,7,0,1,25,60,0.5377777777777778
2022-07-26 13:00:00,7,0,1,29,60,0.6
2022-07-26 14:00:00,7,0,1,29,60,0.5222222222222223
2022-07-26 15:00:00,7,0,1,30,60,0.5222222222222223
2022-07-26 16:00:00,7,0,1,30,60,0.5266666666666666
2022-07-27 06:00:00,7,0,1,28,27,0.03777777777777778
2022-07-27 07:00:00,7,0,1,30,35,0.08222222222222222
2022-07-27 08:00:00,7,0,1,32,60,0.46444444444444444
2022-07-27 09:00:00,7,0,1,33,60,0.4822222222222222
2022-07-27 10:00:00,7,0,1,33,60,0.13333333333333333
2022-07-27 11:00:00,7,0,1,34,60,0.6266666666666667
2022-07-27 12:00:00,7,0,1,34,60,0.13999999999999999
2022-07-27 13:00:00,7,0,1,35,60,0.5088888888888888
2022-07-27 14:00:00,7,0,1,34,60,0.13333333333333333
2022-07-27 15:00:00,7,0,1,33,60,0.5466666666666667
2022-07-27 16:00:00,7,0,1,33,60,0.11777777777777777
2022-07-28 07:00:00,7,0,1,29,50,0.13111111111111112
2022-07-28 08:00:00,7,0,1,32,60,0.45111111111111113
2022-07-28 09:00:00,7,0,1,31,60,0.5
2022-07-28 10:00:00,7,0,1,32,60,0.48666666666666664
2022-07-28 11:00:00,7,0,1,35,60,0.6133333333333334
2022-07-28 12:00:00,7,0,1,35,60,0.6377777777777778
2022-07-28 13:00:00,7,0,1,36,60,0.6444444444444445
2022-07-28 14:00:00,7,0,1,35,60,0.6311111111111111
2022-07-28 15:00:00,7,0,1,36,60,0.6333333333333333
2022-07-28 16:00:00,7,0,1,34,60,0.4533333333333333
2022-07-29 06:00:00,7,0,1,26,18,0.022222222222222223
2022-07-29 07:00:00,7,0,1,29,39,0.08
2022-07-29 08:00:00,7,0,1,30,60,0.4355555555555556
2022-07-29 09:00:00,7,0,1,30,60,0.4933333333333333
2022-07-29 10:00:00,7,0,1,35,60,0.1488888888888889
2022-07-29 11:00:00,7,0,1,37,60,0.5933333333333333
2022-07-29 12:00:00,7,0,1,37,60,0.12000000000000001
2022-07-29 13:00:00,7,0,1,37,60,0.5444444444444444
2022-07-29 14:00:00,7,0,1,36,60,0.13555555555555554
2022-07-29 15:00:00,7,0,1,35,60,0.4933333333333333
2022-07-29 16:00:00,7,0,1,35,60,0.12444444444444444
2022-07-30 06:00:00,7,1,0,28,21,0.026666666666666665
2022-07-30 07:00:00,7,1,0,30,13,0.02888888888888889
2022-07-30 08:00:00,7,1,0,31,60,0.2111111111111111
2022-07-30 09:00:00,7,1,0,32,60,0.26222222222222225
2022-07-30 10:00:00,7,1,0,35,60,0.3022222222222222
2022-07-30 11:00:00,7,1,0,37,60,0.26222222222222225
2022-07-30 12:00:00,7,1,0,36,60,0.2777777777777778
2022-07-30 13:00:00,7,1,0,36,60,0.2777777777777778
2022-07-30 14:00:00,7,1,0,36,60,0.2733333333333334
2022-07-30 15:00:00,7,1,0,36,60,0.2577777777777778
2022-07-30 16:00:00,7,1,0,34,60,0.18888888888888888
2022-07-31 08:00:00,7,1,0,33,60,0.2111111111111111
2022-07-31 09:00:00,7,1,0,35,60,0.26
2022-07-31 10:00:00,7,1,0,36,60,0.3288888888888889
2022-07-31 11:00:00,7,1,0,36,60,0.3111111111111111
2022-07-31 12:00:00,7,1,0,38,60,0.3422222222222222
2022-07-31 13:00:00,7,1,0,37,60,0.35111111111111115
2022-07-31 14:00:00,7,1,0,37,60,0.35333333333333333
2022-07-31 15:00:00,7,1,0,36,60,0.3044444444444444
2022-07-31 16:00:00,7,1,0,35,60,0.20444444444444443
2022-08-01 06:00:00,8,0,1,29,32,0.03777777777777778
2022-08-01 07:00:00,8,0,1,31,13,0.011111111111111112
2022-08-01 08:00:00,8,0,1,33,59,0.40444444444444444
2022-08-01 09:00:00,8,0,1,34,60,0.4755555555555555
2022-08-01 10:00:00,8,0,1,36,60,0.12222222222222222
2022-08-01 11:00:00,8,0,1,37,60,0.5333333333333333
2022-08-01 12:00:00,8,0,1,37,60,0.1488888888888889
2022-08-01 13:00:00,8,0,1,38,60,0.52
2022-08-01 14:00:00,8,0,1,37,60,0.13111111111111112
2022-08-01 15:00:00,8,0,1,37,60,0.5222222222222223
2022-08-01 16:00:00,8,0,1,36,60,0.1288888888888889
2022-08-01 17:00:00,8,0,1,34,55,0.09777777777777778
2022-08-01 18:00:00,8,0,1,33,60,0.1088888888888889
2022-08-01 19:00:00,8,0,1,32,47,0.06888888888888889
2022-08-01 20:00:00,8,0,1,31,55,0.07333333333333333
2022-08-01 21:00:00,8,0,1,31,36,0.05111111111111111
2022-08-02 06:00:00,8,0,1,30,29,0.035555555555555556
2022-08-02 07:00:00,8,0,1,32,45,0.1088888888888889
2022-08-02 08:00:00,8,0,1,34,60,0.44
2022-08-02 09:00:00,8,0,1,36,60,0.6066666666666667
2022-08-02 10:00:00,8,0,1,38,60,0.6244444444444445
2022-08-02 11:00:00,8,0,1,39,60,0.6333333333333333
2022-08-02 12:00:00,8,0,1,40,60,0.5977777777777777
2022-08-02 13:00:00,8,0,1,40,60,0.6155555555555555
2022-08-02 14:00:00,8,0,1,39,60,0.6111111111111112
2022-08-02 15:00:00,8,0,1,39,60,0.5955555555555556
2022-08-02 16:00:00,8,0,1,38,60,0.6088888888888888
2022-08-02 17:00:00,8,0,1,37,2,0.011111111111111112
2022-08-03 06:00:00,8,0,1,30,33,0.04888888888888889
2022-08-03 07:00:00,8,0,1,32,39,0.09777777777777778
2022-08-03 08:00:00,8,0,1,33,60,0.4422222222222222
2022-08-03 09:00:00,8,0,1,34,60,0.6111111111111112
2022-08-03 10:00:00,8,0,1,37,60,0.1822222222222222
2022-08-03 11:00:00,8,0,1,39,60,0.6666666666666666
2022-08-03 12:00:00,8,0,1,38,60,0.17333333333333334
2022-08-03 13:00:00,8,0,1,39,57,0.5844444444444444
2022-08-03 14:00:00,8,0,1,36,60,0.17777777777777778
2022-08-03 15:00:00,8,0,1,37,60,0.5755555555555555
2022-08-03 16:00:00,8,0,1,36,60,0.16
2022-08-03 17:00:00,8,0,1,35,57,0.11333333333333333
2022-08-03 18:00:00,8,0,1,35,60,0.1111111111111111
2022-08-03 19:00:00,8,0,1,34,60,0.10666666666666666
2022-08-03 20:00:00,8,0,1,34,60,0.1288888888888889
2022-08-03 21:00:00,8,0,1,33,36,0.06666666666666667
2022-08-04 06:00:00,8,0,1,25,34,0.04666666666666667
2022-08-04 07:00:00,8,0,1,25,41,0.08888888888888889
2022-08-04 08:00:00,8,0,1,25,60,0.4711111111111111
2022-08-04 09:00:00,8,0,1,26,60,0.7022222222222223
2022-08-04 10:00:00,8,0,1,27,60,0.72
2022-08-04 11:00:00,8,0,1,27,60,0.7377777777777779
2022-08-04 12:00:00,8,0,1,27,60,0.7222222222222222
2022-08-04 13:00:00,8,0,1,28,60,0.72
2022-08-04 14:00:00,8,0,1,28,60,0.7266666666666667
2022-08-04 15:00:00,8,0,1,26,60,0.6666666666666666
2022-08-04 16:00:00,8,0,1,23,60,0.6933333333333334
2022-08-04 17:00:00,8,0,1,23,1,0.011111111111111112
2022-08-05 06:00:00,8,0,1,22,19,0.026666666666666665
2022-08-05 07:00:00,8,0,1,23,53,0.1
2022-08-05 08:00:00,8,0,1,23,60,0.40444444444444444
2022-08-05 09:00:00,8,0,1,25,60,0.5177777777777778
2022-08-05 10:00:00,8,0,1,26,60,0.12000000000000001
2022-08-05 11:00:00,8,0,1,26,60,0.48000000000000004
2022-08-05 12:00:00,8,0,1,28,60,0.10222222222222221
2022-08-05 13:00:00,8,0,1,30,60,0.4777777777777778
2022-08-05 14:00:00,8,0,1,28,60,0.10666666666666666
2022-08-05 15:00:00,8,0,1,26,60,0.4488888888888889
2022-08-05 16:00:00,8,0,1,26,47,0.0911111111111111
2022-08-06 08:00:00,8,1,0,25,59,0.1822222222222222
2022-08-06 09:00:00,8,1,0,26,60,0.24444444444444444
2022-08-06 10:00:00,8,1,0,27,60,0.22
2022-08-06 11:00:00,8,1,0,27,51,0.15333333333333335
