,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.0
2021-05-16,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.08,0.04,0.04,0.12,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
2021-05-23,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.04,0.08,0.08,0.04,0.04,0.0,0.0,0.04,0.0,0.04,0.0,0.0
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.04,0.04,0.04,0.08,0.12,0.04,0.04,0.08,0.04,0.0,0.0,0.0,0.04,0.0
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.04
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2021-05-28,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.08,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0
2021-05-29,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.08,0.04,0.12,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0
