,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
329,4.01,0.2,0.34,2.96
330,3.03,3.42,10.01,9.63
331,3.33,0.56,7.23,5.45
332,4.39,9.22,12.68,11.25
334,150.68,51.89,23.34,25.84
336,148.72,80.78,6.55,22.85
337,35.05,22.05,7.26,6.75
338,10.87,19.22,2.61,1.92
340,26.78,0.34,6.21,6.36
342,80.59,37.29,9.29,0.43
343,3.59,3.12,4.24,1.47
344,4.5,4.13,4.31,8.62
345,3.55,1.23,1.63,2.64
348,3.97,1.85,1.38,1.27
350,0.33,0.84,0.03,0.62
351,0.84,0.23,0.25,0.7
352,1.06,1.06,0.16,0.46
353,7.15,1.65,3.29,2.88
354,12.46,5.69,5.41,7.42
355,23.53,13.75,3.36,6.32
356,15.43,13.92,4.53,1.85
357,27.03,24.04,26.76,33.06
358,178.47,196.77,36.41,30.18
360,43.58,19.37,12.5,4.67
361,22.31,18.52,4.97,1.23
362,14.13,14.42,29.24,23.71
363,149.83,104.62,19.96,16.74
366,3.52,1.91,11.12,12.12
367,1.45,0.9,8.82,10.85
369,0.83,0.04,0.2,0.25
370,4.21,1.33,0.46,0.56
373,0.36,1.1,1.6,0.8
375,5.7,0.33,0.67,2.3
378,9.93,9.81,9.72,12.74
380,21.68,15.34,11.75,20.69
382,27.04,13.32,14.93,7.16
385,30.1,59.87,22.93,24.9
386,41.64,29.29,9.65,3.95
387,3.94,7.05,18.81,18.01
388,17.36,14.64,16.34,18.0
393,3.21,2.51,1.1,0.88
394,4.29,1.4,0.29,0.15
396,0.16,0.35,1.58,0.09
397,3.41,1.85,0.36,1.08
398,0.6,1.91,0.68,0.33
399,0.64,0.29,1.1,0.04
400,1.88,0.28,0.22,1.05
403,8.21,0.39,10.76,16.19
404,84.38,63.51,7.13,8.38
405,2.86,8.73,10.68,10.41
407,15.38,1.95,14.0,1.79
408,52.24,38.13,0.83,4.83
409,23.14,36.69,23.45,32.55
411,14.5,5.09,0.86,1.34
412,19.66,24.29,24.53,32.6
414,0.49,3.26,9.32,1.6
416,25.23,18.46,16.39,29.68
417,3.28,4.8,3.1,4.39
418,3.48,2.54,1.09,1.61
419,0.68,0.37,0.56,3.5
420,0.86,0.75,0.63,0.52
421,1.73,0.19,2.06,1.27
423,2.07,1.47,0.46,1.2
424,2.5,0.09,0.52,0.09
425,2.99,4.05,1.63,2.39
428,5.21,10.66,3.99,5.61
429,42.35,33.12,25.7,21.78
431,37.93,4.79,6.43,1.9
433,25.47,16.35,3.59,1.38
434,39.97,50.64,8.13,11.26
435,6.1,17.09,7.16,4.06
437,171.72,96.18,41.47,56.99
440,117.3,80.49,34.15,57.3
441,9.17,4.8,4.35,9.39
442,2.83,1.28,1.52,0.38
443,2.82,2.09,3.89,1.75
444,4.27,0.76,6.73,9.67
445,2.23,1.14,4.23,5.82
446,0.12,0.58,0.42,1.21
447,9.01,7.48,10.16,17.91
448,5.08,5.6,4.64,0.78
449,12.52,4.13,0.19,3.74
450,46.05,2.92,2.9,11.54
453,41.71,28.18,9.3,0.75
454,24.96,21.13,16.42,26.59
455,19.47,23.04,14.02,40.61
457,35.12,30.61,19.79,14.55
459,15.45,8.32,19.65,23.31
460,1.39,6.54,1.23,12.43
461,26.42,10.51,19.34,23.31
463,1.24,8.98,9.86,9.33
465,1.39,4.44,18.54,30.86
466,41.27,0.42,12.85,2.55
467,8.79,3.99,1.49,6.93
468,33.89,12.69,10.89,12.53
469,4.67,1.34,1.23,4.85
471,11.25,7.08,0.09,4.1
472,0.82,1.3,2.38,4.38
478,67.18,60.85,9.65,3.98
479,26.1,34.66,1.02,2.55
480,38.2,39.8,4.56,3.74
481,120.32,56.83,22.85,5.7
484,3.93,1.96,0.61,5.07
485,49.85,35.61,6.17,13.43
487,11.04,8.29,3.26,3.29
490,2.97,2.11,3.52,3.55
492,4.53,2.63,0.39,0.6
494,0.16,0.14,0.46,1.27
496,2.11,0.74,0.87,0.38
497,0.02,1.22,2.17,6.03
501,2.18,1.93,11.02,15.87
502,31.03,23.01,11.98,20.79
503,6.97,16.96,3.24,0.98
506,2.63,9.56,0.84,3.12
507,48.01,51.04,10.03,11.52
508,7.38,4.22,1.96,0.92
509,4.22,5.07,9.76,8.5
510,148.2,84.1,38.04,10.17
511,1.29,6.2,0.87,7.81
514,1.32,1.0,2.11,2.56
515,2.62,0.46,1.69,1.37
