,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-07-18,49.0,1.0,15.0,9.0,11.0,6.0,2018-07-18
2018-07-19,49.0,1.0,11.0,6.0,6.0,4.0,2018-07-19
2018-07-20,50.0,1.0,24.0,13.0,12.0,6.0,2018-07-20
2018-07-21,19.0,1.0,2.0,1.0,1.0,1.0,2018-07-21
2018-07-22,19.0,1.0,1.0,1.0,1.0,1.0,2018-07-22
2018-07-23,33.0,1.0,7.0,4.0,4.0,3.0,2018-07-23
2018-07-24,54.0,1.0,37.0,20.0,21.0,10.0,2018-07-24
2018-07-25,59.0,1.0,35.0,20.0,24.0,7.0,2018-07-25
2018-07-26,45.0,1.0,28.0,13.0,13.0,6.0,2018-07-26
2018-07-27,44.0,1.0,23.0,13.0,12.0,5.0,2018-07-27
2018-07-28,9.0,2.0,2.0,1.0,1.0,1.0,2018-07-28
2018-07-29,10.0,1.0,1.0,1.0,1.0,1.0,2018-07-29
2018-07-30,49.0,1.0,35.0,20.0,19.0,7.0,2018-07-30
2018-07-31,50.0,1.0,37.0,24.0,21.0,8.0,2018-07-31
2018-08-01,53.0,1.0,39.0,21.0,23.0,7.0,2018-08-01
2018-08-02,61.0,1.0,40.0,22.0,21.0,8.0,2018-08-02
2018-08-03,59.0,1.0,39.0,26.0,26.0,11.0,2018-08-03
2018-08-04,12.0,1.0,2.0,1.0,1.0,0.0,2018-08-04
2018-08-05,18.0,1.0,1.0,1.0,1.0,1.0,2018-08-05
2018-08-06,73.0,1.0,37.0,21.0,19.0,14.0,2018-08-06
2018-08-07,36.0,1.0,3.0,4.0,1.0,1.0,2018-08-07
2018-08-08,41.0,2.0,7.0,6.0,4.0,5.0,2018-08-08
2018-08-09,48.0,1.0,13.0,16.0,13.0,4.0,2018-08-09
2018-08-10,63.0,1.0,39.0,22.0,17.0,13.0,2018-08-10
2018-08-11,13.0,1.0,1.0,1.0,1.0,1.0,2018-08-11
2018-08-12,9.0,1.0,2.0,1.0,1.0,1.0,2018-08-12
2018-08-13,46.0,1.0,29.0,19.0,14.0,8.0,2018-08-13
2018-08-14,47.0,1.0,36.0,23.0,21.0,8.0,2018-08-14
2018-08-15,52.0,1.0,38.0,23.0,20.0,10.0,2018-08-15
2018-08-16,49.0,1.0,35.0,21.0,19.0,9.0,2018-08-16
2018-08-17,35.0,1.0,8.0,11.0,13.0,6.0,2018-08-17
2018-08-18,7.0,1.0,2.0,1.0,0.0,1.0,2018-08-18
2018-08-19,8.0,2.0,1.0,1.0,1.0,1.0,2018-08-19
2018-08-20,37.0,1.0,4.0,10.0,10.0,4.0,2018-08-20
2018-08-21,47.0,1.0,36.0,21.0,20.0,6.0,2018-08-21
2018-08-22,51.0,1.0,38.0,20.0,22.0,10.0,2018-08-22
2018-08-23,51.0,1.0,38.0,21.0,23.0,11.0,2018-08-23
2018-08-24,51.0,1.0,34.0,23.0,15.0,11.0,2018-08-24
2018-08-25,15.0,1.0,1.0,1.0,1.0,1.0,2018-08-25
2018-08-26,14.0,1.0,1.0,1.0,1.0,1.0,2018-08-26
2018-08-27,55.0,1.0,37.0,22.0,20.0,9.0,2018-08-27
2018-08-28,45.0,1.0,28.0,17.0,15.0,12.0,2018-08-28
2018-08-29,41.0,1.0,18.0,16.0,15.0,11.0,2018-08-29
2018-08-30,46.0,2.0,36.0,22.0,21.0,14.0,2018-08-30
2018-08-31,53.0,1.0,38.0,20.0,20.0,13.0,2018-08-31
2018-09-01,12.0,1.0,1.0,1.0,1.0,1.0,2018-09-01
2018-09-02,7.0,1.0,2.0,1.0,1.0,1.0,2018-09-02
2018-09-03,37.0,1.0,6.0,5.0,5.0,4.0,2018-09-03
2018-09-04,42.0,1.0,12.0,21.0,17.0,5.0,2018-09-04
2018-09-05,46.0,1.0,14.0,16.0,16.0,8.0,2018-09-05
2018-09-06,41.0,1.0,29.0,13.0,14.0,10.0,2018-09-06
2018-09-07,44.0,1.0,21.0,16.0,15.0,11.0,2018-09-07
2018-09-08,10.0,2.0,1.0,1.0,1.0,1.0,2018-09-08
2018-09-09,11.0,1.0,2.0,1.0,1.0,1.0,2018-09-09
2018-09-10,44.0,1.0,24.0,15.0,12.0,10.0,2018-09-10
2018-09-11,30.0,1.0,4.0,2.0,1.0,1.0,2018-09-11
2018-09-12,15.0,1.0,3.0,1.0,1.0,1.0,2018-09-12
2018-09-13,15.0,1.0,5.0,5.0,3.0,3.0,2018-09-13
2018-09-14,16.0,1.0,4.0,1.0,1.0,1.0,2018-09-14
2018-09-15,6.0,1.0,1.0,1.0,1.0,1.0,2018-09-15
2018-09-16,6.0,2.0,2.0,1.0,1.0,1.0,2018-09-16
2018-09-17,8.0,1.0,1.0,1.0,1.0,1.0,2018-09-17
2018-09-18,16.0,1.0,10.0,9.0,10.0,3.0,2018-09-18
2018-09-19,13.0,1.0,4.0,5.0,1.0,2.0,2018-09-19
2018-09-20,15.0,1.0,3.0,1.0,1.0,1.0,2018-09-20
2018-09-21,11.0,1.0,2.0,1.0,1.0,2.0,2018-09-21
2018-09-22,6.0,1.0,1.0,1.0,1.0,0.0,2018-09-22
2018-09-23,7.0,1.0,2.0,1.0,1.0,1.0,2018-09-23
2018-09-24,6.0,2.0,1.0,1.0,1.0,1.0,2018-09-24
2018-09-25,12.0,1.0,4.0,1.0,1.0,2.0,2018-09-25
2018-09-26,9.0,1.0,2.0,1.0,1.0,1.0,2018-09-26
2018-09-27,7.0,1.0,1.0,1.0,1.0,1.0,2018-09-27
