,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2898,inf,inf
2899,72.84,0.26
2902,75.08,2.96
2904,76.81,0.37
2914,17.15,8.73
2917,13.17,30.78
2918,17.81,14.93
2933,inf,inf
2937,inf,inf
2938,48.76,0.7
2939,inf,inf
2944,inf,inf
2945,inf,inf
2950,80.15,4.3
2951,inf,inf
2953,inf,inf
2959,inf,inf
2965,66.56,7.45
2967,inf,inf
2968,inf,inf
2969,inf,inf
2971,66.03,1.65
2976,60.47,2.04
2980,inf,inf
2981,65.65,2.81
2993,inf,inf
2998,inf,inf
3001,inf,inf
3003,inf,inf
3012,15.81,7.95
3014,8.68,1.95
3015,40.81,30.62
3018,inf,inf
3022,inf,inf
3023,59.02,0.14
3024,inf,inf
3025,inf,inf
3026,inf,inf
3027,60.83,0.1
3030,inf,inf
3034,14.02,2.92
3036,inf,inf
3047,inf,inf
3048,inf,inf
3053,51.58,1.08
3059,518.69,11.24
3061,266.68,5.32
3064,97.43,4.45
3065,31.89,1.57
3072,inf,inf
3079,42.79,2.99
3085,inf,inf
3091,inf,inf
3098,63.83,0.7
3099,inf,inf
3100,inf,inf
3107,inf,inf
3109,inf,inf
3117,inf,inf
3121,inf,inf
3126,inf,inf
3127,46.21,3.85
3130,inf,inf
3131,inf,inf
3132,70.85,0.83
3133,inf,inf
3135,83.45,0.46
3138,inf,inf
3141,inf,inf
3143,58.52,1.78
3144,inf,inf
3146,55.89,0.36
3152,inf,inf
3155,57.54,2.66
3162,74.79,0.59
3163,inf,inf
3164,inf,inf
3165,inf,inf
3167,inf,inf
3169,70.7,0.87
3170,inf,inf
3172,inf,inf
3176,inf,inf
3179,17.07,2.11
3180,inf,inf
3187,inf,inf
3190,inf,inf
3194,inf,inf
3195,81.08,0.38
3196,inf,inf
3198,36.52,1.3
3201,67.99,0.87
3206,5.64,3.3
3209,inf,inf
3211,inf,inf
3213,inf,inf
3215,58.04,0.1
3218,67.26,1.17
3222,inf,inf
3223,28.57,2.21
3224,inf,inf
3226,10.31,7.47
3227,67.88,14.67
3229,1.15,0.62
3240,inf,inf
3243,inf,inf
3246,12.69,0.01
3247,inf,inf
3249,13.32,1.89
3252,19.35,4.54
3254,65.28,2.91
3256,59.72,4.73
3261,inf,inf
3265,inf,inf
3267,inf,inf
3269,70.46,1.83
3273,inf,inf
3282,inf,inf
3287,64.95,4.44
3290,69.94,0.7
3294,80.2,2.25
3297,66.61,0.76
3299,inf,inf
3301,84.93,14.86
3302,71.22,11.31
3303,inf,inf
3307,61.75,1.9
3310,63.09,2.24
3311,inf,inf
3317,80.02,2.77
