列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/25 12:00,月曜日,34,3,Ｍ,2,36.8,56,1.4,3.4,0,2.4
2022/7/25 14:00,月曜日,34,3,Ｍ,1.9,36.4,56,1.4,3.4,0,2.4
2022/7/25 16:00,月曜日,32,3,Ｍ,1.8,35.5,56,1.4,3.4,0,2.4
2022/7/26 8:00,火曜日,28,5,Ｍ,1.1,33.6,56,1.1,3.3,0,3.0
2022/7/26 9:00,火曜日,28,4,Ｍ,2.4,36.3,60,1.3,3.9,0,3.0
2022/7/26 10:00,火曜日,28,5,Ｍ,-0.6,34.5,53,1.1,3,0,2.7
2022/7/26 11:00,火曜日,28,3,Ｍ,2.4,36.1,60,1.3,3.9,0,3.0
2022/7/26 12:00,火曜日,27,5,Ｍ,2.2,35.7,60,1.3,3.8,0,2.9
2022/7/26 13:00,火曜日,30,4,Ｍ,-0.3,35.9,50,1.1,2.9,0,2.6
2022/7/26 14:00,火曜日,31,5,Ｍ,3.2,36.6,60,1.3,3.9,0,3.0
2022/7/26 15:00,火曜日,31,4,Ｍ,2.9,36.8,60,1.4,3.8,0,2.7
2022/7/26 16:00,火曜日,30,5,Ｍ,0.6,35.8,53,1.1,3.1,0,2.8
2022/7/26 17:00,火曜日,31,4,Ｍ,2,35.4,60,1.3,3.7,0,2.8
2022/7/27 8:00,水曜日,33,5,Ｍ,1.4,37.8,56,1.3,3.1,0,2.4
2022/7/27 10:00,水曜日,34,5,Ｍ,-1,37.6,49,1.1,2.4,0,2.2
2022/7/27 12:00,水曜日,34,4,Ｍ,-0.8,37.3,49,1.1,2.5,0,2.3
2022/7/27 14:00,水曜日,34,4,Ｍ,-1.1,37.1,49,1.1,2.4,0,2.2
2022/7/27 16:00,水曜日,33,5,Ｍ,-0.8,37.3,49,1.1,2.5,0,2.3
2022/7/28 8:00,木曜日,33,5,Ｍ,1.4,37.1,56,1.2,3.3,0,2.8
2022/7/28 9:00,木曜日,33,4,Ｍ,2.7,37.5,60,1.4,3.8,0,2.7
2022/7/28 10:00,木曜日,33,5,Ｍ,2.9,37.6,60,1.4,3.7,0,2.6
2022/7/28 11:00,木曜日,33,5,Ｍ,-4.7,36.8,45,1,1.9,0,1.9
2022/7/28 12:00,木曜日,34,4,Ｍ,3,36.4,60,1.6,3.7,0,2.3
2022/7/28 13:00,木曜日,34,3,Ｍ,2.8,36.5,60,1.6,3.7,0,2.3
2022/7/28 14:00,木曜日,35,4,Ｍ,2.8,37.5,60,1.6,3.6,0,2.3
2022/7/28 15:00,木曜日,34,4,Ｍ,-0.2,37.2,53,1.3,2.8,0,2.2
2022/7/28 16:00,木曜日,34,5,Ｍ,2.9,36.3,60,1.5,3.7,0,2.5
2022/7/28 17:00,木曜日,32,4,Ｍ,2.5,34.3,60,1.4,3.7,0,2.6
2022/7/29 8:00,金曜日,33,5,Ｍ,1.5,37.3,56,1.3,3.5,0,2.7
2022/7/29 10:00,金曜日,35,4,Ｍ,-1.9,37.2,47,1.1,2.2,0,2.0
2022/7/29 12:00,金曜日,36,4,Ｍ,-0.1,38.4,50,1.3,2.6,0,2.0
2022/7/29 14:00,金曜日,36,4,Ｍ,2.3,38.3,56,1.5,3.3,0,2.2
2022/7/29 16:00,金曜日,34,4,Ｍ,2.1,37.1,56,1.4,3.2,0,2.3
