,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
576,inf,inf,inf,inf
579,inf,inf,inf,inf
581,inf,inf,inf,inf
583,inf,inf,inf,inf
584,inf,inf,inf,inf
586,inf,inf,inf,inf
587,inf,inf,inf,inf
588,inf,inf,inf,inf
590,inf,inf,inf,inf
591,inf,inf,inf,inf
596,inf,inf,inf,inf
597,inf,inf,inf,inf
598,inf,inf,inf,inf
599,inf,inf,inf,inf
600,inf,inf,inf,inf
602,inf,inf,inf,inf
603,inf,inf,inf,inf
605,inf,inf,inf,inf
607,inf,inf,inf,inf
608,inf,inf,inf,inf
610,18.31,14.24,11.19,11.7
611,13.54,14.18,6.32,1.12
612,3.74,4.52,2.12,1.78
614,1.74,3.51,4.49,5.26
615,13.01,13.0,7.61,8.33
616,0.13,2.41,7.48,6.36
617,0.99,3.48,2.33,0.7
619,inf,inf,inf,inf
620,81.75,67.35,15.6,24.99
625,inf,inf,inf,inf
627,inf,inf,inf,inf
629,inf,inf,inf,inf
630,inf,inf,inf,inf
631,50.88,48.67,44.29,45.11
632,7.13,6.37,18.11,6.19
633,21.88,16.84,18.25,11.17
634,3.71,4.79,8.3,7.31
635,1.28,3.84,0.61,3.02
636,17.51,20.89,17.43,13.54
637,10.24,11.49,5.59,5.98
638,10.83,8.32,5.16,3.83
639,13.55,11.5,9.87,10.35
640,14.06,14.09,13.49,4.46
641,10.36,16.38,13.34,11.83
642,38.19,42.35,28.86,28.86
643,56.4,52.78,13.55,18.13
645,76.81,60.64,9.41,3.7
646,inf,inf,inf,inf
647,inf,inf,inf,inf
648,inf,inf,inf,inf
649,inf,inf,inf,inf
650,inf,inf,inf,inf
651,inf,inf,inf,inf
653,inf,inf,inf,inf
655,20.01,15.19,24.43,20.62
657,4.63,1.79,2.39,0.73
659,14.26,12.95,18.05,18.42
660,1.33,4.08,0.16,2.43
663,3.9,0.23,5.76,3.98
664,1.6,1.64,1.36,0.76
665,3.46,0.2,2.34,1.39
666,24.56,27.7,18.13,12.91
667,54.98,47.68,18.46,14.08
670,inf,inf,inf,inf
671,inf,inf,inf,inf
672,inf,inf,inf,inf
675,inf,inf,inf,inf
676,inf,inf,inf,inf
677,inf,inf,inf,inf
678,inf,inf,inf,inf
679,16.3,16.38,25.22,15.67
680,44.34,57.95,46.9,38.63
682,6.85,9.37,11.4,6.01
685,8.72,9.47,4.8,1.87
686,7.53,8.93,1.57,3.38
687,3.13,0.61,0.8,0.23
688,8.07,5.66,8.89,7.87
689,82.21,78.44,93.78,77.28
691,inf,inf,inf,inf
693,inf,inf,inf,inf
694,inf,inf,inf,inf
695,inf,inf,inf,inf
696,inf,inf,inf,inf
698,86.48,88.45,1.21,1.51
699,inf,inf,inf,inf
700,inf,inf,inf,inf
701,inf,inf,inf,inf
703,inf,inf,inf,inf
706,3.57,6.04,1.41,1.55
707,1.53,3.11,1.98,2.16
708,1.12,5.69,1.23,1.86
710,7.31,7.24,5.0,4.53
711,20.33,19.01,10.96,10.68
712,10.31,6.08,7.99,4.44
713,5.42,5.3,9.7,10.32
714,35.31,35.98,28.91,20.31
716,72.93,60.59,20.67,23.92
718,inf,inf,inf,inf
719,inf,inf,inf,inf
720,inf,inf,inf,inf
723,inf,inf,inf,inf
725,inf,inf,inf,inf
726,62.31,58.98,6.73,14.04
727,inf,inf,inf,inf
728,inf,inf,inf,inf
729,inf,inf,inf,inf
730,29.98,22.46,16.86,13.06
731,20.82,17.08,13.72,15.07
732,11.67,9.89,2.71,1.18
733,8.1,11.92,6.22,5.06
734,2.21,8.05,5.42,1.05
735,33.16,32.45,24.29,20.93
737,52.32,35.96,40.87,53.43
740,inf,inf,inf,inf
743,inf,inf,inf,inf
746,90.79,86.99,0.46,1.47
747,inf,inf,inf,inf
750,inf,inf,inf,inf
751,inf,inf,inf,inf
752,inf,inf,inf,inf
753,inf,inf,inf,inf
754,inf,inf,inf,inf
759,inf,inf,inf,inf
760,inf,inf,inf,inf
761,inf,inf,inf,inf
764,inf,inf,inf,inf
765,inf,inf,inf,inf
768,inf,inf,inf,inf
770,inf,inf,inf,inf
771,inf,inf,inf,inf
