,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
598,1.11,1.0,1.0
599,1.08,1.0,1.0
602,1.33,2.0,1.99
603,1.23,1.0,1.0
604,1.44,1.0,1.0
605,1.23,1.0,1.0
606,1.28,1.0,1.0
607,1.28,1.0,1.0
608,1.5,2.0,1.99
609,1.18,1.0,0.99
611,1.21,1.0,1.0
612,1.19,1.0,1.0
613,1.52,2.0,2.0
617,1.12,1.0,0.98
618,1.46,2.0,2.0
620,1.35,1.0,0.99
622,1.14,1.0,1.0
623,1.59,2.0,2.0
624,1.24,1.0,1.0
626,1.26,1.0,0.99
627,1.52,2.0,2.0
631,1.48,2.0,2.0
632,1.29,1.0,0.99
634,1.34,1.0,1.0
637,1.19,1.0,0.99
638,1.21,1.0,1.01
639,1.25,1.0,0.98
640,1.38,2.0,2.01
642,1.34,1.0,1.01
643,1.35,1.0,1.0
644,1.43,2.0,1.98
645,1.13,1.0,0.99
646,1.37,1.0,1.0
647,1.3,1.0,0.98
649,1.49,2.0,1.98
651,1.08,1.0,0.98
652,1.31,1.0,1.0
653,1.27,1.0,1.0
655,1.42,2.0,1.99
656,1.2,1.0,1.0
658,1.33,1.0,1.01
659,1.27,1.0,1.01
660,1.46,2.0,1.97
662,1.49,1.0,1.0
665,1.3,1.0,1.0
666,1.43,2.0,1.99
668,1.29,1.0,1.0
670,1.11,1.0,1.02
672,1.09,1.0,1.0
673,1.17,1.0,0.99
674,1.13,1.0,1.0
675,1.45,2.0,1.99
677,1.24,1.0,1.0
678,1.2,1.0,1.0
679,1.23,1.0,1.02
681,1.14,1.0,1.0
682,1.25,1.0,1.0
683,1.25,1.0,1.0
684,1.2,1.0,1.0
686,1.09,1.0,1.0
687,1.15,1.0,1.0
690,1.57,2.0,1.94
692,1.22,1.0,1.0
693,1.06,1.0,1.0
694,1.14,1.0,1.0
696,1.1,1.0,0.99
697,1.14,1.0,1.02
699,1.28,1.0,1.0
701,1.15,1.0,0.97
703,1.11,1.0,1.0
704,1.1,1.0,1.0
706,1.32,2.0,2.01
707,1.2,1.0,1.0
709,1.15,1.0,0.99
710,1.38,1.0,1.0
711,1.61,2.0,2.01
713,1.14,1.0,0.99
714,1.27,1.0,1.0
715,1.2,1.0,1.0
716,1.16,1.0,1.0
717,1.46,2.0,1.96
719,1.12,1.0,1.0
720,1.23,1.0,1.0
721,1.11,1.0,0.97
722,1.18,1.0,1.0
724,1.04,1.0,1.0
725,1.21,1.0,1.0
726,1.11,1.0,1.0
727,1.24,1.0,1.01
728,1.12,1.0,1.0
729,1.36,2.0,1.93
730,1.6,2.0,2.01
731,1.24,1.0,1.0
732,1.4,2.0,2.35
733,1.16,1.0,1.12
734,1.22,1.0,0.99
736,1.22,1.0,1.0
738,1.25,1.0,1.05
739,1.66,2.0,2.01
740,1.26,1.0,1.0
741,1.36,1.0,1.0
742,1.49,2.0,2.2
744,1.35,2.0,1.98
745,1.41,1.0,0.97
746,1.3,1.0,0.99
747,1.39,2.0,1.99
749,1.37,2.0,1.94
752,1.42,2.0,1.98
753,1.23,1.0,1.0
754,1.27,1.0,1.0
755,1.29,2.0,1.99
756,1.3,1.0,1.0
757,1.41,2.0,1.96
759,1.31,2.0,2.0
761,1.19,1.0,1.0
762,1.61,2.0,2.16
763,1.17,1.0,1.0
765,1.43,2.0,2.01
766,1.14,1.0,1.0
768,1.11,1.0,1.0
769,1.39,1.0,1.01
770,1.58,2.0,1.99
771,1.08,1.0,1.0
773,1.42,2.0,2.01
775,1.46,2.0,2.01
776,1.14,1.0,1.01
777,1.1,1.0,1.0
778,1.41,2.0,2.0
781,1.48,2.0,1.87
783,1.32,1.0,0.79
784,1.42,2.0,2.14
785,1.42,1.0,0.91
787,1.39,2.0,1.98
789,1.31,2.0,2.01
792,1.47,2.0,2.0
793,1.22,1.0,0.98
795,1.62,2.0,2.0
796,1.23,1.0,0.89
797,1.22,1.0,1.0
800,1.5,2.0,2.01
801,1.17,1.0,1.0
802,1.21,1.0,1.0
803,1.64,2.0,2.43
804,1.25,1.0,1.0
805,1.34,1.0,1.01
809,1.45,2.0,1.96
810,1.18,1.0,1.0
811,1.2,2.0,2.14
812,1.48,2.0,1.98
815,1.11,1.0,1.0
816,1.49,1.0,0.94
817,1.17,1.0,0.99
818,1.28,1.0,1.0
819,1.41,2.0,1.98
820,1.17,1.0,1.0
821,1.1,1.0,1.02
822,1.25,1.0,1.02
823,1.28,1.0,1.06
824,1.31,1.0,1.0
825,1.31,1.0,1.0
826,1.4,2.0,1.99
827,1.35,1.0,1.0
828,1.27,1.0,1.0
829,1.27,1.0,1.0
831,1.14,1.0,0.99
833,1.16,1.0,1.0
834,1.21,1.0,1.0
837,1.17,1.0,1.0
838,1.16,1.0,0.99
840,1.14,1.0,0.97
846,1.1,1.0,1.05
848,1.43,2.0,2.22
849,1.1,1.0,1.07
850,1.05,1.0,1.03
851,1.05,1.0,1.0
853,1.03,1.0,1.09
854,1.13,1.0,1.01
855,1.11,1.0,0.92
856,1.58,1.0,1.16
857,0.95,1.0,0.9
860,1.02,1.0,0.96
861,1.0,1.0,0.97
862,1.09,1.0,0.99
863,1.09,1.0,0.92
864,1.06,1.0,0.99
865,1.02,1.0,1.0
866,1.05,1.0,0.97
