,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
669,27.96,27.0,23.49
670,44.97,50.0,53.67
671,47.81,58.0,55.56
672,61.03,63.0,65.72
674,51.76,62.0,59.54
675,41.21,44.0,42.95
676,20.07,9.0,8.94
678,60.11,59.0,62.37
679,59.31,59.0,59.46
680,71.87,77.0,72.91
681,47.12,54.0,55.14
683,10.87,3.0,4.78
686,39.44,42.0,41.99
691,27.06,38.0,32.42
692,16.15,8.0,9.17
693,35.09,40.0,37.76
694,41.18,45.0,48.51
695,50.32,45.0,46.81
696,48.49,47.0,46.79
698,41.17,32.0,38.43
699,31.23,33.0,32.12
700,28.02,32.0,31.88
701,28.61,35.0,32.64
702,36.23,40.0,39.61
703,25.04,27.0,30.15
704,5.14,3.0,2.78
705,31.05,30.0,35.63
706,32.78,36.0,31.23
707,31.28,33.0,35.35
708,23.86,32.0,32.51
712,18.23,6.0,7.35
714,21.2,25.0,26.11
715,8.05,3.0,2.67
716,26.08,31.0,31.66
717,20.75,30.0,28.82
718,14.32,29.0,27.68
719,7.46,2.0,2.42
721,26.52,21.0,21.89
722,14.22,3.0,2.72
723,17.3,22.0,22.26
726,13.23,24.0,21.09
727,7.74,3.0,2.86
728,7.25,2.0,1.74
730,9.72,2.0,2.09
732,15.63,19.0,19.53
733,16.38,24.0,25.02
734,5.32,6.0,6.57
735,9.93,15.0,14.39
736,2.28,2.0,1.91
738,18.28,22.0,21.44
739,16.67,3.0,1.06
740,22.79,24.0,22.82
742,9.83,12.0,14.07
745,5.01,3.0,2.38
746,4.17,2.0,1.95
747,4.31,3.0,2.79
748,3.41,2.0,2.14
749,6.4,2.0,1.86
750,4.16,3.0,3.15
751,5.6,2.0,2.07
752,5.26,3.0,2.94
753,6.33,2.0,1.77
754,11.59,7.0,8.75
755,3.31,2.0,2.05
756,6.77,2.0,2.21
757,5.45,2.0,1.85
761,8.29,18.0,18.51
762,3.78,4.0,4.99
763,5.63,2.0,1.82
764,5.82,3.0,3.03
765,3.46,2.0,1.82
766,2.34,2.0,2.06
767,3.8,3.0,3.27
768,4.14,2.0,1.8
771,4.08,2.0,1.83
772,4.02,2.0,2.04
773,3.78,3.0,2.72
774,7.89,15.0,16.34
776,12.05,12.0,12.05
777,5.04,2.0,1.81
778,10.18,19.0,16.95
779,15.95,18.0,17.39
781,9.92,11.0,13.07
783,23.42,24.0,24.75
784,7.28,2.0,2.04
788,17.62,30.0,29.39
789,22.69,33.0,28.13
790,18.31,25.0,25.83
791,4.29,2.0,1.89
792,5.8,2.0,1.67
793,28.21,24.0,29.57
794,28.5,34.0,33.49
795,28.65,29.0,28.9
796,41.77,36.0,36.56
797,19.15,27.0,30.19
798,5.72,2.0,2.21
799,5.79,3.0,3.01
800,3.88,2.0,1.35
801,5.62,2.0,1.92
802,5.59,8.0,8.77
803,18.34,22.0,23.35
804,26.11,32.0,30.23
807,22.35,22.0,27.76
808,38.5,37.0,34.25
810,35.46,44.0,39.7
811,35.34,38.0,36.86
814,4.75,5.0,6.43
815,17.94,15.0,17.84
816,35.91,34.0,33.5
817,33.86,35.0,36.89
818,32.61,33.0,33.78
819,6.88,12.0,12.77
821,22.9,19.0,18.17
822,29.02,20.0,23.48
823,37.04,30.0,31.84
824,23.68,28.0,27.98
825,23.38,25.0,26.33
827,8.96,10.0,10.74
829,7.05,13.0,14.24
830,16.25,21.0,20.62
833,11.46,17.0,16.35
835,10.81,7.0,6.38
836,11.11,4.0,3.99
838,39.34,38.0,39.58
839,37.07,38.0,35.27
841,24.55,25.0,26.03
842,22.3,26.0,27.0
844,40.64,39.0,35.91
845,45.5,39.0,43.39
846,53.72,56.0,51.75
847,25.51,34.0,38.96
849,59.38,50.0,54.77
850,52.0,59.0,56.22
851,62.31,61.0,59.76
852,61.79,65.0,59.45
854,38.37,41.0,38.54
855,44.15,39.0,45.48
856,56.58,59.0,55.37
857,68.54,67.0,67.42
860,67.27,60.0,61.65
862,43.43,36.0,41.32
863,46.08,46.0,43.53
864,50.8,46.0,51.43
866,44.44,41.0,41.93
868,39.28,36.0,41.77
869,59.96,58.0,61.97
874,39.72,38.0,37.58
875,23.57,27.0,26.9
876,31.33,27.0,29.95
877,38.04,42.0,42.39
878,38.73,39.0,38.55
879,33.66,34.0,32.73
880,47.44,47.0,46.75
881,35.94,33.0,33.45
882,20.72,22.0,26.22
883,38.96,41.0,44.46
884,50.89,50.0,51.03
885,47.26,51.0,51.29
886,34.27,33.0,33.34
887,39.69,41.0,40.21
888,44.58,44.0,45.57
891,62.11,57.0,61.43
892,67.69,64.0,61.15
893,50.61,55.0,53.24
895,25.77,29.0,28.46
896,7.35,12.0,13.11
897,18.05,23.0,24.72
898,16.9,17.0,17.12
900,21.12,27.0,29.56
901,19.11,23.0,23.85
902,28.84,30.0,28.39
903,1.02,2.0,-0.17
905,20.96,19.0,19.07
907,31.57,31.0,33.0
909,21.99,33.0,30.08
910,7.89,2.0,1.88
911,24.33,34.0,28.27
912,37.25,37.0,34.86
913,37.09,35.0,34.2
914,31.69,29.0,31.39
916,34.79,28.0,29.56
918,8.8,15.0,16.49
919,14.34,17.0,16.11
920,23.0,28.0,26.84
921,10.49,10.0,11.48
923,9.55,22.0,19.37
924,13.75,2.0,1.46
925,11.94,2.0,1.77
926,3.75,3.0,3.15
928,1.73,2.0,2.16
929,5.68,3.0,3.15
930,2.34,2.0,2.21
931,2.81,2.0,1.44
933,2.06,3.0,2.83
934,3.67,2.0,1.92
935,3.2,2.0,1.54
936,2.16,2.0,1.93
938,2.38,2.0,1.67
939,3.88,2.0,1.89
940,2.75,2.0,2.3
944,4.3,3.0,2.61
945,3.54,2.0,1.72
946,5.66,2.0,2.0
947,5.28,2.0,1.73
948,4.08,3.0,2.69
949,4.79,3.0,2.32
950,4.56,2.0,2.16
951,4.11,2.0,2.15
952,3.97,2.0,2.11
954,20.18,0.0,1.5
955,3.41,2.0,2.06
958,4.8,2.0,2.11
959,5.66,2.0,1.68
960,7.6,2.0,2.49
961,2.21,2.0,2.07
962,2.17,3.0,3.13
963,2.13,2.0,2.27
964,7.0,2.0,2.66
966,19.69,36.0,36.48
967,1.27,2.0,1.69
969,6.1,2.0,2.18
970,3.68,3.0,2.8
971,6.47,2.0,2.03
972,11.41,3.0,2.6
973,12.09,2.0,2.14
974,49.13,57.0,55.49
976,17.36,24.0,26.04
977,27.82,24.0,26.34
980,38.84,52.0,53.92
982,39.56,28.0,28.66
983,20.07,6.0,7.89
984,21.91,31.0,28.19
987,38.76,44.0,40.8
988,52.77,71.0,63.45
989,36.58,35.0,30.45
990,23.7,23.0,27.01
991,23.79,22.0,16.15
992,19.31,3.0,4.33
995,64.3,79.0,67.13
996,49.15,51.0,52.96
997,31.97,29.0,28.03
998,56.5,64.0,58.96
1002,52.7,53.0,54.61
1003,37.06,38.0,38.89
1005,21.54,2.0,3.48
1006,18.74,2.0,3.51
1008,44.86,49.0,47.59
1009,63.6,86.0,77.42
1010,62.66,81.0,76.76
1011,44.87,35.0,36.62
1015,37.38,31.0,32.86
1016,64.2,69.0,70.12
1017,43.83,55.0,55.25
1018,33.44,32.0,31.02
1022,64.45,72.0,79.47
