,éûçèï 
3501,inf
3503,inf
3505,inf
3507,inf
3512,40.93
3518,11.29
3521,44.22
3524,inf
3528,inf
3530,inf
3531,inf
3533,inf
3534,inf
3536,2.8
3537,1.99
3541,8.03
3544,28.87
3545,37.86
3548,inf
3552,inf
3553,inf
3557,inf
3561,108.54
3565,5.92
3566,4.64
3567,0.33
3574,inf
3580,inf
3586,inf
3589,inf
3590,inf
3592,inf
3595,inf
3596,inf
3599,inf
3604,inf
3605,inf
3606,inf
3611,inf
3612,inf
3615,inf
3617,inf
3622,inf
3625,inf
3627,inf
3628,inf
3629,inf
3633,109.82
3642,inf
3644,inf
3647,inf
3648,inf
3653,inf
3655,inf
3657,89.11
3659,46.81
3662,18.43
3666,inf
3668,inf
3671,inf
3674,inf
3676,inf
3680,inf
3681,inf
3684,inf
3687,inf
3688,inf
3694,97.67
3712,inf
3719,inf
3720,inf
3723,inf
3732,inf
3734,inf
3737,inf
3739,inf
3750,inf
3752,inf
3755,inf
3759,inf
3761,inf
3763,inf
3764,inf
3768,98.18
3773,inf
3774,inf
3776,inf
3777,inf
3779,inf
3781,inf
3787,inf
3791,inf
3798,inf
3802,inf
3811,inf
3822,inf
3826,inf
3829,inf
3830,inf
3832,inf
3834,inf
3840,inf
3845,inf
3852,inf
3856,inf
3860,inf
3861,inf
3862,inf
3865,inf
3869,inf
3875,inf
3876,inf
3880,inf
3884,inf
3886,inf
3887,inf
3888,inf
3891,inf
3892,96.53
3897,inf
3902,72.77
3906,inf
3912,inf
3913,inf
3917,inf
3919,inf
3920,inf
3923,inf
3928,inf
3930,inf
3932,inf
3936,inf
3937,inf
3942,inf
3947,inf
3948,inf
3949,inf
3950,98.17
3962,inf
3966,inf
3969,inf
3974,45.93
3976,51.29
3984,95.03
3985,inf
3988,inf
3990,inf
3991,inf
3993,inf
3998,inf
3999,inf
4002,inf
4012,inf
4018,inf
4019,inf
4026,inf
4033,inf
4037,inf
4038,inf
4044,inf
4046,inf
4047,inf
4054,inf
4055,inf
4060,94.83
4063,inf
4067,inf
4068,inf
4069,inf
4078,inf
4080,inf
4081,inf
4082,inf
4086,inf
4090,inf
4093,inf
4098,inf
4101,inf
4106,inf
4112,inf
4113,inf
4114,inf
4119,inf
4123,inf
4125,inf
4126,inf
4142,inf
4144,inf
4150,inf
4151,inf
4153,inf
4161,inf
4162,inf
4165,inf
4166,inf
4179,inf
4182,inf
4184,inf
4188,inf
4189,inf
4191,45.58
4195,inf
4196,inf
4197,inf
4198,inf
4202,inf
4203,inf
4206,inf
4212,inf
4213,inf
4217,inf
4219,inf
4221,inf
4222,inf
4227,inf
4228,inf
4233,inf
4235,49.59
4240,3.38
4245,inf
4246,inf
4248,inf
4249,inf
4253,inf
4257,96.01
4265,inf
4275,inf
4277,inf
4279,inf
4280,inf
4282,inf
4284,inf
4295,inf
4296,inf
4297,inf
4298,inf
4300,inf
4309,inf
4311,inf
4313,inf
4315,inf
4316,inf
4320,inf
4321,inf
4322,inf
4326,inf
4332,96.85
4335,inf
4336,inf
4338,inf
4345,inf
4354,inf
4355,inf
4356,95.81
4357,inf
4358,inf
4359,inf
4363,inf
4364,inf
4366,inf
4369,inf
4375,inf
4376,inf
4382,inf
4384,inf
4385,inf
4389,inf
4390,inf
4396,inf
4397,inf
4398,inf
4399,inf
4403,inf
4407,inf
4424,inf
4433,inf
4436,inf
4446,inf
4449,inf
4452,inf
4471,inf
4476,inf
4481,inf
4482,inf
4485,inf
4487,inf
4490,inf
4493,inf
4498,inf
4503,49.53
4507,inf
4510,inf
4512,inf
4516,inf
4517,inf
4520,inf
4522,inf
4529,inf
4531,inf
4534,inf
4536,inf
4541,inf
4543,inf
4544,inf
4545,inf
4548,inf
4550,inf
4552,95.69
4558,inf
4559,inf
4567,inf
4569,inf
4571,inf
4574,84.78
4575,45.47
4576,36.66
4577,86.05
4580,inf
4583,inf
4584,inf
4585,inf
4587,inf
4591,inf
4598,inf
4602,inf
4603,inf
4608,inf
4610,inf
4614,inf
4621,inf
4632,inf
4635,inf
4639,inf
4642,inf
4650,inf
4651,inf
4652,inf
4659,inf
4660,inf
4661,inf
4662,inf
4666,inf
4668,inf
4682,inf
4684,inf
4685,inf
4691,inf
4692,inf
4693,inf
4694,inf
4699,inf
4700,inf
4706,inf
4709,inf
4713,inf
4717,inf
4721,inf
4726,inf
4727,inf
4729,inf
4733,inf
4735,inf
4736,inf
4737,inf
4742,inf
4747,inf
4748,inf
4750,inf
4752,97.44
4753,inf
4756,inf
4757,inf
4760,inf
4766,inf
4767,inf
4774,inf
4780,inf
4781,inf
4782,inf
4791,inf
4806,inf
4808,inf
4813,inf
4816,inf
4818,inf
4819,inf
4823,inf
4825,inf
4826,inf
4829,inf
4838,inf
4839,inf
4842,inf
4849,inf
4857,inf
4858,inf
4861,inf
4863,inf
4865,inf
4867,inf
4875,95.2
4878,inf
4880,inf
4882,inf
4883,inf
4888,inf
4890,inf
4891,inf
4893,inf
4895,inf
4902,inf
4903,inf
4904,inf
4905,inf
4908,inf
4910,inf
4912,inf
4915,inf
4917,inf
4918,inf
4923,97.09
4927,inf
4929,inf
4935,inf
4937,inf
4939,inf
4941,inf
4944,inf
4945,inf
4947,inf
4951,inf
4952,inf
4955,inf
4956,inf
4962,inf
4963,inf
4964,inf
4970,inf
4973,97.59
4980,inf
4981,inf
4984,inf
4985,inf
4986,inf
4989,inf
4993,inf
4996,95.26
5004,inf
5009,inf
5015,inf
5017,inf
5018,inf
5024,inf
5026,inf
5028,inf
5029,inf
5033,inf
5039,inf
5046,inf
5047,inf
5048,inf
5053,inf
5054,inf
5062,inf
5067,inf
5068,88.12
5073,inf
5074,inf
5082,inf
5085,inf
5087,inf
5088,inf
5093,inf
5094,inf
5095,inf
5098,inf
5101,inf
5102,inf
5104,inf
5112,inf
5119,inf
5123,inf
5125,inf
5128,inf
5131,inf
5133,inf
5136,inf
5138,inf
5145,inf
5152,inf
5162,inf
5168,inf
5171,inf
5174,inf
5180,inf
5183,inf
5192,inf
5197,inf
5199,inf
5201,inf
5203,inf
5205,inf
5207,inf
5208,inf
5214,inf
5218,inf
5222,inf
5223,inf
5224,inf
5233,inf
5242,inf
5243,inf
5244,inf
5245,inf
5250,inf
5253,inf
5256,inf
5257,inf
5261,inf
5275,inf
5276,inf
5281,inf
5285,inf
5287,inf
5289,inf
5295,inf
5299,inf
5302,inf
5310,inf
5312,inf
5317,inf
5319,inf
5320,inf
5323,inf
5326,inf
5327,inf
5331,inf
5333,inf
5334,inf
5337,inf
5340,inf
5344,inf
5351,inf
5352,inf
5353,inf
5354,95.26
5361,inf
5363,inf
5364,inf
5367,inf
5368,inf
5372,inf
5373,inf
5374,102.33
5375,inf
5377,inf
5380,inf
5383,inf
5388,inf
5391,inf
5392,inf
5393,inf
5394,94.24
5396,inf
5398,inf
5399,inf
5402,inf
5415,inf
5416,inf
5418,inf
5420,inf
5433,inf
5434,94.63
5438,inf
5441,inf
5442,inf
5452,inf
5458,inf
5462,inf
5465,inf
5466,inf
5469,inf
5475,inf
5476,97.62
5485,inf
5488,inf
5490,inf
5491,inf
5494,inf
5495,inf
5504,inf
5509,inf
5511,inf
5514,inf
5516,inf
5520,inf
5530,inf
5531,inf
5532,inf
5538,inf
5540,inf
5543,inf
5546,inf
5548,inf
5557,inf
5558,inf
5559,inf
5561,inf
5565,inf
5566,inf
5573,inf
5577,23.31
5579,95.22
5586,inf
5589,inf
5590,inf
5594,inf
5600,inf
5602,inf
5608,inf
5614,inf
5619,95.78
5621,inf
5624,inf
5625,inf
5626,inf
5631,inf
5637,inf
5639,inf
5643,inf
5644,inf
5648,inf
5652,inf
5662,inf
5663,inf
5664,inf
5669,inf
5678,inf
5682,inf
5688,inf
5689,95.51
5690,inf
5691,inf
5699,inf
5705,inf
5707,inf
5710,inf
5711,inf
5712,inf
5713,inf
5719,inf
5721,inf
5722,92.34
5723,inf
5725,inf
5727,inf
5732,inf
5739,inf
5746,inf
5752,inf
5754,inf
5758,inf
5760,inf
5763,inf
5767,inf
5770,inf
5773,inf
5774,inf
5778,inf
5779,inf
5780,inf
5783,inf
5787,86.99
5789,inf
5790,inf
5793,inf
5797,inf
5798,inf
5800,inf
5804,inf
5805,inf
5811,inf
5812,inf
5814,inf
5817,43.35
5818,28.86
5823,17.73
5825,75.14
5827,inf
5833,inf
5837,inf
5839,106.42
5844,4.76
5846,inf
5850,inf
5853,inf
5859,inf
5862,89.86
5866,72.22
5868,inf
5875,inf
5879,inf
5887,inf
5888,116.69
5889,10.45
5890,30.4
5894,inf
5895,54.64
5896,46.49
5900,inf
5902,inf
5903,inf
5907,inf
5913,13.72
5918,inf
5920,inf
5922,inf
5928,inf
5936,inf
5940,inf
5941,inf
5943,inf
5944,inf
5947,inf
5948,inf
5949,inf
5954,inf
5956,inf
5957,98.88
5963,inf
5967,inf
5970,inf
5972,inf
5975,inf
5977,inf
5978,91.37
5982,inf
5995,inf
5997,inf
5999,inf
6000,inf
6002,92.91
6007,inf
6009,29.0
6015,inf
6020,inf
6021,84.01
6023,inf
6024,inf
6032,33.09
6033,9.61
6038,15.22
6041,50.05
6043,inf
6045,inf
6046,inf
6054,inf
6061,inf
6069,89.01
6071,inf
6083,28.14
6086,33.91
6087,13.58
6088,12.0
6092,inf
6094,inf
6098,98.95
6099,inf
6105,inf
6107,inf
6116,inf
6123,inf
6127,inf
6129,inf
6131,inf
6132,inf
6136,inf
6138,107.58
6142,inf
6147,inf
6150,inf
6151,inf
6153,2.26
6160,56.9
6162,inf
6163,inf
6169,inf
6172,95.51
6178,0.39
6179,2.07
6181,17.31
6182,8.69
6187,inf
6193,inf
6194,inf
6206,inf
6210,inf
6211,inf
6213,inf
6214,inf
6215,inf
6216,inf
6222,inf
6225,0.5
6228,23.56
6230,inf
6236,inf
6238,inf
6239,inf
6247,inf
6253,26.38
6260,inf
6261,inf
6262,inf
6267,inf
6272,inf
6274,inf
6281,inf
6282,inf
6284,inf
6287,inf
6289,inf
6292,inf
6293,inf
6295,inf
6297,inf
6302,inf
6304,inf
6307,inf
6309,inf
6312,inf
6317,inf
6319,inf
6325,32.84
6337,inf
6338,inf
6340,inf
6343,inf
6346,18.61
6349,inf
6350,inf
6353,10.79
6357,96.69
6360,inf
6361,inf
6362,inf
6366,inf
6368,11.09
6375,24.67
6376,11.81
6380,inf
6381,inf
6383,inf
6386,inf
6387,inf
6391,inf
6395,16.69
6405,inf
6410,inf
6413,inf
6416,14.69
6419,3.22
6424,0.97
6426,96.26
6431,inf
6432,inf
6435,inf
6443,inf
6444,inf
6447,inf
6449,inf
6453,inf
6455,inf
6458,inf
6460,inf
6461,inf
6462,inf
6467,inf
6468,inf
6469,inf
6470,inf
6482,inf
6490,14.13
6491,3.16
6494,93.97
6498,inf
6499,inf
6507,inf
6509,inf
6510,inf
6515,14.83
6521,37.51
6525,inf
6526,inf
6528,inf
6530,inf
6534,inf
6540,inf
6541,inf
6543,inf
6544,inf
6551,inf
6553,inf
6555,inf
6561,inf
6562,inf
6567,inf
6568,inf
6569,inf
6573,inf
6576,inf
6581,inf
6584,inf
6587,inf
6590,inf
6591,inf
6595,inf
6605,inf
6606,inf
6609,inf
6615,inf
6626,inf
6629,inf
6632,inf
6637,91.85
6638,inf
6640,inf
6646,inf
6647,inf
6655,inf
6656,inf
6657,61.68
6659,inf
6660,inf
6662,inf
6663,inf
6665,inf
6667,inf
6670,inf
6671,inf
6673,inf
6676,inf
6678,inf
6680,77.9
6684,12.52
6685,50.0
6690,inf
6692,106.95
6693,inf
6695,inf
6697,inf
6698,inf
6701,inf
6702,inf
6705,18.3
6707,27.38
6708,4.72
6716,inf
6721,inf
6725,inf
6726,inf
6730,20.59
6739,inf
6749,inf
6752,11.57
6753,31.75
6754,1.7
6755,2.36
6756,2.92
6757,71.05
6763,inf
6765,inf
6767,inf
6768,inf
6770,inf
6773,inf
6776,inf
6777,inf
6779,inf
6784,inf
6787,inf
6790,inf
6794,inf
6802,inf
6809,inf
6818,inf
6820,inf
6821,inf
6822,inf
6823,inf
6825,inf
6830,inf
6833,inf
6841,inf
6842,inf
6845,inf
6847,inf
6848,23.13
6852,3.43
6856,17.49
6859,inf
6868,inf
6872,6.88
6873,4.07
6874,6.01
6875,109.85
6876,17.22
6882,inf
6890,inf
6892,inf
6901,16.85
6903,9.75
6904,17.84
6910,inf
6913,inf
6914,inf
6924,7.7
6931,inf
6933,inf
6935,inf
6937,inf
6941,81.89
6945,inf
6954,inf
6955,inf
6957,inf
6958,inf
6963,inf
6969,inf
6971,inf
6977,inf
6980,inf
6981,98.12
6982,inf
6992,11.71
6998,20.91
7000,25.29
7001,29.28
7004,inf
7008,inf
7009,inf
7017,27.93
7025,12.8
7028,inf
7030,inf
7033,inf
7040,0.61
7047,1.81
7049,33.99
7052,inf
7056,inf
7058,inf
7060,inf
7065,24.39
7073,10.54
7081,100.7
7088,8.42
7090,0.84
7091,4.97
7092,8.07
7093,97.59
7102,inf
7103,inf
7110,inf
7111,inf
7117,inf
7122,inf
7123,inf
7128,inf
7129,inf
7132,inf
7133,inf
7137,inf
7138,inf
7140,inf
7141,99.7
7142,inf
7144,inf
7145,inf
7147,inf
7151,inf
7152,inf
7153,inf
7156,inf
7160,7.7
7161,11.62
7165,90.36
7167,21.18
7178,inf
7179,inf
7180,inf
7183,inf
7184,0.16
7185,5.18
7186,97.76
7189,9.1
7192,13.72
7195,inf
7196,inf
7200,inf
7202,inf
7203,inf
7204,inf
7206,inf
7213,4.77
7215,26.29
7217,29.23
7219,inf
7226,inf
7228,inf
7232,8.83
7233,23.64
7243,inf
7244,inf
7248,inf
7249,inf
7251,inf
7252,inf
7258,10.87
7265,10.31
7267,inf
7269,inf
7271,inf
7273,inf
7279,inf
7287,inf
7288,inf
7289,inf
7290,inf
7292,inf
7293,inf
7294,inf
7295,inf
7296,96.15
7300,inf
7301,inf
7303,inf
7305,inf
7312,inf
7315,inf
7316,103.45
7318,inf
7322,inf
7332,37.25
7334,6.41
7336,9.05
7339,inf
7340,inf
7341,inf
7342,inf
7346,93.34
7347,inf
7349,inf
7355,4.18
7356,5.62
7360,58.57
7365,86.72
7366,inf
7374,inf
7375,inf
7378,19.64
7380,9.03
7385,0.51
7388,inf
7392,inf
7397,inf
7399,inf
7401,31.56
7404,100.72
7406,8.6
7407,16.8
7412,inf
7423,inf
7424,39.81
7425,5.69
7426,2.49
7427,13.06
7429,1.4
7436,inf
7437,inf
7438,inf
7441,inf
7443,inf
7446,inf
7447,inf
7459,inf
7460,inf
7465,inf
7470,inf
7471,inf
7472,inf
7479,inf
7481,inf
7486,inf
7493,88.85
7497,23.8
7499,4.31
7505,12.64
7509,inf
7512,inf
7514,inf
7520,2.28
7523,31.43
7527,17.72
7528,16.4
7530,inf
7532,inf
7535,inf
7547,7.12
7557,inf
7558,inf
7560,inf
7561,inf
7565,inf
7568,21.66
7570,16.78
7571,23.26
7572,8.16
7575,34.05
7580,inf
7590,inf
7596,inf
7601,inf
7602,104.67
7606,inf
7608,inf
7611,inf
7612,inf
7614,inf
7616,inf
7620,inf
7621,inf
7622,96.18
7625,inf
7629,inf
7630,inf
7634,inf
7635,inf
7644,inf
7645,inf
7646,inf
7653,inf
7654,inf
7655,inf
7659,inf
7663,inf
7665,2.46
7666,4.5
7671,2.16
7674,inf
7677,inf
7682,inf
7683,inf
7687,inf
7689,19.88
7693,14.34
7696,63.51
7701,inf
