,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
2335,24.11,33.85,10.41,18.19
2337,5.98,6.09,5.75,3.43
2340,23.49,13.94,27.28,18.05
2341,4.34,9.53,13.01,15.25
2342,49.43,47.24,56.94,51.64
2343,10.95,15.86,15.87,19.02
2345,10.71,8.83,14.24,7.76
2348,9.07,10.81,5.71,0.45
2350,inf,inf,inf,inf
2351,inf,inf,inf,inf
2352,inf,inf,inf,inf
2353,inf,inf,inf,inf
2356,inf,inf,inf,inf
2358,64.61,33.01,2.34,13.12
2359,45.5,42.3,36.96,30.72
2360,25.39,21.8,25.31,17.51
2362,0.6,14.28,2.68,1.8
2363,13.43,3.25,7.81,5.16
2364,6.78,1.65,5.99,0.34
2365,2.17,12.25,1.4,6.0
2366,13.54,6.79,14.65,6.99
2367,18.52,12.05,16.37,12.92
2368,15.6,2.21,5.92,3.85
2369,12.03,20.68,21.86,27.97
2370,10.84,5.85,19.0,5.51
2371,12.27,1.36,16.47,1.02
2372,27.52,24.17,19.1,9.4
2373,34.58,27.01,11.83,4.87
2374,inf,inf,inf,inf
2375,inf,inf,inf,inf
2376,inf,inf,inf,inf
2377,inf,inf,inf,inf
2379,inf,inf,inf,inf
2380,inf,inf,inf,inf
2383,43.87,26.12,25.75,25.92
2384,54.01,55.05,45.04,44.03
2387,5.81,0.8,2.01,10.25
2389,11.3,14.77,10.59,1.73
2390,28.88,19.96,26.37,14.08
2391,15.68,17.14,7.13,17.44
2393,6.13,12.63,8.18,16.9
2394,19.68,10.45,3.93,3.71
2395,31.6,40.11,29.26,30.01
2398,inf,inf,inf,inf
2399,81.61,80.9,14.17,11.37
2400,inf,inf,inf,inf
2401,inf,inf,inf,inf
2402,inf,inf,inf,inf
2404,80.43,82.54,9.47,0.08
2405,inf,inf,inf,inf
2406,51.56,22.69,59.94,68.36
2407,35.99,52.51,7.11,17.18
2409,20.47,20.75,16.93,4.64
2410,20.52,4.66,10.02,0.69
2411,18.78,8.78,24.42,16.3
2413,0.54,16.04,5.76,8.08
2414,3.24,0.28,4.33,5.05
2415,14.42,8.88,12.4,11.82
2417,96.35,64.07,93.23,60.06
2420,60.31,49.42,71.66,69.82
2421,23.9,15.05,71.61,63.25
2422,inf,inf,inf,inf
2423,69.58,75.78,13.82,25.15
2424,inf,inf,inf,inf
2425,inf,inf,inf,inf
2428,inf,inf,inf,inf
2429,79.68,67.48,11.09,11.31
2430,inf,inf,inf,inf
2431,inf,inf,inf,inf
2435,21.5,35.28,27.66,11.77
2436,14.26,19.04,5.01,1.18
2437,5.42,3.33,11.5,1.49
2438,24.52,16.04,31.18,5.32
2440,76.34,49.31,106.56,85.05
2441,23.44,13.02,16.54,5.39
2442,31.09,28.15,28.67,22.42
2444,38.29,51.95,41.48,62.86
2445,inf,inf,inf,inf
2446,inf,inf,inf,inf
2447,inf,inf,inf,inf
2449,72.47,75.18,3.98,3.93
2450,inf,inf,inf,inf
2451,inf,inf,inf,inf
2453,inf,inf,inf,inf
2454,inf,inf,inf,inf
2455,34.24,19.47,125.19,77.34
2456,40.77,33.26,15.61,22.59
2457,16.65,16.63,3.8,2.11
2458,14.35,6.48,5.3,8.19
2459,7.76,4.45,2.64,1.99
2460,1.76,4.95,7.14,11.31
2461,8.48,1.75,6.03,5.18
2463,14.53,1.28,15.18,8.01
2464,17.8,17.34,20.39,26.87
2465,3.24,11.47,3.11,5.72
2467,11.74,28.83,50.36,60.86
2468,inf,inf,inf,inf
2474,inf,inf,inf,inf
2476,inf,inf,inf,inf
2477,inf,inf,inf,inf
2479,40.79,51.99,4.03,19.89
2480,24.68,9.24,79.11,67.46
2481,15.62,18.45,12.8,13.41
2482,2.12,7.75,1.29,1.99
2483,32.8,35.45,35.11,35.56
2486,6.95,7.87,14.51,10.95
2487,2.94,3.17,4.56,1.33
2488,12.21,10.91,4.95,9.65
2489,19.78,24.81,19.06,18.89
2490,75.78,48.34,86.75,73.08
2492,53.88,51.39,27.66,25.54
2493,inf,inf,inf,inf
2494,79.16,84.51,15.77,2.04
2495,inf,inf,inf,inf
2496,inf,inf,inf,inf
2497,inf,inf,inf,inf
2498,inf,inf,inf,inf
2499,inf,inf,inf,inf
2502,inf,inf,inf,inf
2504,33.3,36.38,15.35,25.48
2505,6.47,9.43,8.91,11.21
2506,13.34,12.94,17.79,15.2
2508,56.89,55.24,47.46,46.13
2509,26.36,28.75,24.21,26.07
2510,13.18,9.11,4.94,1.29
2512,15.05,11.6,10.02,2.66
2513,1.18,2.21,8.05,1.64
2515,17.1,24.54,35.84,36.03
2517,16.44,20.86,50.99,48.45
2519,inf,inf,inf,inf
2520,inf,inf,inf,inf
2523,inf,inf,inf,inf
2524,83.06,84.21,2.19,5.6
2527,51.78,44.57,24.95,19.16
2529,117.16,119.19,144.01,134.61
2530,111.73,83.87,136.64,131.24
2532,20.22,11.47,24.8,22.22
2533,16.41,25.55,5.68,7.01
2534,5.41,1.02,16.21,17.18
2537,18.12,20.15,26.81,25.57
2538,40.61,35.34,63.06,54.79
2539,49.69,49.15,45.79,41.96
2540,inf,inf,inf,inf
2542,inf,inf,inf,inf
2543,79.19,87.71,14.27,3.2
2544,inf,inf,inf,inf
2545,inf,inf,inf,inf
2546,inf,inf,inf,inf
2547,inf,inf,inf,inf
2548,83.95,78.93,1.35,6.42
2549,inf,inf,inf,inf
2551,52.62,32.77,12.61,16.15
2552,inf,inf,inf,inf
2553,inf,inf,inf,inf
2554,19.94,15.55,23.22,14.72
2555,38.75,38.93,44.28,45.37
2556,10.37,0.66,8.26,3.69
2557,10.33,16.76,11.46,12.4
2558,14.32,18.88,11.05,14.11
2559,7.53,8.17,13.88,10.06
2560,19.79,14.55,0.17,6.13
2561,7.23,0.21,6.23,0.99
2562,26.0,22.3,11.42,4.62
2563,40.5,48.87,71.02,70.22
2564,0.13,0.32,45.9,40.91
2565,23.32,17.3,40.47,38.77
2566,inf,inf,inf,inf
2567,inf,inf,inf,inf
2568,79.54,82.19,2.23,4.39
2569,inf,inf,inf,inf
2570,inf,inf,inf,inf
2571,inf,inf,inf,inf
2573,inf,inf,inf,inf
2575,inf,inf,inf,inf
2578,8.3,5.75,5.69,1.18
2580,106.46,140.11,85.4,96.13
2583,119.05,126.4,117.52,111.12
2585,30.2,16.5,27.42,16.44
2586,45.11,54.41,69.21,81.38
2587,38.99,35.17,59.42,64.19
2588,6.68,3.83,52.53,42.96
2589,inf,inf,inf,inf
2590,inf,inf,inf,inf
2591,80.8,81.53,7.35,1.23
2593,inf,inf,inf,inf
2594,inf,inf,inf,inf
2596,inf,inf,inf,inf
2597,88.17,83.81,4.6,3.95
2598,inf,inf,inf,inf
2599,inf,inf,inf,inf
2600,inf,inf,inf,inf
2601,inf,inf,inf,inf
2602,24.14,34.97,32.24,47.57
2603,inf,inf,inf,inf
2604,inf,inf,inf,inf
2605,inf,inf,inf,inf
2607,47.78,19.63,55.58,69.84
2608,inf,inf,inf,inf
2609,inf,inf,inf,inf
2610,inf,inf,inf,inf
2611,inf,inf,inf,inf
2612,inf,inf,inf,inf
2614,inf,inf,inf,inf
2615,inf,inf,inf,inf
2616,inf,inf,inf,inf
2617,inf,inf,inf,inf
2618,inf,inf,inf,inf
2619,84.74,89.09,4.95,1.36
