リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,26.1,60,0,26,26.7,60,60,26,25.9,60,4
26,26.6,60,0,26,27.3,60,60,26,25.6,60,7
26,26.6,60,0,26,27.7,60,60,26,25.3,60,8
26,26.7,60,0,26,28.3,60,60,26,25.1,60,9
26,26.4,60,42,26,28.2,60,60,26,24.5,60,13
26,25.7,59,59,26,27.8,59,59,26,25.6,60,8
26,20.6,0,0,26,28.4,0,0,26,26.2,60,8
26,18.5,0,0,26,27.8,0,0,26,25.7,0,0
26,21.6,0,0,26,27.2,0,0,26,27.2,0,0
26,24,0,0,26,26.9,0,0,26,27.1,0,0
26,25,0,0,26,26.8,0,0,26,26.6,0,0
26,25.3,0,0,26,26.6,0,0,26,26.5,0,0
26,25.2,0,0,26,26.7,0,0,26,26.3,0,0
26,25.1,0,0,26,26.7,0,0,26,26.2,0,0
26,25.2,0,0,26,26.5,0,0,26,26.2,0,0
26,25.1,0,0,26,26.5,0,0,26,26,0,0
26,25,0,0,26,26.6,0,0,26,26,0,0
26,25,0,0,26,26.7,0,0,26,26,0,0
26,25,0,0,26,26.6,0,0,26,26,0,0
26,25.6,0,0,26,26.5,0,0,26,26.2,0,0
26,26,1,0,26,26.3,1,0,26,26.2,1,0
26,25.7,60,0,26,26.5,60,41,26,25.7,60,7
26,25.8,0,0,26,26.4,0,0,26,23.6,0,0
26,25.6,60,0,26,27,60,57,26,25.5,60,9
26,25.9,0,0,26,27.1,0,0,26,24.6,0,0
26,25.8,60,0,26,27.5,60,57,26,25.6,60,9
26,21.7,0,0,26,28.1,0,0,26,26.5,0,0
26,25.6,60,0,26,28.6,60,57,26,25.9,60,8
26,23.5,0,0,26,28.9,0,0,26,25.3,0,0
26,25.8,59,0,26,28.4,59,56,26,26.2,60,9
26,22.9,0,0,26,28.3,0,0,26,25.6,0,0
26,25,0,0,26,27.6,0,0,26,27.2,0,0
26,25.9,0,0,26,27.2,0,0,26,27.1,0,0
26,25.9,0,0,26,26.8,0,0,26,27.1,0,0
26,25.9,0,0,26,26.7,0,0,26,26.7,0,0
26,25.5,0,0,26,26.3,0,0,26,26.4,0,0
