リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,28.1,0,0,26,28.3,0,0,26,29.2,0,0,26,28.8,0,0,26,27.7,0,0,26,28.3,0,0
26,28,0,0,26,28.3,0,0,26,29.1,0,0,26,28.6,0,0,26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28.3,0,0,26,29,0,0,26,28.7,0,0,26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28.3,0,0,26,29,0,0,26,28.7,0,0,26,27.7,0,0,26,28.1,0,0
26,28,0,0,26,28.3,0,0,26,29.1,0,0,26,28.7,0,0,26,27.8,0,0,26,28.1,0,0
26,28,0,0,26,28.4,0,0,26,29.1,0,0,26,28.7,0,0,26,27.8,0,0,26,28.1,0,0
26,28,0,0,26,28.4,0,0,26,29.1,0,0,26,28.8,0,0,26,27.8,0,0,26,28.2,0,0
26,28.1,0,0,26,28.4,0,0,26,29.1,0,0,26,28.7,0,0,26,27.8,0,0,26,28.2,0,0
26,28.1,0,0,26,28.5,0,0,26,29.1,0,0,26,28.8,0,0,26,27.9,0,0,26,28.2,0,0
26,27.5,11,11,26,27.5,11,11,26,27.9,0,0,26,28.1,0,0,26,25.6,0,0,26,22.9,0,0
26,27.3,60,60,26,26.6,60,60,26,28.2,0,0,26,28.1,0,0,26,26.6,0,0,26,24.4,0,0
26,26.1,60,60,26,26,60,60,26,22,0,0,26,22,0,0,26,21,0,0,26,21.4,0,0
26,26.1,60,60,26,25.9,60,60,26,27.4,0,0,26,27.3,0,0,26,26.4,0,0,26,26.6,0,0
26,26.2,60,60,26,26,60,60,26,27.6,0,0,26,27.5,0,0,26,26.5,0,0,26,26.8,0,0
26,26.1,60,60,26,25.8,60,60,26,21.8,0,0,26,21.5,0,0,26,20.5,0,0,26,21,0,0
26,26.2,60,60,26,25.8,60,60,26,27.5,0,0,26,27.6,0,0,26,26.5,0,0,26,27,0,0
26,26.1,60,60,26,25.7,60,60,26,21.3,0,0,26,21,0,0,26,20.1,0,0,26,20.8,0,0
26,26.1,60,60,26,25.7,60,60,26,27,0,0,26,27.2,0,0,26,26.1,0,0,26,26.7,0,0
26,26,60,60,26,25.7,60,60,26,26.9,0,0,26,26.9,0,0,26,26.1,20,17,26,26.5,20,19
26,25.9,60,38,26,25.7,60,14,26,27.2,0,0,26,27.2,0,0,26,25.7,60,30,26,26,60,38
26,24.1,0,0,26,26.4,0,0,26,26.5,0,0,26,27,0,0,26,26.5,43,43,26,26.7,43,43
26,23.2,0,0,26,26.1,0,0,26,27.7,0,0,26,27.7,0,0,26,26,60,60,26,26.2,60,60
26,23.5,0,0,26,25.5,0,0,26,26.7,0,0,26,26.3,0,0,26,26.2,0,0,26,26.2,0,0
26,26,0,0,26,26.5,0,0,26,27.6,0,0,26,27.5,0,0,26,26.2,0,0,26,26.8,0,0
26,27.1,0,0,26,27.4,0,0,26,28.4,0,0,26,28.1,0,0,26,27.1,0,0,26,27.6,0,0
26,27.4,0,0,26,27.7,0,0,26,28.5,0,0,26,28.2,0,0,26,27.2,0,0,26,27.7,0,0
26,27.5,0,0,26,27.8,0,0,26,28.6,0,0,26,28.1,0,0,26,27.3,0,0,26,27.8,0,0
26,27.4,0,0,26,27.8,0,0,26,28.6,0,0,26,28,0,0,26,27.3,0,0,26,27.8,0,0
26,27.4,0,0,26,27.8,0,0,26,28.7,0,0,26,28.1,0,0,26,27.2,0,0,26,27.8,0,0
26,27.4,0,0,26,27.8,0,0,26,28.7,0,0,26,28.1,0,0,26,27.3,0,0,26,27.8,0,0
26,27.5,0,0,26,27.8,0,0,26,28.7,0,0,26,28.1,0,0,26,27.3,0,0,26,27.8,0,0
26,27.5,0,0,26,27.9,0,0,26,28.7,0,0,26,28.2,0,0,26,27.3,0,0,26,27.8,0,0
26,27.6,0,0,26,28,0,0,26,28.7,0,0,26,28.3,0,0,26,27.4,0,0,26,27.9,0,0
27,27.1,38,38,27,26.9,38,29,26,28.1,0,0,26,28,0,0,26,24,0,0,26,25,0,0
27,26.9,60,60,27,27,60,0,26,28,0,0,26,27.8,0,0,26,22.8,0,0,26,23.4,0,0
27,26.9,60,22,27,27.1,60,9,26,27.9,0,0,26,27.8,0,0,26,25.8,55,37,26,26,55,48
27,27,60,25,27,26.9,60,0,26,27.1,0,0,26,27.7,0,0,26,26,60,34,26,26.3,60,51
27,26.5,60,43,27,26.8,60,7,26,27.5,0,0,26,27.9,0,0,26,25.9,60,17,26,25.9,60,46
27,27,60,30,27,26.9,60,0,26,26.9,0,0,26,27.7,0,0,26,25.9,60,29,26,26.2,60,60
27,26.9,60,25,27,26.8,60,7,26,27.7,0,0,26,27.8,0,0,26,26,60,19,26,25.9,60,47
27,26.9,60,29,27,26.9,60,0,26,26.5,0,0,26,27.1,0,0,26,25.9,60,27,26,26.1,60,52
27,27.1,60,23,27,26.9,60,0,26,27.7,0,0,26,27.8,0,0,26,26,60,17,26,25.8,60,49
27,26.9,60,10,27,26.7,60,5,26,21.4,0,0,26,21.4,0,0,26,26,60,16,26,26.1,60,24
27,27,60,27,27,26.9,60,0,26,27.2,0,0,26,27.2,0,0,26,26,60,19,26,26,60,60
