リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
20,26.6,0,0,20,26.3,0,0,24,27.1,0,0,24,26.3,0,0,22,26.1,0,0,22,26.1,0,0,23,27,0,0,24,27,0,0,24,26.9,0,0
20,26.6,0,0,20,26.4,0,0,24,27.1,0,0,24,26.4,0,0,22,26.1,0,0,22,26.2,0,0,23,27.1,0,0,24,27.1,0,0,24,27,0,0
20,26.6,0,0,20,26.4,0,0,24,27.1,0,0,24,26.3,0,0,22,26.2,0,0,22,26.2,0,0,23,27.1,0,0,24,27.1,0,0,24,27,0,0
20,26.7,0,0,20,26.5,0,0,24,27.2,0,0,24,26.4,0,0,22,26.2,0,0,22,26.2,0,0,23,27.2,0,0,24,27.2,0,0,24,27.1,0,0
20,26.7,0,0,20,26.6,0,0,24,27.2,0,0,24,26.5,0,0,22,26.2,0,0,22,26.2,0,0,23,27.2,0,0,24,27.2,0,0,24,27.1,0,0
20,25,0,0,20,26.7,0,0,24,27.3,0,0,24,25.3,0,0,22,26.3,0,0,22,26.3,0,0,23,27,0,0,24,27.2,0,0,24,27.2,0,0
20,26.2,0,0,20,26.6,0,0,24,27.2,0,0,24,26.1,0,0,22,26.2,0,0,22,26.2,0,0,23,27.2,0,0,24,27.2,0,0,24,27.3,0,0
20,26,0,0,20,25.3,0,0,24,24,0,0,24,23.9,0,0,22,23,0,0,22,23.2,0,0,23,26.4,20,20,24,26.7,20,20,24,26.7,20,20
20,25.9,29,29,20,25.5,29,29,24,25.8,29,29,24,25,29,29,22,24.7,29,29,22,24.3,29,29,23,25.1,60,60,24,25.1,60,60,24,24.5,60,60
20,25.5,7,7,20,24.9,7,7,24,25.4,7,7,24,24.8,7,7,22,24.9,7,7,22,24.3,7,7,23,24.8,27,27,24,24.6,27,27,24,24,27,12
20,26.2,0,0,20,25.8,0,0,24,25.6,0,0,24,25.3,0,0,22,24.6,0,0,22,24.5,0,0,23,26.2,0,0,24,26.1,0,0,24,26.2,0,0
20,26.5,0,0,20,26.2,0,0,24,26.5,0,0,24,26.1,0,0,22,25.7,0,0,22,25.4,0,0,23,26.6,0,0,24,26.7,0,0,24,26.7,0,0
20,26.7,0,0,20,26.5,0,0,24,26.9,0,0,24,26.4,0,0,22,26,0,0,22,25.8,0,0,23,26.8,0,0,24,26.9,0,0,24,26.7,0,0
20,26.8,0,0,20,26.6,0,0,24,27.1,0,0,24,26.5,0,0,22,26.2,0,0,22,26,0,0,23,26.9,0,0,24,27,0,0,24,26.8,0,0
20,26.9,0,0,20,26.7,0,0,24,27.1,0,0,24,26.6,0,0,22,26.2,0,0,22,26.1,0,0,23,26.9,0,0,24,27,0,0,24,26.8,0,0
20,26.9,0,0,20,26.8,0,0,24,27.2,0,0,24,26.7,0,0,22,26.3,0,0,22,26.1,0,0,23,27,0,0,24,27.2,0,0,24,26.9,0,0
20,26.9,0,0,20,26.9,0,0,24,27.3,0,0,24,26.7,0,0,22,26.3,0,0,22,26.1,0,0,23,27,0,0,24,27.2,0,0,24,27,0,0
20,27,0,0,20,26.9,0,0,24,27.2,0,0,24,26.7,0,0,22,26.4,0,0,22,26.1,0,0,23,26.9,0,0,24,27.2,0,0,24,26.9,0,0
20,27,0,0,20,26.8,0,0,24,27.2,0,0,24,26.7,0,0,22,26.4,0,0,22,26.1,0,0,23,26.9,0,0,24,27.2,0,0,24,26.9,0,0
20,27,0,0,20,26.9,0,0,24,27.3,0,0,24,26.7,0,0,22,26.4,0,0,22,26.2,0,0,23,26.8,0,0,24,27.2,0,0,24,26.8,0,0
20,27,0,0,20,27,0,0,24,27.3,0,0,24,26.7,0,0,22,26.4,0,0,22,26.2,0,0,23,26.8,0,0,24,27.2,0,0,24,26.8,0,0
20,27,0,0,20,27,0,0,24,27.4,0,0,24,26.7,0,0,22,26.4,0,0,22,26.2,0,0,23,26.9,0,0,24,27.2,0,0,24,26.8,0,0
20,27.1,0,0,20,27.1,0,0,24,27.4,0,0,24,26.7,0,0,22,26.5,0,0,22,26.2,0,0,23,26.9,0,0,24,27.2,0,0,24,26.8,0,0
20,27.1,0,0,20,27.1,0,0,24,27.4,0,0,24,26.8,0,0,22,26.5,0,0,22,26.3,0,0,23,26.9,0,0,24,27.2,0,0,24,26.8,0,0
20,27.1,0,0,20,27.2,0,0,24,27.4,0,0,24,26.8,0,0,22,26.5,0,0,22,26.3,0,0,23,26.9,0,0,24,27.2,0,0,24,26.9,0,0
