リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
27,26.3,0,0,27,26.7,0,0,27,27.2,0,0
27,26.6,0,0,27,26.8,0,0,27,27.4,0,0
27,26.6,0,0,27,26.9,0,0,27,27.5,0,0
27,26.8,0,0,27,27.1,0,0,27,27.5,0,0
27,26.9,0,0,27,27.2,0,0,27,27.6,0,0
27,27,0,0,27,27.3,0,0,27,27.6,0,0
27,26.9,0,0,27,27.2,0,0,27,27.7,0,0
27,26.8,0,0,27,27.4,0,0,27,27.8,0,0
27,27,0,0,27,27.3,0,0,27,27.8,0,0
27,26.8,0,0,27,27.4,0,0,27,28,0,0
27,26.8,0,0,27,27.4,0,0,27,28.1,0,0
27,26.4,0,0,27,27.1,0,0,27,27.8,1,1
27,26.6,1,0,27,22.3,1,0,27,25.2,60,12
25,23.1,60,60,25,23.2,60,56,25,24.2,60,60
25,22.7,60,60,25,23.1,60,24,25,24,60,60
25,22.6,60,60,25,23,60,41,25,24,60,60
25,22.7,60,60,25,23.1,60,13,25,23.9,60,60
25,22.8,60,60,25,22.9,60,36,25,23.3,60,60
25,22.6,60,60,25,22.8,60,34,25,23.3,60,60
25,22.4,60,60,25,22.8,60,15,25,23.6,60,60
25,22.4,59,59,25,23,59,57,25,23.4,59,59
25,22.7,0,0,25,22.8,0,0,25,20,0,0
25,21.7,0,0,25,22.6,0,0,25,20.2,0,0
25,25.2,0,0,25,24.9,0,0,25,25.6,0,0
25,25.7,0,0,25,25.8,0,0,25,25.9,0,0
25,25.3,0,0,25,26.2,0,0,25,26.1,0,0
25,25.3,0,0,25,26.3,0,0,25,26.4,0,0
25,25.1,0,0,25,25.9,0,0,25,26.4,0,0
25,25.2,0,0,25,26,0,0,25,26.3,0,0
25,25.3,0,0,25,25.8,0,0,25,26.1,0,0
25,25.4,0,0,25,25.9,0,0,25,26.2,0,0
25,25.2,0,0,25,25.8,0,0,25,26.2,0,0
25,25.3,0,0,25,25.9,0,0,25,26.3,0,0
25,25.3,0,0,25,25.8,0,0,25,26.4,0,0
25,25.3,0,0,25,25.9,0,0,25,26.4,0,0
25,25.3,0,0,25,26,0,0,25,26.5,1,1
25,26.1,1,1,25,26.1,1,1,25,23.4,60,60
27,24.2,60,2,27,23.6,60,1,27,23.8,60,0
27,27.2,0,0,27,27.3,0,0,27,19.3,0,0
27,24.9,60,0,27,23.9,60,0,27,24.6,60,0
27,27.5,0,0,27,26.3,0,0,27,26.3,0,0
27,24.7,60,0,27,23.6,60,0,27,24.5,60,0
27,27.3,0,0,27,26.1,0,0,27,26,0,0
27,24.6,60,0,27,23.9,60,0,27,25.2,60,0
27,27,0,0,27,26.1,0,0,27,26.5,0,0
27,25.7,0,0,27,25.6,0,0,27,25.6,0,0
27,25.2,0,0,27,25.5,0,0,27,26.2,0,0
27,25.3,0,0,27,25.9,0,0,27,26.1,0,0
27,25.3,0,0,27,25.8,0,0,27,26.2,0,0
27,25.5,0,0,27,25.9,0,0,27,26.4,0,0
27,25.8,0,0,27,25.7,0,0,27,26.5,0,0
27,25.8,0,0,27,25.7,0,0,27,26.8,0,0
27,25.9,0,0,27,26.1,0,0,27,26.7,0,0
27,25.9,0,0,27,26.3,0,0,27,26.8,0,0
27,25.9,0,0,27,26.6,0,0,27,26.7,0,0
27,26,0,0,27,26.6,0,0,27,26.8,0,0
27,26,0,0,27,26.5,0,0,27,26.8,0,0
27,26,0,0,27,26.7,0,0,27,26.9,0,0
27,26,0,0,27,26.6,0,0,27,26.9,0,0
27,26.2,0,0,27,26.6,0,0,27,26.6,1,0
27,26.1,1,0,27,26.4,1,0,27,25.9,60,0
25,22.8,60,60,25,23.1,60,60,25,24,60,60
25,23.1,60,20,25,22.5,60,60,25,23.5,60,60
25,22.8,60,43,25,23,60,18,25,23.3,60,60
25,22.7,60,36,25,23,60,30,25,23.2,60,60
25,22.5,60,60,25,23.5,60,0,25,23.3,60,60
25,22.9,60,33,25,23.7,60,0,25,23.1,60,60
25,22.5,60,60,25,23.5,60,0,25,23.1,60,60
25,22.6,59,26,25,23.3,59,12,25,22.9,59,59
25,26.4,0,0,25,25.9,0,0,25,26.3,0,0
25,25.9,0,0,25,26.1,0,0,25,25.8,0,0
25,25.4,0,0,25,26,0,0,25,25.9,0,0
25,25.5,0,0,25,26,0,0,25,25.4,0,0
25,25.7,0,0,25,25.9,0,0,25,25.9,0,0
25,25.8,0,0,25,25.9,0,0,25,25.7,0,0
25,25.5,0,0,25,25.8,0,0,25,25.9,0,0
25,25.5,0,0,25,26,0,0,25,25.5,0,0
25,25.6,0,0,25,26.2,0,0,25,25.8,0,0
25,25.5,0,0,25,26.2,0,0,25,25.7,0,0
25,25.5,0,0,25,26.3,0,0,25,25.6,0,0
25,25.6,0,0,25,26.3,0,0,25,25.8,0,0
25,25.6,0,0,25,26.5,0,0,25,25.9,0,0
25,25.6,0,0,25,26.3,0,0,25,25.7,0,0
25,25.9,0,0,25,26.4,0,0,25,26.2,0,0
