リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,26,21,21,25,26.4,21,21,25,26,21,21,25,26.2,21,21
25,24.8,60,53,25,25.4,60,60,25,25.4,60,60,25,25.6,60,60
25,24.8,60,5,25,25,60,34,25,25,60,35,25,25,60,31
25,24.9,60,28,25,25,60,33,25,25.2,60,0,25,25.1,60,59
25,25.3,60,0,25,25,60,51,25,25.4,60,0,25,25,60,60
25,25.1,60,28,25,24.8,60,34,25,25.1,60,9,25,24.9,60,35
25,25,60,19,25,24.9,60,29,25,25.3,60,0,25,24.9,60,60
25,25,60,8,25,25,60,41,25,25.3,60,0,25,24.9,60,60
25,24.9,60,29,25,24.9,60,9,25,25.1,60,9,25,24.6,60,42
25,25.2,60,0,25,24.8,60,60,25,25.2,60,0,25,25.1,60,49
25,25.1,60,36,25,24.9,60,12,25,25.2,60,0,25,24.8,60,60
25,24.7,60,13,25,24.8,60,38,25,25.2,60,0,25,24.7,60,60
25,25,47,42,25,25.7,47,47,25,21,0,0,25,20,0,0
25,24.6,60,60,25,25.6,60,60,25,21.8,0,0,25,21.7,0,0
25,24.5,0,0,25,25.5,0,0,25,25.3,0,0,25,21.6,0,0
25,23.8,0,0,25,24.5,0,0,25,25.6,0,0,25,22.6,0,0
25,24.4,0,0,25,25.7,0,0,25,26.2,0,0,25,24.4,0,0
25,24.7,0,0,25,26.2,0,0,25,26.3,0,0,25,25.2,0,0
25,25,0,0,25,26.5,0,0,25,26.4,0,0,25,25.8,0,0
25,25.3,0,0,25,26.7,0,0,25,26.6,0,0,25,26.2,0,0
25,25.4,0,0,25,26.8,0,0,25,26.6,0,0,25,26.4,0,0
25,25.7,0,0,25,26.9,0,0,25,26.7,0,0,25,26.5,0,0
25,26,0,0,25,27,0,0,25,26.8,0,0,25,26.8,0,0
25,26.2,0,0,25,27.1,0,0,25,26.8,0,0,25,26.8,0,0
25,25.9,21,21,25,26.3,21,21,25,25.9,21,21,25,26,21,21
25,24.7,60,47,25,25.2,60,60,25,25.3,60,60,25,25.4,60,60
25,24.8,60,0,25,24.9,60,55,25,25.2,60,60,25,25.2,60,55
25,24.9,60,22,25,25,60,43,25,25,60,0,25,25,60,35
25,25.1,60,7,25,24.6,60,55,25,25.2,60,10,25,24.7,60,55
25,24.9,60,18,25,24.9,60,38,25,25.1,60,0,25,25,60,38
25,24.9,60,35,25,25.1,60,17,25,25.2,60,0,25,24.8,60,60
25,25.1,60,11,25,25,60,17,25,25.2,60,0,25,24.7,60,60
25,24.8,60,26,25,24.9,60,34,25,25,60,8,25,24.7,60,27
25,25,60,17,25,25.1,60,21,25,25.3,60,0,25,24.8,60,60
25,24.9,60,14,25,25,60,20,25,25.2,60,0,25,24.7,60,60
25,25,60,31,25,25,60,26,25,25.2,60,5,25,24.7,60,59
25,24.9,33,19,25,25.3,33,31,25,25.1,33,23,25,25.2,33,31
25,25.1,60,0,25,25,60,21,25,24.6,60,56,25,24.7,60,60
25,25.2,0,0,25,24.9,0,0,25,24.5,0,0,25,24.6,0,0
25,26.2,0,0,25,26.2,0,0,25,25.5,0,0,25,25.1,0,0
25,26.2,0,0,25,26.6,0,0,25,26,0,0,25,25.8,0,0
25,26.2,0,0,25,26.7,0,0,25,26.2,0,0,25,26.2,0,0
25,26.2,0,0,25,26.8,0,0,25,26.2,0,0,25,26.3,0,0
25,26.3,0,0,25,26.8,0,0,25,26.4,0,0,25,26.5,0,0
25,26.3,0,0,25,26.9,0,0,25,26.5,0,0,25,26.6,0,0
25,26.4,0,0,25,26.9,0,0,25,26.5,0,0,25,26.7,0,0
25,26.3,0,0,25,27,0,0,25,26.5,0,0,25,26.7,0,0
25,26.3,0,0,25,27,0,0,25,26.5,0,0,25,26.8,0,0
25,26.3,11,11,25,26.6,11,11,25,26,11,11,25,26.3,11,11
25,24.8,60,41,25,25.3,60,60,25,25.2,60,60,25,25.3,60,60
25,24.8,60,0,25,24.9,60,60,25,25,60,60,25,25.1,60,60
25,24.9,60,35,25,25,60,17,25,24.9,60,2,25,25,60,27
25,25,60,8,25,24.8,60,38,25,25.1,60,8,25,24.6,60,50
25,24.9,60,19,25,25,60,44,25,25.3,60,0,25,25.1,60,45
25,25.3,60,12,25,24.7,60,60,25,25.4,60,0,25,24.9,60,60
25,25.1,60,6,25,24.6,60,60,25,25.4,60,5,25,24.9,60,60
25,24.9,60,34,25,25,60,10,25,24.6,60,60,25,24.8,60,1
25,25.1,60,19,25,25.1,60,21,25,24.7,60,60,25,25.3,60,16
25,24.9,60,19,25,25,60,43,25,25,60,4,25,25,60,41
25,25.1,60,7,25,24.6,60,42,25,25.1,60,24,25,24.7,60,40
25,25,49,49,25,25.6,49,49,25,21.3,0,0,25,24.1,0,0
25,24.6,28,25,25,25.5,28,28,25,21.2,0,0,25,24.6,0,0
25,24.4,0,0,25,24.3,0,0,25,22,0,0,25,25.6,0,0
25,24.1,0,0,25,24.7,0,0,25,22,0,0,25,26.1,0,0
25,24.1,0,0,25,25.3,0,0,25,23.3,0,0,25,25.9,0,0
25,24.7,0,0,25,26.2,0,0,25,25,0,0,25,26.3,0,0
25,25.1,0,0,25,26.4,0,0,25,25.7,0,0,25,26.4,0,0
25,25.3,0,0,25,26.6,0,0,25,26.1,0,0,25,26.5,0,0
25,25.4,0,0,25,26.8,0,0,25,26.2,0,0,25,26.6,0,0
25,25.7,0,0,25,26.8,0,0,25,26.3,0,0,25,26.8,0,0
25,25.9,0,0,25,26.9,0,0,25,26.4,0,0,25,26.8,0,0
25,26.2,0,0,25,27,0,0,25,26.4,0,0,25,26.8,0,0
25,26.2,0,0,25,27.1,0,0,25,26.5,0,0,25,26.8,0,0
25,26.4,0,0,25,27.2,0,0,25,26.6,0,0,25,26.9,0,0
25,26.5,0,0,25,27.2,0,0,25,26.6,0,0,25,27,0,0
25,25.8,42,42,25,26,42,42,25,25.3,42,41,25,25.7,42,42
25,25.4,60,60,25,25.5,60,60,25,24.8,60,36,25,24.9,60,36
25,25.3,60,60,25,25.3,60,60,26,25.3,60,0,26,25.8,60,0
25,25.1,60,60,25,25.2,60,60,26,25.4,60,0,26,26,60,0
25,25.1,60,60,25,25.2,60,60,26,25.4,60,0,26,26,60,0
25,25.2,60,60,25,25.2,60,60,26,25.3,60,4,26,25.8,60,4
25,25.2,60,60,25,25.3,60,60,26,25.4,60,0,26,26.1,60,0
25,25.1,60,60,25,25.1,60,60,26,25.4,60,0,26,26,60,0
25,25,60,60,25,25.1,60,60,26,25.3,60,2,26,26,60,2
25,25,0,0,25,25.4,0,0,26,24.3,0,0,26,25.2,0,0
25,22.7,0,0,25,22.5,0,0,26,21.7,0,0,26,22.3,0,0
25,24.5,0,0,25,25.3,0,0,26,24.7,0,0,26,25.4,0,0
25,25.5,0,0,25,26.2,0,0,26,25.7,0,0,26,26.2,0,0
25,25.8,0,0,25,26.6,0,0,26,25.9,0,0,26,26.4,0,0
25,26.1,0,0,25,26.8,0,0,26,26.1,0,0,26,26.6,0,0
25,26.2,0,0,25,27,0,0,26,26.2,0,0,26,26.7,0,0
25,26.2,0,0,25,27.1,0,0,26,26.2,0,0,26,26.8,0,0
25,26.3,0,0,25,27.2,0,0,26,26.3,0,0,26,26.9,0,0
25,26.3,0,0,25,27.2,0,0,26,26.4,0,0,26,26.9,0,0
25,26.2,0,0,25,27.2,0,0,26,26.5,0,0,26,27,0,0
25,26.2,0,0,25,27.2,0,0,26,26.5,0,0,26,27,0,0
25,26.2,0,0,25,27.2,0,0,26,26.5,0,0,26,27,0,0
25,26.2,0,0,25,27.2,0,0,26,26.6,0,0,26,27.1,0,0
25,26.2,0,0,25,27.1,0,0,26,26.8,0,0,26,27.2,0,0
25,26.2,0,0,25,27.2,0,0,26,26.8,0,0,26,27.2,0,0
25,25.5,26,26,25,25.6,26,26,26,25.6,26,26,26,25.7,26,26
25,23.8,0,0,25,24.6,0,0,26,21.8,0,0,26,22,0,0
25,24,0,0,25,24.8,0,0,26,21.8,0,0,26,22.3,0,0
25,24.1,0,0,25,24.9,0,0,26,22.1,0,0,26,24,0,0
25,24.1,0,0,25,25.1,0,0,26,22.8,0,0,26,26.3,0,0
25,24,0,0,25,25.2,0,0,26,24.6,0,0,26,27.2,0,0
25,24.3,0,0,25,25.4,0,0,26,25.9,0,0,26,26.9,0,0
25,24.8,0,0,25,25.9,0,0,26,26.6,0,0,26,27.2,0,0
25,25.3,0,0,25,26.2,0,0,26,26.9,0,0,26,27.5,0,0
25,25.8,0,0,25,26.9,0,0,26,27,0,0,26,27.5,0,0
25,26.5,0,0,25,27.4,0,0,26,27.1,0,0,26,27.5,0,0
25,26.8,0,0,25,27.6,0,0,26,27.1,0,0,26,27.5,0,0
25,26.9,0,0,25,27.8,0,0,26,27.1,0,0,26,27.5,0,0
25,27,0,0,25,27.9,0,0,26,27.1,0,0,26,27.5,0,0
25,27.1,0,0,25,27.9,0,0,26,27.1,0,0,26,27.6,0,0
25,27.1,0,0,25,28,0,0,26,27.2,0,0,26,27.7,0,0
25,27.1,0,0,25,28,0,0,26,27.2,0,0,26,27.7,0,0
25,27.1,0,0,25,28.1,0,0,26,27.2,0,0,26,27.7,0,0
25,27.1,0,0,25,28.1,0,0,26,27.2,0,0,26,27.7,0,0
25,27.2,0,0,25,28.1,0,0,26,27.2,0,0,26,27.8,0,0
25,26.6,21,21,25,27.1,21,21,26,26.3,21,21,26,26.7,21,21
25,24.9,60,60,25,25.6,60,60,26,25.7,60,27,26,25.8,60,60
25,24.7,60,24,25,25.3,60,43,26,25.5,60,23,26,25.5,60,30
25,25,60,19,25,25,60,60,26,25.8,60,0,26,26.1,60,15
25,24.9,60,33,25,25,60,60,26,26.1,60,0,26,26.1,60,33
25,24.8,60,34,25,24.9,60,60,26,26,60,8,26,25.8,60,26
25,25,60,18,25,24.8,60,60,26,25.7,60,0,26,25.9,60,18
25,24.9,60,18,25,24.7,60,60,26,25.8,60,0,26,26.1,60,14
25,25,60,15,25,24.7,60,60,26,25.9,60,0,26,26.1,60,20
25,25.1,60,18,25,24.7,60,38,26,25.8,60,0,26,26,60,23
25,24.9,60,26,25,25,60,26,26,25.5,60,7,26,25.7,60,10
25,25,60,16,25,24.9,60,49,26,25.7,60,0,26,26,60,20
25,25.2,52,52,25,25.7,52,50,26,26.9,0,0,26,26.5,0,0
25,24.8,59,59,25,25.7,59,59,26,26.7,0,0,26,26.8,0,0
25,24.6,0,0,25,25.6,0,0,26,21.4,0,0,26,21.5,0,0
25,22.9,0,0,25,23.9,0,0,26,23.5,0,0,26,23.7,0,0
25,24.9,0,0,25,25.6,0,0,26,25.6,0,0,26,25.8,0,0
25,25.6,0,0,25,26.3,0,0,26,26.3,0,0,26,26.4,0,0
25,26.2,0,0,25,26.9,0,0,26,26.6,0,0,26,27,0,0
25,26.4,0,0,25,27.2,0,0,26,26.8,0,0,26,27.2,0,0
25,26.6,0,0,25,27.3,0,0,26,26.9,0,0,26,27.2,0,0
25,26.7,0,0,25,27.4,0,0,26,26.9,0,0,26,27.4,0,0
25,26.6,0,0,25,27.6,0,0,26,27,0,0,26,27.5,0,0
25,26.7,0,0,25,27.7,0,0,26,27.1,0,0,26,27.6,0,0
25,26.4,21,21,25,26.7,21,21,26,26.2,21,21,26,26.5,21,21
25,25,60,60,25,25.6,60,60,26,25.7,60,21,26,25.8,60,60
25,24.6,60,42,25,25.3,60,60,26,25.8,60,7,26,25.8,60,55
25,25,60,13,25,24.9,60,60,26,25.9,60,0,26,26.1,60,16
25,24.9,60,13,25,24.7,60,49,26,25.9,60,0,26,25.9,60,19
25,25,60,26,25,25,60,29,26,25.9,60,0,26,26,60,20
25,25,60,13,25,24.8,60,59,26,25.8,60,0,26,26,60,16
25,25.1,60,27,25,24.9,60,28,26,25.7,60,6,26,25.8,60,21
25,25.2,60,0,25,25,60,45,26,25.6,60,0,26,25.9,60,18
25,25,60,18,25,24.7,60,60,26,25.9,60,0,26,26.2,60,24
25,25.1,60,22,25,24.6,60,60,26,25.7,60,0,26,25.9,60,7
25,25,59,35,25,25.1,59,5,26,25.7,60,0,26,26,60,19
25,25.4,49,0,25,25.8,49,49,26,26.6,0,0,26,26.2,0,0
25,25.3,59,29,25,25.7,59,59,26,26.5,0,0,26,26.6,0,0
25,24.9,0,0,25,25.5,0,0,26,18.8,0,0,26,20.2,0,0
25,24.7,0,0,25,25.6,0,0,26,24.1,0,0,26,25.3,0,0
25,24.9,0,0,25,26,0,0,26,25.2,0,0,26,26,0,0
25,25.2,0,0,25,26.4,0,0,26,26.2,0,0,26,26.7,0,0
25,25.3,0,0,25,26.6,0,0,26,26.5,0,0,26,26.9,0,0
25,25.6,0,0,25,26.7,0,0,26,26.7,0,0,26,27.1,0,0
25,25.8,0,0,25,26.8,0,0,26,26.8,0,0,26,27.2,0,0
25,26,0,0,25,26.9,0,0,26,26.9,0,0,26,27.2,0,0
25,26.1,0,0,25,27,0,0,26,26.9,0,0,26,27.2,0,0
25,26.2,0,0,25,27,0,0,26,27,0,0,26,27.2,0,0
25,25.9,21,21,25,26.3,21,21,26,26,21,20,26,26.3,21,21
25,24.8,60,59,25,25.4,60,60,26,25.5,60,0,26,25.6,60,60
25,24.8,60,3,25,25.2,60,60,26,25.7,60,3,26,25.7,60,60
25,25,60,15,25,24.8,60,40,26,25.6,60,4,26,25.8,60,4
25,24.9,60,22,25,25,60,37,26,25.9,60,0,26,26.4,60,14
25,24.9,60,17,25,25,60,48,26,25.8,60,0,26,26,60,11
25,25.2,60,27,25,24.9,60,30,26,25.8,60,0,26,26,60,10
25,24.9,60,4,25,24.8,60,60,26,25.8,60,0,26,26.1,60,16
25,25,60,23,25,24.6,60,42,26,25.6,60,7,26,25.7,60,18
25,25,60,18,25,24.9,60,53,26,25.7,60,0,26,26.2,60,13
25,25.2,60,20,25,24.7,60,37,26,25.8,60,0,26,26,60,6
25,24.8,59,16,25,25,59,48,26,25.9,59,0,26,26.3,59,16
25,25.1,0,0,25,22,0,0,26,26.6,0,0,26,24.5,0,0
25,24.8,0,0,25,22.5,0,0,26,26.7,0,0,26,22.9,0,0
25,25.7,0,0,25,23.7,0,0,26,26.6,0,0,26,24.2,0,0
25,26.1,0,0,25,26,0,0,26,26.8,0,0,26,26.2,0,0
25,26.1,0,0,25,26.2,0,0,26,26.8,0,0,26,26.5,0,0
25,26.2,0,0,25,26.3,0,0,26,26.9,0,0,26,26.7,0,0
25,26.2,0,0,25,26.5,0,0,26,26.9,0,0,26,26.8,0,0
25,26.3,0,0,25,26.7,0,0,26,26.9,0,0,26,26.9,0,0
25,26.4,0,0,25,26.8,0,0,26,27,0,0,26,26.9,0,0
25,26.5,0,0,25,26.9,0,0,26,27,0,0,26,26.9,0,0
25,26.5,0,0,25,26.9,0,0,26,27,0,0,26,27,0,0
25,26.5,0,0,25,27,0,0,26,27,0,0,26,27,0,0
25,26,21,21,25,26.3,21,21,26,25.9,21,13,26,26.2,21,21
25,24.7,60,46,25,25.3,60,60,26,25.4,60,7,26,25.6,60,25
25,25,60,0,25,25.2,60,60,26,25.7,60,0,26,26.1,60,14
25,25.2,60,33,25,25.1,60,24,25,25.6,60,22,25,25.5,60,29
25,25.1,60,7,25,25,60,45,25,24.7,60,41,25,24.9,60,37
25,24.9,60,29,25,24.9,60,20,25,25,60,10,25,24.7,60,42
25,25,60,18,25,25.1,60,35,25,25.2,60,0,25,25.1,60,50
25,24.9,60,25,25,24.9,60,35,25,25.3,60,0,25,25,60,60
25,24.9,60,8,25,25.1,60,38,25,25.3,60,0,25,24.8,60,60
25,25.1,60,19,25,24.9,60,27,25,24.9,60,18,25,24.7,60,21
25,24.9,60,22,25,24.9,60,35,25,25.2,60,0,25,25,60,59
25,24.9,59,17,25,24.9,59,24,25,25.3,59,0,25,24.8,59,59
25,25,35,33,25,25.8,35,35,25,26.3,0,0,25,22.8,0,0
25,24.6,59,38,25,25.5,59,59,25,26.2,0,0,25,22.5,0,0
25,25.2,0,0,25,25.4,0,0,25,22.4,0,0,25,22.5,0,0
25,25.4,0,0,25,25.7,0,0,25,24.1,0,0,25,24.3,0,0
25,25.3,0,0,25,26.2,0,0,25,25.1,0,0,25,25,0,0
25,25.5,0,0,25,26.6,0,0,25,25.9,0,0,25,25.7,0,0
25,25.6,0,0,25,26.8,0,0,25,26.2,0,0,25,26.2,0,0
25,25.7,0,0,25,26.8,0,0,25,26.4,0,0,25,26.3,0,0
25,25.7,0,0,25,26.9,0,0,25,26.5,0,0,25,26.5,0,0
25,25.8,0,0,25,26.9,0,0,25,26.6,0,0,25,26.6,0,0
25,25.9,0,0,25,27,0,0,25,26.6,0,0,25,26.6,0,0
25,26,0,0,25,27,0,0,25,26.7,0,0,25,26.7,0,0
25,25.8,22,22,25,26.2,22,22,25,25.7,22,22,25,25.8,22,22
25,24.7,59,36,25,25.1,59,59,25,25.1,59,59,25,25.1,59,59
25,24.6,60,6,25,24.8,60,60,25,24.9,60,60,25,25,60,60
25,24.9,60,18,25,24.9,60,26,25,24.8,60,17,25,24.9,60,18
25,25.3,60,8,25,25.1,60,22,25,25.2,60,0,25,25,60,60
25,25.1,60,7,25,25,60,28,25,25.2,60,0,25,24.8,60,60
25,25,60,15,25,25,60,29,25,24.9,60,8,25,24.7,60,23
25,25.1,60,19,25,25,60,18,25,25.1,60,0,25,24.8,60,60
25,25,60,17,25,25.1,60,24,25,25.2,60,0,25,24.7,60,60
