リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
24,23.3,60,49,24,23.8,60,49,24,21.5,60,12,24,22.8,60,60,24,21.7,60,60
24,24.8,60,4,24,25.2,60,4,24,22.6,60,32,24,23.7,60,60,24,22.3,60,60
24,24,60,52,24,24.1,60,52,24,21.9,60,53,24,23.6,60,60,24,22.1,60,53
26,24.7,60,20,26,25.3,60,0,25,22.9,60,29,25,23.5,60,60,25,22.9,60,38
26,24.2,60,60,26,25.4,60,12,25,22.6,60,0,25,23.4,60,60,25,22.3,60,60
26,24.2,60,60,26,25.2,60,31,25,22.9,60,0,25,23.5,60,60,25,22.4,60,60
23,23.6,60,60,23,24.1,60,60,25,23,60,14,25,23.7,60,60,25,22.7,60,37
23,23.3,60,60,23,23.5,60,60,25,22.4,60,20,25,23.5,60,60,25,22.4,60,60
23,23,60,60,23,23.4,60,60,25,22.6,60,0,25,23.4,60,60,25,22.2,60,60
23,22.8,60,60,23,23.6,60,58,25,23.1,32,0,25,23.2,32,32,25,22.6,32,13
24,23.4,60,60,24,24.3,60,31,25,25.4,0,0,25,24.9,0,0,25,24.9,0,0
24,23.6,60,60,24,24.3,60,60,25,25.4,0,0,25,24.9,0,0,25,25.2,0,0
24,23.4,30,30,24,24.3,30,30,25,25.4,0,0,25,25.1,0,0,25,25.3,0,0
24,24.1,0,0,24,24.9,0,0,25,25.4,0,0,25,25.3,0,0,25,25.4,0,0
24,24.5,0,0,24,25.2,0,0,25,25.5,0,0,25,25.3,0,0,25,25.4,0,0
24,24.8,0,0,24,25.3,0,0,25,25.5,0,0,25,25.5,0,0,25,25.4,0,0
24,25,0,0,24,25.6,0,0,25,25.5,0,0,25,25.5,0,0,25,25.5,0,0
24,25.3,0,0,24,25.7,0,0,25,25.6,0,0,25,25.6,0,0,25,25.6,0,0
24,25.3,0,0,24,25.8,0,0,25,25.6,0,0,25,25.7,0,0,25,25.6,0,0
24,25.4,0,0,24,25.8,0,0,25,25.6,0,0,25,25.8,0,0,25,25.7,0,0
24,25.5,0,0,24,25.9,0,0,25,25.6,0,0,25,25.8,0,0,25,25.8,0,0
24,25.5,0,0,24,25.9,0,0,25,25.6,0,0,25,25.9,0,0,25,25.8,0,0
24,24.2,44,44,24,24.6,44,44,25,25.7,0,0,25,25.9,0,0,25,25.9,0,0
24,23.7,60,60,24,24.3,60,60,25,23.3,29,25,25,24.3,28,28,25,23.6,28,24
24,23.3,60,60,24,24.1,60,59,25,24,60,3,25,23.6,60,60,25,23.9,60,2
25,23.7,60,60,25,24.5,60,16,24,22.8,60,60,25,24.1,60,60,24,23.1,60,60
26,24.2,60,60,26,24.9,60,0,24,22.1,60,43,25,23.8,60,60,24,22.4,60,48
26,24.3,60,60,26,25.3,60,36,26,24.5,60,19,25,24.3,60,60,26,24.4,60,20
26,24.3,60,60,26,24.9,60,31,26,23.3,60,0,25,24.3,60,60,26,23,60,60
26,24.3,60,60,26,25,60,49,25,24,60,12,24,24.5,60,60,25,23.5,60,27
23,24.2,60,60,23,24.5,60,60,26,23.8,60,24,25,24.5,60,60,26,23.9,60,42
23,23.9,60,60,23,24.2,60,60,26,23.7,60,0,25,24.5,60,60,26,23.3,60,45
23,23.6,60,60,23,24.5,60,32,26,25.3,31,0,25,24.5,31,31,26,24.8,31,0
25,23.9,60,60,25,24.7,60,54,26,26.2,0,0,25,25.3,0,0,26,25.8,0,0
25,23.9,60,60,25,24.6,60,60,26,26.1,0,0,25,25.6,0,0,26,26,0,0
25,24,60,60,25,24.6,60,60,26,26.1,0,0,25,25.8,0,0,26,26.2,0,0
25,23.9,29,29,25,24.7,29,27,26,26,0,0,25,26,0,0,26,26.2,0,0
25,24.5,0,0,25,25.3,0,0,26,26,0,0,25,26,0,0,26,26.1,0,0
25,24.7,0,0,25,25.5,0,0,26,26,0,0,25,26,0,0,26,26.1,0,0
25,25,0,0,25,25.8,0,0,26,26,0,0,25,26,0,0,26,26.1,0,0
25,25.2,0,0,25,25.9,0,0,26,26,0,0,25,26,0,0,26,26.1,0,0
25,25.3,0,0,25,25.9,0,0,26,26,0,0,25,26.1,0,0,26,26.1,0,0
25,25.4,0,0,25,26,0,0,26,26,0,0,25,26.1,0,0,26,26.1,0,0
25,25.4,0,0,25,26,0,0,26,26,0,0,25,26.1,0,0,26,26.2,0,0
25,25.6,0,0,25,26.1,0,0,26,26,0,0,25,26.2,0,0,26,26.2,0,0
25,25.7,0,0,25,26.1,0,0,26,26.1,0,0,25,26.2,0,0,26,26.2,0,0
25,25.7,0,0,25,26.2,0,0,26,26.1,0,0,25,26.2,0,0,26,26.2,0,0
26,24.5,40,21,26,25.1,40,14,26,26,0,0,25,26.2,0,0,26,26,0,0
26,25,60,11,26,25.7,60,0,26,26,0,0,25,26.3,0,0,26,26.3,0,0
26,24.4,60,42,26,25.7,60,4,26,26.1,0,0,25,26.2,0,0,26,26.3,0,0
26,24.6,60,43,26,25.8,60,15,25,23.6,51,47,25,25,51,51,25,23.5,51,51
26,24.1,60,42,26,25.4,60,1,25,22.7,60,0,25,24.1,60,60,25,22.6,60,60
26,23.8,60,54,26,25.9,60,7,25,23,60,0,25,23.8,60,60,25,22.4,60,45
26,24.5,60,39,26,25.6,60,27,25,23.3,60,39,25,24.1,60,60,25,23.3,60,36
26,24.3,60,49,26,25.9,60,17,25,24.3,60,32,25,24,60,60,25,24.3,60,0
26,24,60,60,26,25.2,60,35,25,24.7,60,4,25,23.8,60,60,25,25.1,60,0
23,23.4,60,60,23,24.6,60,55,25,25.2,60,17,25,24,60,60,25,25.4,60,0
23,23.4,60,42,23,24.3,60,42,25,24.7,38,15,25,23.6,13,13,25,25,13,0
25,24.2,60,49,25,24.9,60,33,25,24.6,60,60,25,22.3,0,0,25,25.9,0,0
25,24,60,60,25,24.9,60,26,25,24.5,60,60,25,22.1,0,0,25,25.8,0,0
23,23.6,59,59,23,24.2,59,59,25,24.6,41,41,25,20.7,0,0,25,23.8,0,0
24,23.4,0,0,24,24.2,0,0,25,25,0,0,25,23.3,0,0,25,24.5,0,0
24,24.5,0,0,24,25.3,0,0,25,25.3,0,0,25,24.4,0,0,25,25.2,0,0
24,25,0,0,24,25.7,0,0,25,25.4,0,0,25,24.9,0,0,25,25.5,0,0
24,25.3,0,0,24,26,0,0,25,25.6,0,0,25,25.2,0,0,25,25.8,0,0
24,25.4,0,0,24,26.1,0,0,25,25.7,0,0,25,25.3,0,0,25,25.9,0,0
24,25.5,0,0,24,26.1,0,0,25,25.7,0,0,25,25.4,0,0,25,26.1,0,0
24,25.6,0,0,24,26.2,0,0,25,25.8,0,0,25,25.5,0,0,25,26.2,0,0
24,25.6,0,0,24,26.2,0,0,25,25.9,0,0,25,25.7,0,0,25,26.2,0,0
24,25.7,0,0,24,26.2,0,0,25,25.9,0,0,25,25.8,0,0,25,26.2,0,0
24,25.8,0,0,24,26.2,0,0,25,26,0,0,25,25.9,0,0,25,26.2,0,0
26,25,40,5,26,25.4,40,5,25,24.2,19,19,25,25,19,19,25,24.7,19,19
26,25.2,60,27,26,26.1,60,0,26,24.1,60,13,25,23.7,60,60,26,24.2,60,8
26,24.3,60,60,26,25.9,60,0,25,23.6,60,46,24,24,60,60,24,23.9,60,46
26,24.4,60,25,26,25.4,60,0,25,22.4,60,6,24,23.4,60,60,24,22.4,60,60
26,25,60,0,26,25.2,60,0,25,22.7,60,0,24,23.5,60,60,24,22.4,60,60
