リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,室内機サーモＯＮ時間積算
25,24.8,60,60,60,25,25,60,26,26,25,24.9,60,31,31,25,25.2,60,60,60,26,26,60,27,27,26,26.1,60,0,0,26,26,60,0,0,26,25.9,60,60,60
25,24.9,60,60,60,25,24.9,60,26,26,25,25,60,24,24,25,25.3,60,60,60,26,26,60,29,29,26,26.3,60,4,4,26,26,60,0,0,26,25.9,60,60,60
25,25,60,60,60,25,25.1,60,26,26,25,25,60,31,31,25,25.3,60,60,60,26,26,60,32,32,26,26.1,60,18,18,26,26.1,60,0,0,26,26,60,60,60
25,24.9,60,60,60,25,24.9,60,34,34,25,24.9,60,27,27,25,25.4,60,60,60,26,26,60,28,28,26,26.1,60,11,11,26,26.1,60,5,5,26,26,60,55,55
25,24.8,60,60,60,25,24.9,60,12,12,25,25,60,27,27,25,25.4,60,60,60,26,26,60,31,31,26,26.1,60,12,12,26,26,60,0,0,26,26.2,60,51,51
25,24.8,60,60,60,25,25.1,60,28,28,25,25,60,28,28,25,25.3,60,60,60,26,26,60,31,31,26,26.1,60,13,13,26,26.2,60,0,0,26,26,60,60,60
25,24.8,60,60,60,25,25,60,20,20,25,25.1,60,12,12,25,25.3,60,60,60,25,25.3,60,49,49,25,25.4,60,32,32,26,26.1,60,0,0,26,25.9,60,60,60
25,24.7,60,60,60,25,24.9,60,21,21,25,25,60,21,21,25,25.1,60,60,60,25,24.9,60,41,41,25,25.1,60,42,42,26,25.9,60,0,0,26,25.8,60,60,60
25,22.3,0,0,0,25,26.2,0,0,0,25,26.7,0,0,0,25,22.4,0,0,0,26,26.1,59,42,42,26,26.1,59,0,0,26,26.2,59,0,0,26,26.2,59,44,44
25,22,0,0,0,25,26.5,0,0,0,25,26.9,0,0,0,25,22.2,0,0,0,26,25.9,60,60,60,26,26.4,60,0,0,26,26.1,60,0,0,26,25.7,60,60,60
25,22.4,0,0,0,25,27,0,0,0,25,27.1,0,0,0,25,22.3,0,0,0,26,26.3,55,26,26,26,26.3,55,50,50,26,26,59,0,0,26,26.1,59,32,32
25,23.5,0,0,0,25,27,0,0,0,25,27.1,0,0,0,25,23.1,0,0,0,26,25.5,0,0,0,26,24.8,0,0,0,26,25.8,7,0,0,26,25.9,7,7,7
25,26,0,0,0,25,27.2,0,0,0,25,27.1,0,0,0,25,26,0,0,0,26,26.4,0,0,0,26,25.2,0,0,0,26,27.3,0,0,0,26,26.8,0,0,0
25,26.6,0,0,0,25,27.2,0,0,0,25,27.2,0,0,0,25,26.6,0,0,0,26,26.8,0,0,0,26,25.3,0,0,0,26,27.5,0,0,0,26,27.1,0,0,0
25,27.1,0,0,0,25,27.3,0,0,0,25,27.2,0,0,0,25,27.1,0,0,0,26,27.2,0,0,0,26,25.7,0,0,0,26,27.6,0,0,0,26,27.4,0,0,0
25,27.3,0,0,0,25,27.3,0,0,0,25,27.2,0,0,0,25,27.3,0,0,0,26,27.3,0,0,0,26,26.2,0,0,0,26,27.7,0,0,0,26,27.5,0,0,0
25,27.5,0,0,0,25,27.4,0,0,0,25,27.3,0,0,0,25,27.5,0,0,0,26,27.4,0,0,0,26,26.5,0,0,0,26,27.7,0,0,0,26,27.6,0,0,0
25,27.6,0,0,0,25,27.5,0,0,0,25,27.3,0,0,0,25,27.6,0,0,0,26,27.6,0,0,0,26,27,0,0,0,26,27.8,0,0,0,26,27.7,0,0,0
25,27.7,0,0,0,25,27.5,0,0,0,25,27.4,0,0,0,25,27.7,0,0,0,26,27.7,0,0,0,26,27.2,0,0,0,26,27.8,0,0,0,26,27.8,0,0,0
25,27.8,0,0,0,25,27.6,0,0,0,25,27.5,0,0,0,25,27.9,0,0,0,26,27.9,0,0,0,26,27.6,0,0,0,26,27.9,0,0,0,26,27.9,0,0,0
25,27.9,0,0,0,25,27.7,0,0,0,25,27.5,0,0,0,25,28,0,0,0,26,28,0,0,0,26,27.7,0,0,0,26,27.9,0,0,0,26,28.1,0,0,0
25,28,0,0,0,25,27.8,0,0,0,25,27.6,0,0,0,25,28.1,0,0,0,26,28.1,0,0,0,26,28,0,0,0,26,28,0,0,0,26,28.1,0,0,0
25,28.1,0,0,0,25,27.8,0,0,0,25,27.6,0,0,0,25,28.1,0,0,0,26,28.1,0,0,0,26,28,0,0,0,26,28,0,0,0,26,28.1,0,0,0
25,24.5,0,0,0,25,28,0,0,0,25,27.8,0,0,0,25,24.9,0,0,0,26,26.9,51,51,51,26,27,51,51,51,26,26.1,51,23,23,26,26.4,51,51,51
25,25.9,0,0,0,25,27.9,0,0,0,25,27.5,0,0,0,25,26.7,0,0,0,26,26,60,39,39,26,26.5,60,60,60,26,26,60,0,0,26,25.9,60,60,60
25,26.2,0,0,0,25,27.9,0,0,0,25,27.4,0,0,0,25,26.8,0,0,0,26,25.9,60,45,45,26,26.4,60,60,60,26,26,60,0,0,26,25.9,60,60,60
25,26.8,0,0,0,25,27.7,0,0,0,25,27.3,0,0,0,25,27,0,0,0,26,25.9,60,43,43,26,26.3,60,60,60,26,25.9,60,0,0,26,25.9,60,60,60
25,27.2,0,0,0,25,27.7,0,0,0,25,27.2,0,0,0,25,27,0,0,0,26,26,60,41,41,26,26.3,60,60,60,26,25.8,60,0,0,26,25.8,60,60,60
25,22.7,0,0,0,25,23.7,0,0,0,25,22.9,0,0,0,25,22.1,0,0,0,26,25.8,60,32,32,26,26.1,60,60,60,26,25.6,60,5,5,26,25.9,60,22,22
25,26.5,0,0,0,25,26.9,0,0,0,25,26.5,0,0,0,25,26.2,0,0,0,26,26,60,25,25,26,26.1,60,60,60,26,25.9,60,0,0,26,26,60,60,60
25,27,0,0,0,25,27.2,0,0,0,25,26.9,0,0,0,25,26.8,0,0,0,26,26.1,60,16,16,26,26.1,60,60,60,26,25.8,60,0,0,26,25.9,60,60,60
25,27,0,0,0,25,27.1,0,0,0,25,26.7,0,0,0,25,26.7,0,0,0,26,26.3,60,0,0,26,26,60,60,60,26,25.7,60,0,0,26,25.9,60,60,60
25,25.7,0,0,0,25,25.9,0,0,0,25,24.3,0,0,0,25,24.9,0,0,0,26,23.8,0,0,0,26,18.9,0,0,0,26,26,60,10,10,26,26.5,60,39,39
25,24.2,0,0,0,25,24,0,0,0,25,22.4,0,0,0,25,23.3,0,0,0,26,26,21,4,4,26,25.8,21,2,2,26,25.6,52,30,30,26,26.3,51,30,30
25,23.3,0,0,0,25,24,0,0,0,25,24.5,0,0,0,25,23.6,0,0,0,26,26.5,0,0,0,26,26.4,0,0,0,26,25.7,0,0,0,26,26.3,0,0,0
25,26.7,0,0,0,25,26.6,0,0,0,25,26.3,0,0,0,25,26.7,0,0,0,26,27.1,0,0,0,26,25.9,0,0,0,26,27.2,0,0,0,26,27.6,0,0,0
25,27.3,0,0,0,25,27,0,0,0,25,26.7,0,0,0,25,27.3,0,0,0,26,27.2,0,0,0,26,26.2,0,0,0,26,27.2,0,0,0,26,27.7,0,0,0
25,27.6,0,0,0,25,27.2,0,0,0,25,26.9,0,0,0,25,27.6,0,0,0,26,27.3,0,0,0,26,26.4,0,0,0,26,27.3,0,0,0,26,27.6,0,0,0
25,27.8,0,0,0,25,27.3,0,0,0,25,27.1,0,0,0,25,27.8,0,0,0,26,27.4,0,0,0,26,26.9,0,0,0,26,27.3,0,0,0,26,27.6,0,0,0
25,27.8,0,0,0,25,27.4,0,0,0,25,27.2,0,0,0,25,27.9,0,0,0,26,27.5,0,0,0,26,27.2,0,0,0,26,27.3,0,0,0,26,27.6,0,0,0
25,27.9,0,0,0,25,27.5,0,0,0,25,27.2,0,0,0,25,27.9,0,0,0,26,27.6,0,0,0,26,27.3,0,0,0,26,27.4,0,0,0,26,27.6,0,0,0
25,27.9,0,0,0,25,27.5,0,0,0,25,27.2,0,0,0,25,28,0,0,0,26,27.7,0,0,0,26,27.4,0,0,0,26,27.4,0,0,0,26,27.7,0,0,0
25,28.1,0,0,0,25,27.6,0,0,0,25,27.3,0,0,0,25,28,0,0,0,26,27.7,0,0,0,26,27.6,0,0,0,26,27.5,0,0,0,26,27.8,0,0,0
25,28.1,0,0,0,25,27.7,0,0,0,25,27.4,0,0,0,25,28.1,0,0,0,26,27.8,0,0,0,26,27.6,0,0,0,26,27.6,0,0,0,26,27.9,0,0,0
25,28.1,0,0,0,25,27.8,0,0,0,25,27.4,0,0,0,25,28.1,0,0,0,26,27.9,0,0,0,26,27.7,0,0,0,26,27.7,0,0,0,26,28,0,0,0
25,28.1,0,0,0,25,27.9,0,0,0,25,27.5,0,0,0,25,28.1,0,0,0,26,28,0,0,0,26,27.8,0,0,0,26,27.8,0,0,0,26,28,0,0,0
25,28.2,0,0,0,25,28,0,0,0,25,27.7,0,0,0,25,28.3,0,0,0,26,28.1,0,0,0,26,28,0,0,0,26,27.9,0,0,0,26,28.1,0,0,0
25,27.6,14,14,14,25,27,14,14,14,25,26.9,14,14,14,25,27.3,14,14,14,26,26.6,58,46,46,26,26.7,58,56,56,26,26.5,59,14,14,26,26.7,59,54,54
25,26.2,0,0,0,25,26.7,0,0,0,25,26.5,0,0,0,25,26.1,0,0,0,26,26.5,60,60,60,26,26.7,60,60,60,26,26.4,60,0,0,26,26.4,60,60,60
25,27.3,0,0,0,25,27.5,0,0,0,25,27.3,0,0,0,25,27.4,0,0,0,24,26.5,60,60,60,24,26.8,60,60,60,26,26.3,60,0,0,26,26.2,60,60,60
25,27.4,0,0,0,25,27.9,0,0,0,25,27.6,0,0,0,25,27.4,0,0,0,26,26.4,12,12,12,26,26.6,12,12,12,26,26.2,60,28,28,26,26.6,60,60,60
25,28.1,0,0,0,25,28,0,0,0,25,27.6,0,0,0,25,28.1,0,0,0,26,24.5,0,0,0,26,21.3,0,0,0,26,26,60,60,60,26,26.7,60,60,60
25,24.6,0,0,0,25,24.5,0,0,0,25,23,0,0,0,25,23.8,0,0,0,26,21.8,0,0,0,26,19.9,0,0,0,26,26,60,60,60,26,26.8,60,60,60
25,25.8,0,0,0,25,26.2,0,0,0,25,26,0,0,0,25,26.1,0,0,0,26,23.3,0,0,0,26,20.8,0,0,0,26,25.9,60,60,60,26,26.8,60,60,60
25,27.5,0,0,0,25,27.7,0,0,0,25,26.7,32,32,32,25,27,32,32,32,26,22.9,0,0,0,26,20.2,0,0,0,26,25.7,60,40,40,26,26.5,60,60,60
25,27.8,0,0,0,25,27.9,0,0,0,24,26.2,60,60,60,24,26.6,60,60,60,26,21.9,0,0,0,26,20,0,0,0,26,25.9,60,0,0,26,26.3,60,60,60
25,27.3,26,26,26,25,27.1,26,26,26,24,22.5,0,0,0,24,24,0,0,0,26,24.9,0,0,0,26,19.6,0,0,0,26,26.3,60,0,0,26,26.7,59,57,57
25,26.9,60,60,60,25,26.4,60,60,60,24,23.1,0,0,0,24,24.2,0,0,0,26,26.2,0,0,0,26,21.7,0,0,0,26,26.2,4,0,0,26,26.7,4,4,4
25,27,35,35,35,25,26.5,35,35,35,24,24,0,0,0,24,24.7,0,0,0,26,25.3,0,0,0,26,23.1,0,0,0,26,25.6,0,0,0,26,25.5,0,0,0
25,26.8,33,33,33,25,26.3,33,33,33,24,24.3,0,0,0,24,25.3,0,0,0,26,25.5,0,0,0,26,23.2,0,0,0,26,25.6,0,0,0,26,25.7,0,0,0
25,27.3,0,0,0,25,26.8,0,0,0,24,25.5,0,0,0,24,26.5,0,0,0,26,26.8,0,0,0,26,24.3,0,0,0,26,26.8,0,0,0,26,26.2,0,0,0
25,27.7,0,0,0,25,27.2,0,0,0,24,26.4,0,0,0,24,27.3,0,0,0,26,27.4,0,0,0,26,25.3,0,0,0,26,27.2,0,0,0,26,26.9,0,0,0
25,27.9,0,0,0,25,27.5,0,0,0,24,26.9,0,0,0,24,27.7,0,0,0,26,27.6,0,0,0,26,25.8,0,0,0,26,27.5,0,0,0,26,27.2,0,0,0
25,28.1,0,0,0,25,27.7,0,0,0,24,27.1,0,0,0,24,27.9,0,0,0,26,27.8,0,0,0,26,26.2,0,0,0,26,27.6,0,0,0,26,27.4,0,0,0
25,28.1,0,0,0,25,27.8,0,0,0,24,27.2,0,0,0,24,28,0,0,0,26,27.9,0,0,0,26,26.6,0,0,0,26,27.7,0,0,0,26,27.6,0,0,0
25,28.1,0,0,0,25,27.8,0,0,0,24,27.4,0,0,0,24,28.1,0,0,0,26,28,0,0,0,26,27.1,0,0,0,26,27.8,0,0,0,26,27.8,0,0,0
25,28.2,0,0,0,25,27.9,0,0,0,24,27.6,0,0,0,24,28.1,0,0,0,26,28,0,0,0,26,27.5,0,0,0,26,27.8,0,0,0,26,27.9,0,0,0
25,28.3,0,0,0,25,28,0,0,0,24,27.7,0,0,0,24,28.3,0,0,0,26,28.1,0,0,0,26,27.9,0,0,0,26,27.9,0,0,0,26,28,0,0,0
25,28.3,0,0,0,25,28,0,0,0,24,27.6,0,0,0,24,28.3,0,0,0,26,28.1,0,0,0,26,28,0,0,0,26,28,0,0,0,26,28,0,0,0
25,28.4,0,0,0,25,28.1,0,0,0,24,27.7,0,0,0,24,28.3,0,0,0,26,28.2,0,0,0,26,28.1,0,0,0,26,28,0,0,0,26,28.1,0,0,0
25,23,0,0,0,25,21.8,0,0,0,24,21.8,0,0,0,24,23.2,0,0,0,26,26.6,36,36,36,26,26.2,36,33,33,26,24.4,0,0,0,26,22.9,0,0,0
25,25.5,18,16,16,25,25.3,18,16,16,24,23.8,0,0,0,24,23.2,0,0,0,26,25.7,60,60,60,26,26.1,60,60,60,26,25.7,18,0,0,26,26.1,18,16,16
25,25.9,60,60,60,25,25.4,60,60,60,24,25.9,0,0,0,24,24.6,0,0,0,26,25.9,60,21,21,26,25.9,60,60,60,26,26.1,60,0,0,26,26.1,60,60,60
25,25.7,60,60,60,25,25.2,60,60,60,24,26.2,0,0,0,24,24.9,0,0,0,26,26.1,60,23,23,26,25.8,60,60,60,26,26,60,0,0,26,25.9,60,60,60
25,25.6,60,60,60,25,25,60,60,60,24,25.8,15,15,15,24,25.5,15,15,15,26,26,60,19,19,26,25.6,60,46,46,26,26,60,0,0,26,25.9,60,60,60
25,25.2,60,60,60,25,25,60,1,1,25,24.9,60,38,38,25,25.4,60,60,60,26,26,60,26,26,26,26.1,60,12,12,26,26.1,60,0,0,26,26,60,60,60
25,25,60,60,60,25,25.1,60,27,27,25,24.8,60,26,26,25,25.2,60,60,60,25,25.7,60,39,39,25,25.9,60,24,24,26,26.1,60,0,0,26,25.8,60,60,60
25,24.9,60,60,60,25,25,60,20,20,25,25.2,60,10,10,25,25.1,60,60,60,25,24.8,60,45,45,25,24.8,60,60,60,26,25.9,60,0,0,26,25.7,60,60,60
25,24.9,60,60,60,25,24.9,60,15,15,25,25,60,19,19,25,25.1,60,60,60,25,25,60,46,46,25,25,60,41,41,26,25.6,60,6,6,26,25.7,60,32,32
25,25,60,60,60,25,25.1,60,14,14,25,25,60,24,24,25,25.1,60,60,60,25,24.9,60,43,43,25,25.1,60,50,50,26,25.9,60,0,0,26,25.9,60,60,60
25,22.8,0,0,0,25,26.6,0,0,0,25,25.6,0,0,0,25,22.7,0,0,0,25,25.5,57,51,51,25,25.7,57,48,48,26,26,57,0,0,26,26.2,57,0,0
25,22.8,0,0,0,25,26.7,0,0,0,25,26.4,0,0,0,25,22.6,0,0,0,25,25.6,60,60,60,25,25.9,60,60,60,26,26.1,60,0,0,26,26.2,60,32,32
25,22.9,0,0,0,25,26.9,0,0,0,25,26.6,0,0,0,25,22.8,0,0,0,25,25.7,58,58,58,25,26.1,58,58,58,26,26,58,0,0,26,26.2,58,0,0
25,22.8,0,0,0,25,26.9,0,0,0,25,26.6,0,0,0,25,22.5,0,0,0,25,25.4,60,60,60,25,26,60,60,60,26,25.6,60,5,5,26,25.9,60,5,5
25,21.1,0,0,0,25,21.8,0,0,0,25,21.2,0,0,0,25,20.9,0,0,0,25,25,0,0,0,25,25.7,0,0,0,26,25.3,0,0,0,26,25.5,0,0,0
25,25.5,0,0,0,25,25.6,0,0,0,25,25.4,0,0,0,25,25.3,0,0,0,25,26.3,0,0,0,25,25.8,0,0,0,26,27.2,0,0,0,26,27.2,0,0,0
25,26.6,0,0,0,25,26.4,0,0,0,25,26.3,0,0,0,25,26.5,0,0,0,25,26.7,0,0,0,25,25.8,0,0,0,26,27.2,0,0,0,26,27.3,0,0,0
25,27.1,0,0,0,25,26.8,0,0,0,25,26.7,0,0,0,25,27.1,0,0,0,25,27.1,0,0,0,25,26.1,0,0,0,26,27.3,0,0,0,26,27.4,0,0,0
25,27.3,0,0,0,25,27,0,0,0,25,26.9,0,0,0,25,27.2,0,0,0,25,27.2,0,0,0,25,26.3,0,0,0,26,27.3,0,0,0,26,27.4,0,0,0
25,27.4,0,0,0,25,27.1,0,0,0,25,27,0,0,0,25,27.4,0,0,0,25,27.2,0,0,0,25,26.8,0,0,0,26,27.3,0,0,0,26,27.4,0,0,0
25,27.7,0,0,0,25,27.2,0,0,0,25,27.1,0,0,0,25,27.6,0,0,0,25,27.3,0,0,0,25,27.1,0,0,0,26,27.4,0,0,0,26,27.4,0,0,0
25,27.7,0,0,0,25,27.3,0,0,0,25,27.2,0,0,0,25,27.7,0,0,0,25,27.4,0,0,0,25,27.3,0,0,0,26,27.4,0,0,0,26,27.5,0,0,0
25,27.8,0,0,0,25,27.3,0,0,0,25,27.2,0,0,0,25,27.8,0,0,0,25,27.5,0,0,0,25,27.4,0,0,0,26,27.4,0,0,0,26,27.6,0,0,0
25,25.1,0,0,0,25,27.3,0,0,0,25,27.1,0,0,0,25,25.4,0,0,0,25,26,0,0,0,25,25.3,0,0,0,26,27.6,0,0,0,26,27.2,0,0,0
25,25.7,34,33,33,25,25.4,34,23,23,25,25.3,34,21,21,25,25.8,34,34,34,25,25.3,34,32,32,25,25.7,34,33,33,26,25.9,43,14,14,26,26.2,43,20,20
25,25,60,60,60,25,25,60,22,22,25,25.1,60,13,13,25,25.3,60,60,60,25,24.9,60,44,44,25,24.9,60,60,60,26,26,60,0,0,26,25.9,60,60,60
25,24.9,60,60,60,25,24.9,60,32,32,25,25,60,26,26,25,25.2,60,60,60,25,24.9,60,46,46,25,24.9,60,60,60,26,26,60,0,0,26,25.8,60,60,60
25,24.9,60,60,60,25,25,60,34,34,25,25,60,29,29,25,25.2,60,60,60,25,24.9,60,43,43,25,24.9,60,60,60,26,26,60,0,0,26,25.8,60,60,60
25,25.5,46,46,46,25,25.3,46,46,46,25,25.2,60,2,2,25,25.1,60,60,60,25,24.9,60,60,60,25,25,60,60,60,26,26,60,0,0,26,25.6,60,57,57
25,23.6,0,0,0,25,21.2,0,0,0,25,24.9,60,60,60,25,25.3,60,60,60,25,25,60,35,35,25,25,60,60,60,26,26,60,0,0,26,26,60,15,15
25,22.6,0,0,0,25,21.4,0,0,0,25,24.8,60,21,21,25,25.2,60,60,60,25,25,60,40,40,25,24.9,60,60,60,26,26,60,0,0,26,25.7,60,56,56
25,24.5,0,0,0,25,23.8,0,0,0,25,25.1,60,20,20,25,25.2,60,60,60,25,24.8,60,59,59,25,24.8,60,60,60,26,26.1,60,0,0,26,26.2,60,13,13
25,24.3,0,0,0,25,24.5,0,0,0,25,24.9,60,9,9,25,25,60,60,60,25,24.9,60,44,44,25,24.7,60,60,60,26,25.5,60,6,6,26,25.6,60,24,24
25,23.6,0,0,0,25,24.7,0,0,0,25,25.1,60,20,20,25,25,60,60,60,25,24.8,60,60,60,25,24.7,60,60,60,26,25.8,60,0,0,26,26.3,60,2,2
25,25.3,0,0,0,25,25.7,0,0,0,25,23,0,0,0,25,22.4,0,0,0,24,25.4,60,60,60,24,25.4,60,60,60,26,25.9,60,0,0,26,26.2,60,0,0
25,26.1,0,0,0,25,26.2,0,0,0,25,25.5,0,0,0,25,22.6,0,0,0,24,25.3,60,56,56,24,25.6,60,60,60,26,26,60,0,0,26,26.2,60,0,0
25,26.5,0,0,0,25,26.6,0,0,0,25,26.6,0,0,0,25,22.9,0,0,0,26,26.3,41,24,24,26,26,41,0,0,26,26.1,60,0,0,26,26.3,60,39,39
25,26.5,0,0,0,25,26.6,0,0,0,25,26.6,0,0,0,25,22.8,0,0,0,26,26.1,60,60,60,26,26.2,60,20,20,26,25.7,60,5,5,26,25.7,60,45,45
25,21.1,0,0,0,25,21.1,0,0,0,25,20.6,0,0,0,25,18.8,0,0,0,26,25.8,0,0,0,26,25.9,0,0,0,26,25.4,0,0,0,26,25.5,0,0,0
25,26.1,0,0,0,25,25.6,0,0,0,25,25.4,0,0,0,25,25.3,0,0,0,26,26.5,0,0,0,26,25.6,0,0,0,26,27,0,0,0,26,27,0,0,0
25,26.9,0,0,0,25,26.3,0,0,0,25,26.1,0,0,0,25,26.2,0,0,0,26,26.9,0,0,0,26,25.3,0,0,0,26,27.2,0,0,0,26,27.2,0,0,0
25,27.2,0,0,0,25,26.6,0,0,0,25,26.2,0,0,0,25,26.8,0,0,0,26,27,0,0,0,26,25.4,0,0,0,26,27.2,0,0,0,26,27.2,0,0,0
25,27.4,0,0,0,25,26.8,0,0,0,25,26.5,0,0,0,25,27.1,0,0,0,26,27,0,0,0,26,25.8,0,0,0,26,27.2,0,0,0,26,27.2,0,0,0
25,27.5,0,0,0,25,27,0,0,0,25,26.7,0,0,0,25,27.2,0,0,0,26,27.2,0,0,0,26,26.2,0,0,0,26,27.2,0,0,0,26,27.3,0,0,0
25,27.5,0,0,0,25,27.1,0,0,0,25,26.9,0,0,0,25,27.2,0,0,0,26,27.2,0,0,0,26,26.4,0,0,0,26,27.2,0,0,0,26,27.3,0,0,0
25,27.6,0,0,0,25,27.1,0,0,0,25,26.9,0,0,0,25,27.3,0,0,0,26,27.2,0,0,0,26,26.7,0,0,0,26,27.2,0,0,0,26,27.4,0,0,0
25,27.7,0,0,0,25,27.2,0,0,0,25,27,0,0,0,25,27.3,0,0,0,26,27.2,0,0,0,26,27,0,0,0,26,27.2,0,0,0,26,27.4,0,0,0
25,27,0,0,0,25,27.1,0,0,0,25,26.8,0,0,0,25,24.7,0,0,0,26,25.4,0,0,0,26,24.5,0,0,0,26,27.4,0,0,0,26,25.1,0,0,0
25,25.9,36,36,36,25,25.3,36,36,36,25,25.3,36,20,20,25,25.8,36,36,36,26,25.9,36,12,12,26,26,36,17,17,26,25.8,36,10,10,26,25.9,36,10,10
25,25.1,60,60,60,25,24.8,60,13,13,25,25.1,60,25,25,25,25.3,60,60,60,26,26,60,29,29,26,26.2,60,13,13,26,26.1,60,0,0,26,26,60,60,60
25,25.1,60,60,60,25,25.1,60,16,16,25,25,60,28,28,25,25.2,60,60,60,26,26,60,20,20,26,26.2,60,6,6,26,26.2,60,0,0,26,25.9,60,60,60
25,25,60,60,60,25,25.1,60,20,20,25,25,60,16,16,25,25.2,60,60,60,26,26.2,60,19,19,26,25.8,60,28,28,26,26.2,60,0,0,26,25.8,60,60,60
25,25,60,60,60,25,25,60,23,23,25,25,60,23,23,25,25.2,60,60,60,26,26,60,36,36,26,26.2,60,0,0,26,26.1,60,0,0,26,25.8,60,60,60
25,25,60,60,60,25,25,60,17,17,25,25.1,60,24,24,25,25.2,60,60,60,26,26,60,20,20,26,26,60,21,21,26,26.2,60,0,0,26,25.7,60,60,60
25,24.9,60,60,60,25,25.1,60,10,10,25,25,60,16,16,25,25.1,60,60,60,26,26,60,19,19,26,26,60,13,13,26,26.2,60,0,0,26,25.8,60,60,60
25,24.9,60,60,60,25,24.8,60,15,15,25,24.9,60,18,18,25,25.1,60,60,60,26,25.9,60,22,22,26,26.1,60,11,11,26,26.2,60,0,0,26,25.7,60,60,60
25,24.8,60,60,60,25,25,60,11,11,25,24.9,60,26,26,25,25,60,60,60,26,25.9,60,29,29,26,26,60,8,8,26,25.7,60,7,7,26,25.6,60,32,32
25,25,60,60,60,25,25.3,60,0,0,25,25,60,23,23,25,25.2,60,60,60,26,26,60,28,28,26,26.2,60,13,13,26,26.2,60,0,0,26,26.1,60,52,52
25,23.1,0,0,0,25,26.7,0,0,0,25,25.6,0,0,0,25,23.2,0,0,0,26,26.3,60,47,47,26,26.2,60,0,0,26,26.4,60,0,0,26,26.2,60,47,47
