リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
21,27.4,0,0,23,28.3,0,0,25,27.2,0,0,25,27.7,0,0,24,27.2,0,0,25,28.7,0,0
21,27.6,0,0,23,28.3,0,0,25,27.3,0,0,25,27.8,0,0,24,27.8,0,0,25,29,0,0
21,27.7,0,0,23,28.3,0,0,25,27.3,0,0,25,27.9,0,0,24,28,0,0,25,28.9,0,0
21,28,0,0,23,28.5,0,0,25,27.4,0,0,25,28.6,0,0,24,27.6,0,0,25,29,0,0
21,28.1,0,0,23,28.5,0,0,25,27.7,0,0,25,28.5,0,0,24,28.3,0,0,25,29.1,0,0
21,28,0,0,23,28.5,0,0,25,26.8,60,60,25,29,0,0,24,28.3,0,0,25,29.4,0,0
21,27.4,0,0,23,27.2,0,0,25,25.9,60,60,25,28.1,0,0,24,25.3,60,60,25,29,0,0
21,28,0,0,23,27.3,0,0,25,25.6,60,60,25,28.1,0,0,24,24.7,60,60,25,29.4,0,0
21,27.3,0,0,23,26.9,0,0,25,25.6,60,60,25,28.1,0,0,24,24.5,60,60,25,29.1,0,0
21,27.2,0,0,23,26.9,0,0,25,25.5,60,60,25,28,0,0,24,24.4,60,60,25,28.7,0,0
21,28.5,0,0,23,27.4,0,0,25,25.5,60,60,25,27.9,0,0,24,24.4,60,60,25,29.3,0,0
21,27.9,0,0,23,27.2,0,0,25,25.5,60,60,25,28.4,0,0,24,24.3,60,60,25,29,0,0
21,27.9,0,0,23,27.2,0,0,25,25.6,0,0,25,28,0,0,24,24.2,60,60,25,28.7,0,0
21,28.1,0,0,23,27.2,0,0,25,26.6,0,0,25,28.1,0,0,24,23.9,60,60,25,28.7,0,0
21,28.1,0,0,23,27.2,0,0,25,26.2,0,0,25,27.8,0,0,24,23.7,0,0,25,28.7,0,0
21,28.2,0,0,23,27.7,0,0,25,26.2,0,0,25,28.1,0,0,24,26.5,0,0,25,28.7,0,0
21,28.4,0,0,23,27.8,0,0,25,26,0,0,25,28.1,0,0,24,27.2,0,0,25,28.7,0,0
21,28.4,0,0,23,27.9,0,0,25,26.4,0,0,25,28.2,0,0,24,26.6,0,0,25,28.7,0,0
21,28.6,0,0,23,28.1,0,0,25,26.2,0,0,25,28.2,0,0,24,26.7,0,0,25,28.8,0,0
21,28.6,0,0,23,28.1,0,0,25,26.5,0,0,25,28.2,0,0,24,26.7,0,0,25,28.8,0,0
21,28.8,0,0,23,28.1,0,0,25,26.8,0,0,25,28.4,0,0,24,26.9,0,0,25,28.9,0,0
21,28.8,0,0,23,28.2,0,0,25,26.7,0,0,25,28.2,0,0,24,26.9,0,0,25,29,0,0
21,28.9,0,0,23,28.4,0,0,25,26.8,0,0,25,28.4,0,0,24,27.2,0,0,25,29.2,0,0
21,29,0,0,23,28.5,0,0,25,27,0,0,25,28.7,0,0,24,27.4,0,0,25,29.4,0,0
21,29,0,0,23,28.6,0,0,25,26.9,0,0,25,28.8,0,0,24,27.2,0,0,25,29.5,0,0
21,29,0,0,23,28.6,0,0,25,27.1,0,0,25,28.7,0,0,24,27.6,0,0,25,29.4,0,0
21,29,0,0,23,28.6,0,0,25,27.4,0,0,25,28.6,0,0,24,27.7,0,0,25,29.5,0,0
21,29.1,0,0,23,28.8,0,0,25,27.6,0,0,25,28.7,0,0,24,27.7,0,0,25,29.5,0,0
