リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,30.4,0,0,26,30.1,0,0
26,30.8,0,0,26,30.4,0,0
26,30.5,0,0,26,30.2,0,0
26,30.3,0,0,26,30.1,0,0
26,30.1,0,0,26,29.7,0,0
26,30.1,0,0,26,29.6,0,0
26,30,0,0,26,29.5,0,0
26,30,0,0,26,29.6,0,0
26,30,0,0,26,29.8,0,0
26,30,0,0,26,30,0,0
26,30,0,0,26,30.1,0,0
26,30.1,0,0,26,30.1,0,0
26,30,0,0,26,30.2,0,0
26,30.1,0,0,26,30.1,0,0
26,30.1,0,0,26,30.2,0,0
26,30,0,0,26,30.5,0,0
26,27.5,60,33,26,28.1,60,57
26,26.1,60,27,26,27.4,60,60
26,26.4,60,22,26,27.3,60,60
26,26.5,60,25,26,27.9,60,25
26,27.7,60,24,26,28.7,60,0
26,27.8,60,25,26,28.9,60,0
26,27.3,60,23,26,28.4,60,39
26,26.1,60,23,26,27.7,60,60
26,26.3,60,20,26,27.6,60,59
26,27.7,60,27,26,28.6,60,0
26,27.6,0,0,26,28.8,0,0
26,29,0,0,26,28.8,0,0
26,29.3,0,0,26,29.4,0,0
26,28.9,0,0,26,29.1,0,0
26,28.7,0,0,26,28.1,0,0
26,28.7,0,0,26,28.2,0,0
26,28.1,0,0,26,28.4,0,0
26,28.5,0,0,26,28.6,0,0
26,28.7,0,0,26,28.8,0,0
26,28.6,0,0,26,28.5,0,0
26,28.1,0,0,26,28.5,0,0
26,28.6,0,0,26,28.5,0,0
26,28.8,0,0,26,28.7,0,0
26,29,0,0,26,28.8,0,0
26,27,60,26,26,27.7,60,57
26,25.2,60,27,26,27.7,60,60
26,27.5,60,24,26,28.6,60,1
26,27.8,60,26,26,28.9,60,0
26,27.8,60,24,26,28.9,60,0
26,27.7,60,23,26,28.5,60,8
26,26.2,60,17,26,27.2,60,60
26,25.9,60,23,26,26.9,60,60
26,27.2,60,26,26,27.4,60,20
26,27,60,21,26,27.6,60,30
26,25.7,0,0,26,21.8,0,0
26,29,0,0,26,25.3,0,0
26,28.3,0,0,26,23.4,0,0
26,27.3,0,0,26,23.7,0,0
26,28,0,0,26,25.5,0,0
26,28.4,0,0,26,26.6,0,0
26,28.7,0,0,26,27.2,0,0
26,29.1,0,0,26,27.4,0,0
26,29.1,0,0,26,26.6,0,0
26,29,0,0,26,27,0,0
26,29.1,0,0,26,27.1,0,0
26,29,0,0,26,27.3,0,0
26,28.9,0,0,26,27.8,0,0
26,28.9,0,0,26,28.1,0,0
26,26.5,60,19,26,26.8,60,57
26,28.1,0,0,26,27.6,0,0
26,26.5,60,20,26,27.1,60,56
26,30.2,0,0,26,29,0,0
26,26.9,60,24,26,27.7,60,56
26,28.1,0,0,26,28.3,0,0
26,26.8,60,21,26,27.1,60,57
26,30.1,0,0,26,28.8,0,0
26,26.8,60,20,26,27.1,60,57
26,28.1,0,0,26,27.5,0,0
26,29.6,0,0,26,28.1,0,0
26,29.5,0,0,26,27.8,0,0
26,29.1,0,0,26,27.2,0,0
26,28.9,0,0,26,26.7,0,0
26,28.7,0,0,26,26.7,0,0
26,28.5,0,0,26,26.4,0,0
26,28.6,0,0,26,26.2,0,0
26,28.4,0,0,26,26.4,0,0
26,28.4,0,0,26,26.5,0,0
26,28.3,0,0,26,26.8,0,0
26,28.2,0,0,26,27,0,0
26,28.2,0,0,26,27.1,0,0
26,28.3,0,0,26,26.9,0,0
26,28.3,0,0,26,27,0,0
26,25.6,60,16,26,26.2,60,57
26,26.9,60,18,26,26.3,60,33
26,27.6,60,22,26,27.1,60,0
26,27.6,60,20,26,27.3,60,0
26,26.5,60,21,26,27.2,60,30
26,25.6,60,13,26,26.5,60,60
26,27.3,60,17,26,27.3,60,10
26,27.4,60,20,26,27.3,60,38
26,26,60,16,26,26.5,60,60
26,27.4,60,22,26,27.3,60,8
26,26.8,0,0,26,27.4,0,0
26,29.2,0,0,26,28.4,0,0
