リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
20,28.3,10,10,20,28.1,10,10,20,27.5,10,10,20,27.7,10,10,20,26.9,10,10,20,28,10,10,20,26.8,10,10,20,27.2,10,10
20,25.3,60,60,20,26.5,60,60,20,24.6,60,60,20,26.2,60,60,20,23.8,60,60,20,26.2,60,60,20,24.4,60,60,20,23.7,60,60
20,24.3,60,60,20,25.8,60,60,20,23.6,60,60,20,25.4,60,60,20,23.1,60,60,20,25,60,60,20,23.4,60,60,20,23.7,60,60
20,24.2,60,60,20,25.6,60,60,20,23.6,60,60,20,25.3,60,60,20,23.4,60,60,20,25.1,60,60,20,23.7,60,60,20,24.3,60,60
20,24.1,60,60,20,25.2,60,60,20,23.8,60,60,20,25,60,60,20,23.6,60,60,20,24.8,60,60,20,24,60,60,20,24.1,60,60
20,23.9,60,60,20,24.9,60,60,20,23.6,60,60,20,25,60,60,20,23.4,60,60,20,24.5,60,60,20,24.1,60,60,20,24.2,60,60
20,24.3,60,60,20,24.9,60,60,20,23.7,60,60,20,24.9,60,60,20,23.7,60,60,20,24.6,60,60,20,24.3,60,60,20,24.3,60,60
20,23.8,60,60,20,24.7,60,60,20,23.5,60,60,20,24.5,60,60,20,23.5,60,60,20,24.4,60,60,20,23.9,60,60,20,24.1,60,60
20,23.5,60,60,20,24.4,60,60,20,23.1,60,60,20,24.1,60,60,20,23.2,60,60,20,24.1,60,60,20,23.4,60,60,20,24.2,60,60
20,22.9,52,52,20,24.2,52,52,20,22.5,52,52,20,24.1,52,52,20,22.4,52,52,20,23.9,52,52,20,22.8,52,52,20,23.4,52,52
20,24.5,0,0,20,25.3,0,0,20,23.7,0,0,20,24.8,0,0,20,23.1,0,0,20,25.3,0,0,20,23.5,0,0,20,24.2,0,0
20,26.2,0,0,20,26.3,0,0,20,25.2,0,0,20,26.2,0,0,20,24.5,0,0,20,26.2,0,0,20,24.7,0,0,20,25.5,0,0
20,27.2,0,0,20,26.9,0,0,20,25.8,0,0,20,26.8,0,0,20,25.3,0,0,20,26.9,0,0,20,25.4,0,0,20,26.2,0,0
20,27.4,0,0,20,27.3,0,0,20,26.2,0,0,20,27,0,0,20,25.6,0,0,20,27.2,0,0,20,25.8,0,0,20,26.2,0,0
20,27.6,0,0,20,27.4,0,0,20,26.3,0,0,20,27.1,0,0,20,25.8,0,0,20,27.2,0,0,20,25.9,0,0,20,26.4,0,0
20,27.8,0,0,20,27.5,0,0,20,26.4,0,0,20,27.2,0,0,20,26,0,0,20,27.3,0,0,20,26.2,0,0,20,26.6,0,0
20,27.9,0,0,20,27.6,0,0,20,26.6,0,0,20,27.2,0,0,20,26.2,0,0,20,27.4,0,0,20,26.2,0,0,20,26.6,0,0
20,28,0,0,20,27.7,0,0,20,26.8,0,0,20,27.4,0,0,20,26.3,0,0,20,27.5,0,0,20,26.2,0,0,20,26.8,0,0
20,28.1,0,0,20,27.8,0,0,20,26.9,0,0,20,27.4,0,0,20,26.4,0,0,20,27.6,0,0,20,26.4,0,0,20,26.9,0,0
20,28.1,0,0,20,27.9,0,0,20,27.1,0,0,20,27.5,0,0,20,26.5,0,0,20,27.7,0,0,20,26.5,0,0,20,27.1,0,0
20,28.2,0,0,20,28,0,0,20,27.2,0,0,20,27.6,0,0,20,26.6,0,0,20,27.8,0,0,20,26.6,0,0,20,27.2,0,0
20,28.4,0,0,20,28.1,0,0,20,27.2,0,0,20,27.7,0,0,20,26.8,0,0,20,27.9,0,0,20,26.8,0,0,20,27.2,0,0
20,28.5,0,0,20,28.1,0,0,20,27.4,0,0,20,27.8,0,0,20,26.9,0,0,20,28,0,0,20,26.9,0,0,20,27.3,0,0
20,28.5,0,0,20,28.1,0,0,20,27.5,0,0,20,27.9,0,0,20,27,0,0,20,28,0,0,20,27,0,0,20,27.3,0,0
20,26.4,29,29,20,26.9,29,29,20,25.7,30,30,20,26.6,29,29,20,25,30,30,20,26.7,29,29,20,25.6,30,30,20,25.4,29,29
20,26.8,0,0,20,27.5,0,0,20,25.8,0,0,20,27.1,0,0,20,25.1,0,0,20,27.3,0,0,20,25.5,0,0,20,25.9,0,0
20,27.7,0,0,20,27.9,0,0,20,26.5,0,0,20,27.5,0,0,20,26,0,0,20,27.7,0,0,20,26.2,0,0,20,26.7,0,0
20,26.5,26,26,20,27.1,26,26,20,26,25,10,20,26.8,25,25,20,25.4,26,26,20,27.1,26,26,20,25.6,26,26,20,25.6,26,26
20,24.8,1,1,20,26.2,1,1,20,25.3,2,2,20,25.8,2,2,20,24.4,1,1,20,26.3,1,1,20,24.4,1,1,20,23.8,1,1
20,27.1,0,0,20,27.8,0,0,20,26.5,0,0,20,27.4,0,0,20,25.4,0,0,20,27.7,0,0,20,25.9,0,0,20,26.2,0,0
20,27.7,0,0,20,28,0,0,20,26.9,0,0,20,27.7,0,0,20,26,0,0,20,27.9,0,0,20,26.3,0,0,20,26.8,0,0
