,éûçèï 
1571,inf
1572,inf
1574,inf
1575,inf
1576,inf
1577,inf
1579,inf
1581,43.38
1582,inf
1583,inf
1584,inf
1585,inf
1586,inf
1590,inf
1591,inf
1592,inf
1593,75.64
1594,inf
1597,inf
1598,inf
1599,inf
1601,inf
1604,inf
1606,inf
1610,inf
1611,inf
1616,inf
1617,57.6
1620,inf
1621,inf
1625,inf
1626,inf
1628,inf
1630,inf
1631,inf
1632,inf
1633,inf
1634,inf
1635,inf
1636,inf
1638,24.98
1640,13.85
1641,inf
1642,9.0
1645,17.15
1646,6.48
1647,19.85
1648,50.46
1649,2.0
1650,inf
1652,inf
1653,inf
1654,57.68
1655,inf
1657,inf
1659,inf
1660,inf
1661,inf
1662,inf
1663,4.67
1667,inf
1668,16.22
1669,27.99
1670,2.56
1671,47.87
1672,10.26
1673,28.38
1674,inf
1676,inf
1677,inf
1679,inf
1681,inf
1682,inf
1683,86.39
1685,inf
1686,inf
1687,44.51
1689,26.2
1690,inf
1691,inf
1692,inf
1693,inf
1694,inf
1695,13.98
1696,20.29
1697,28.48
1699,inf
1700,inf
1701,inf
1702,inf
1703,inf
1704,inf
1705,inf
1707,80.96
1708,inf
1711,inf
1712,31.35
1713,21.49
1714,28.69
1715,31.8
1716,20.05
1717,14.26
1718,4.41
1719,12.02
1720,27.0
1721,34.93
1723,47.56
1724,inf
1725,inf
1726,inf
1728,inf
1729,inf
1730,inf
1731,inf
1732,inf
1733,inf
1734,inf
1735,inf
1736,67.45
1737,inf
1738,inf
1741,inf
1743,inf
1745,inf
1746,inf
1747,inf
1749,inf
1750,inf
1752,inf
1753,inf
1756,inf
1758,inf
1759,inf
1760,15.11
1762,inf
1763,inf
1765,inf
1766,inf
1767,inf
1768,inf
1769,inf
1770,inf
1772,60.46
1773,inf
1776,inf
1777,inf
1778,inf
1779,inf
1780,inf
1781,inf
1783,inf
1784,inf
1785,42.16
1786,inf
1788,inf
1789,inf
1790,inf
1792,inf
1793,inf
1794,inf
1797,83.29
1799,inf
1800,inf
1801,inf
1802,inf
1803,inf
1804,inf
1805,inf
1806,50.04
1807,inf
1808,inf
1809,5.43
1811,10.96
1812,inf
1813,1.34
1814,0.86
1815,14.55
1816,7.47
1818,inf
1820,inf
1821,inf
1823,inf
1824,inf
1827,inf
1828,inf
1830,inf
1832,inf
1833,inf
1834,inf
1835,inf
1836,inf
1838,inf
1841,49.09
1842,inf
1843,inf
1844,inf
1846,inf
1848,inf
1850,81.67
1851,inf
1853,inf
1854,inf
1855,inf
1856,inf
1857,inf
1858,inf
1861,inf
1862,51.07
1864,inf
1865,inf
1866,inf
1867,inf
1868,inf
1869,inf
1870,inf
1871,inf
1874,inf
1875,92.03
1876,inf
1878,inf
1879,inf
1880,inf
1881,inf
1882,inf
1883,inf
1884,inf
1885,45.6
1886,inf
1887,7.67
1888,inf
1890,inf
1891,inf
1892,inf
1893,inf
1896,inf
1897,inf
1899,inf
1902,83.36
1904,inf
1905,inf
1907,inf
1908,inf
1910,inf
1911,inf
1912,65.25
1913,inf
1914,inf
1915,inf
1917,inf
1919,inf
1921,inf
1922,inf
1923,inf
1924,69.27
1925,inf
1927,inf
1928,inf
1931,inf
1933,inf
1934,inf
1935,inf
1937,inf
1939,inf
1940,inf
1941,inf
1942,inf
1944,inf
1946,inf
1947,inf
1948,83.9
1949,inf
1950,inf
1951,inf
1952,inf
1954,inf
1955,inf
1956,inf
1957,inf
1958,3.82
1959,3.0
1961,inf
1964,inf
1965,inf
1966,73.95
1967,inf
1968,inf
1969,inf
1970,inf
1972,inf
1973,inf
1976,inf
1977,29.91
1978,inf
1979,inf
1980,0.33
1981,25.55
1982,inf
1983,29.18
1985,50.54
1987,inf
1989,inf
1990,inf
1991,inf
1992,inf
1996,inf
1998,inf
1999,inf
2001,inf
2002,26.78
2003,inf
2004,inf
2006,29.08
2008,inf
2009,inf
2011,inf
2012,71.3
2014,inf
2017,inf
2018,inf
2019,inf
2020,inf
2023,60.18
2024,inf
2025,inf
2026,inf
2028,inf
2030,34.72
2032,6.67
2034,inf
2035,inf
2037,inf
2038,inf
2042,inf
2043,inf
2044,inf
2045,inf
2046,inf
2051,inf
2053,inf
2055,24.63
2056,inf
2057,inf
2058,inf
2059,inf
2060,inf
2061,57.28
2062,inf
2064,inf
2065,inf
2066,inf
2067,inf
2068,inf
2069,inf
2070,inf
2072,48.71
2073,inf
2075,inf
2077,inf
2078,inf
2079,inf
2080,inf
2082,inf
2083,inf
2084,82.52
2085,inf
2086,inf
2087,inf
2088,inf
2089,inf
2090,inf
2091,inf
2092,inf
2093,inf
2094,inf
2095,inf
2098,inf
2099,inf
2100,inf
2101,inf
2102,inf
2103,inf
2104,inf
2106,inf
2107,inf
2108,inf
2111,inf
2112,inf
2113,inf
2114,inf
2115,inf
2116,inf
2117,inf
2118,37.79
2119,inf
2122,6.38
2123,inf
2127,21.4
2128,10.13
2129,21.13
2130,inf
2131,59.11
2132,inf
2133,inf
2134,inf
2137,inf
2140,inf
2141,inf
2142,inf
2143,inf
2145,inf
2149,27.67
2150,9.89
2151,27.31
2152,4.35
2153,5.54
2154,inf
2156,inf
2157,inf
2158,inf
2159,63.12
2160,inf
2161,inf
2162,inf
2163,inf
2165,inf
2167,70.6
2168,78.82
2169,inf
2170,inf
2171,inf
2172,inf
2173,65.96
2175,inf
2177,inf
2178,inf
2180,inf
2182,inf
2183,inf
2186,inf
2187,inf
2190,inf
2192,inf
2193,inf
2195,inf
2196,inf
2197,21.35
2200,9.07
2201,11.35
2202,47.52
2203,inf
2205,inf
2206,inf
2207,inf
2208,inf
2209,inf
2210,inf
2211,inf
2212,inf
2214,50.7
2215,inf
2216,25.59
2218,4.95
2219,37.65
2220,inf
2221,inf
2222,inf
2223,inf
2224,inf
2225,inf
2226,inf
2227,inf
2228,inf
2229,inf
2230,64.29
2232,inf
2233,inf
2235,inf
2236,inf
2239,inf
2244,inf
2247,inf
2249,inf
2251,inf
2253,inf
2255,inf
2256,inf
2257,inf
2259,inf
2260,inf
2261,inf
2262,inf
2263,inf
2265,inf
2266,72.88
2269,inf
2271,inf
2273,inf
2274,inf
2275,inf
2276,inf
2277,inf
2279,inf
2280,inf
2282,inf
2283,inf
2284,inf
2285,inf
2289,inf
2292,inf
2294,inf
2295,inf
2296,inf
2297,inf
2298,inf
2300,inf
2301,64.17
2302,inf
2303,inf
2305,inf
2306,inf
2307,inf
2308,inf
2309,inf
2310,inf
2313,inf
2314,inf
2315,inf
2316,inf
2317,inf
2318,inf
2320,inf
2321,1.55
2322,inf
2323,inf
2324,inf
2325,inf
2326,inf
2327,inf
2328,inf
2329,inf
2330,inf
2331,inf
2332,inf
2334,inf
2335,inf
2336,inf
2337,inf
2339,inf
2341,1.72
2342,20.46
2343,9.02
2345,22.16
2346,7.83
2348,63.49
2350,inf
2351,inf
2356,inf
2358,52.59
2359,47.53
2361,34.12
2362,34.22
2365,inf
2366,30.77
2367,inf
2368,inf
2370,inf
2371,inf
2372,inf
2373,inf
2374,inf
2375,inf
2377,inf
2379,inf
2380,inf
2383,inf
2384,inf
2386,inf
2388,inf
2389,inf
2390,72.46
2391,inf
2392,inf
2393,inf
2394,55.79
2395,8.73
2397,inf
2398,inf
2399,inf
2400,inf
2401,60.95
2402,inf
2404,inf
2405,inf
2406,inf
2407,inf
2408,inf
2409,inf
2410,inf
2414,9.1
2415,inf
2416,inf
2417,inf
2418,inf
2420,inf
2422,inf
2424,inf
2426,71.62
2427,inf
2428,inf
2429,inf
2431,68.91
2432,inf
2436,inf
2437,inf
2438,inf
2439,inf
2440,inf
2441,inf
2443,inf
2444,inf
2445,inf
2446,78.5
2447,inf
2449,inf
2450,inf
2451,inf
2452,inf
2453,inf
2454,35.13
2455,3.57
2456,2.53
2457,6.36
2458,22.23
2459,6.79
2460,13.98
2462,10.47
2463,13.03
2465,75.33
2466,23.2
2467,5.29
2470,inf
2471,inf
2473,62.61
2475,inf
2476,inf
2477,inf
2478,21.93
2479,7.11
2483,13.59
2484,29.27
2485,21.01
2486,12.69
2487,19.47
2488,49.62
2491,25.15
2492,inf
2493,inf
2494,inf
2495,inf
2496,20.5
2497,inf
2498,inf
2499,inf
2500,inf
2501,inf
2503,44.35
2504,44.8
2505,34.07
2506,40.94
2507,22.43
2508,100.33
2510,3.14
2512,32.44
2513,61.06
2514,34.32
2515,17.94
2518,inf
2524,56.29
2525,inf
2526,inf
2528,22.47
2529,11.94
2530,14.27
2531,17.31
2532,1.27
2534,31.01
2535,15.16
2536,11.54
2537,inf
2538,3.02
2540,inf
2541,inf
2542,inf
2543,inf
2544,inf
2548,inf
2550,inf
2552,3.21
2554,79.13
2555,21.58
2556,6.19
2557,63.47
2558,14.82
2559,4.48
2561,26.86
2564,inf
2568,inf
2571,inf
2573,inf
2574,inf
2576,inf
2578,inf
2579,inf
2581,inf
2583,inf
2584,inf
2586,inf
2587,inf
2589,inf
2590,inf
2591,inf
2592,inf
2594,inf
2595,69.62
2596,inf
2598,14.87
2599,17.74
2600,1.13
2601,13.62
2602,7.74
2603,0.46
2604,2.74
2606,14.64
2607,5.24
2609,25.01
2610,10.03
2611,24.56
2612,58.59
2614,inf
2616,inf
2618,inf
2619,inf
2622,9.66
2623,1.19
2626,2.8
2627,11.65
2629,29.61
2631,4.71
2632,5.59
2633,1.36
2634,11.13
2635,12.51
2636,inf
2638,inf
2640,inf
2641,67.58
2642,inf
2646,10.3
2651,5.38
2652,5.17
2653,4.3
2656,39.25
2658,10.72
2659,5.09
2660,39.92
2661,inf
2663,inf
2664,inf
2665,inf
2667,inf
2668,inf
2669,inf
2671,11.78
2672,13.45
2674,0.34
2675,93.77
2677,13.2
2678,8.09
2680,1.19
2681,7.11
2682,4.31
2685,39.49
2686,inf
2687,inf
2688,inf
2690,inf
2691,inf
2692,inf
2693,inf
2694,inf
2696,1.55
2697,11.82
2700,4.5
2702,7.45
2703,7.0
2704,13.06
2705,10.02
2706,inf
2707,inf
2708,inf
2709,inf
2710,inf
2712,inf
2713,inf
2715,inf
2716,inf
2719,inf
2721,13.16
2722,4.38
2723,0.22
2724,42.77
2727,6.37
2728,48.1
2733,45.53
2734,inf
2736,inf
2737,inf
2738,inf
2739,inf
2740,inf
2742,inf
2743,inf
2744,inf
2745,17.81
2746,16.29
2748,4.25
2749,0.05
2750,13.54
2751,32.83
2752,7.64
2753,1.75
2754,18.39
2755,32.28
2757,inf
2758,inf
2759,inf
2760,inf
2761,inf
2762,inf
2764,inf
2767,18.31
2769,70.34
2770,inf
2771,38.88
2772,8.65
2775,9.7
2776,51.17
2777,9.14
2778,inf
2779,inf
2780,inf
2781,inf
2782,inf
2783,inf
2787,inf
2788,36.41
2789,inf
2790,20.72
2791,13.55
2792,6.12
2793,24.57
2794,17.51
2795,0.32
2797,1.87
2798,3.37
2800,5.02
2801,6.18
2802,inf
2803,inf
2807,30.27
2809,inf
2810,inf
2813,inf
2815,20.91
2820,4.87
2822,6.81
2823,9.0
2824,10.92
2825,16.74
2826,10.32
2827,18.63
2828,inf
2829,inf
2831,inf
2832,inf
2833,inf
2834,inf
2835,inf
2836,inf
2838,9.61
2839,3.26
2841,15.89
2844,4.98
2845,10.18
2846,2.44
2847,1.78
2848,15.8
2852,inf
2854,32.41
2855,inf
2856,inf
2857,inf
2858,inf
2859,inf
2860,inf
2863,18.31
2864,30.46
2865,10.59
2866,10.66
2868,6.34
2869,9.13
2870,23.9
2871,2.32
2873,3.24
2874,18.9
2875,5.25
2876,inf
2877,inf
2879,inf
2880,inf
2881,inf
2883,inf
2884,61.14
2887,inf
2890,5.36
2891,9.19
2892,5.68
2895,7.08
2896,8.7
2897,5.17
2898,inf
2900,inf
2901,inf
2902,inf
2904,inf
2905,inf
2906,inf
2908,inf
2909,inf
2910,inf
2913,inf
2914,1.82
2915,22.93
2916,inf
2918,inf
2919,inf
2921,inf
2922,inf
2923,inf
2924,inf
2925,inf
2926,inf
2927,inf
2928,inf
2929,55.93
2930,inf
2932,inf
2933,inf
2934,25.79
