,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2177,84.51,93.59
2178,139.27,140.9
2179,53.83,56.8
2182,inf,inf
2186,inf,inf
2187,89.76,13.43
2188,inf,inf
2189,inf,inf
2197,5.93,2.44
2198,31.45,47.34
2200,0.58,6.81
2212,inf,inf
2224,37.06,33.63
2230,inf,inf
2231,inf,inf
2232,inf,inf
2234,inf,inf
2235,inf,inf
2248,12.67,16.65
2250,34.23,34.14
2252,43.21,30.3
2253,61.58,23.45
2255,inf,inf
2258,inf,inf
2259,inf,inf
2277,inf,inf
2280,inf,inf
2281,inf,inf
2286,inf,inf
2288,25.8,166.09
2289,3.97,59.33
2290,22.32,37.19
2294,inf,inf
2295,50.77,36.71
2296,12.58,6.65
2297,18.31,16.21
2302,inf,inf
2304,inf,inf
2307,inf,inf
2308,inf,inf
2310,50.71,27.03
2311,77.53,53.39
2314,27.86,26.43
2315,17.6,2.27
2317,10.85,5.63
2325,44.77,16.57
2329,inf,inf
2336,32.74,20.32
2338,6.54,9.22
2339,7.91,2.12
2344,29.94,17.7
2346,43.18,52.16
2347,1.02,6.04
2349,73.64,54.99
2354,inf,inf
2355,78.39,13.68
2357,inf,inf
2361,43.6,44.92
2378,78.51,10.35
2381,inf,inf
2382,inf,inf
2385,38.93,43.27
2386,25.49,23.55
2388,18.11,17.65
2392,72.25,77.53
2396,inf,inf
2397,inf,inf
2403,inf,inf
2408,51.52,74.89
2412,3.73,5.94
2416,6.03,9.61
2418,4.45,7.33
2419,2.08,13.11
2426,inf,inf
2427,inf,inf
2432,inf,inf
2433,10.55,18.06
2434,31.21,10.85
2439,24.63,23.15
2443,65.17,62.83
2448,inf,inf
2452,inf,inf
2462,25.65,33.9
2466,52.32,23.64
2469,inf,inf
2470,inf,inf
2471,inf,inf
2472,81.54,1.35
2473,inf,inf
2475,inf,inf
2478,88.81,53.77
2484,1.36,8.44
2485,18.67,13.06
2491,6.49,1.89
2500,82.52,2.54
2501,inf,inf
2503,43.86,12.31
2507,18.02,17.4
2511,8.5,6.71
2514,114.94,108.72
2516,7.49,50.99
2518,80.99,7.83
2521,inf,inf
2522,inf,inf
2525,inf,inf
2526,inf,inf
2528,102.95,132.12
2531,140.06,162.33
2535,24.07,21.4
2536,42.6,44.09
2541,inf,inf
2550,inf,inf
2572,inf,inf
2574,85.59,6.11
2576,inf,inf
2577,84.41,93.11
2579,0.04,0.47
2581,3.77,1.58
2582,17.32,9.81
2584,8.43,9.87
2592,inf,inf
2595,inf,inf
2606,inf,inf
2613,86.7,32.47
2621,inf,inf
2623,inf,inf
2627,inf,inf
2634,inf,inf
2638,84.01,5.56
2643,inf,inf
2646,61.32,100.84
2651,54.94,45.67
2653,21.38,27.57
2659,1.77,14.95
2668,inf,inf
2670,63.33,50.76
2673,12.53,16.11
2676,9.82,14.74
2683,19.56,22.9
2690,inf,inf
2691,inf,inf
2693,79.69,8.22
2695,48.32,20.93
2702,6.27,6.64
2708,160.79,140.3
2710,inf,inf
2711,inf,inf
2718,80.62,14.04
2721,5.81,2.97
2723,6.63,8.44
2728,10.32,12.44
2730,76.27,63.6
2736,89.68,7.47
2741,96.42,3.56
2742,inf,inf
2744,inf,inf
2747,8.28,10.75
2753,20.48,13.86
2756,25.9,68.51
2758,inf,inf
2762,inf,inf
2763,inf,inf
2766,inf,inf
2770,inf,inf
2772,inf,inf
2776,28.45,7.69
2777,35.68,4.78
2782,inf,inf
2783,inf,inf
2785,inf,inf
2790,78.99,18.82
2795,22.68,19.14
2806,inf,inf
2808,inf,inf
2812,inf,inf
2813,inf,inf
2814,inf,inf
2819,11.47,6.18
2820,3.24,5.13
2824,36.84,27.24
2826,9.19,17.1
2828,23.22,10.35
2829,55.94,26.54
2831,inf,inf
2835,78.21,8.8
2839,35.23,19.33
2840,33.64,9.45
2842,22.52,16.47
2844,20.15,19.28
2854,inf,inf
2855,inf,inf
2856,inf,inf
2857,82.0,6.96
2863,34.01,14.19
2866,4.83,5.72
2871,5.59,9.23
2873,6.19,11.05
2886,inf,inf
2889,46.42,51.19
2890,15.98,15.87
2891,26.76,23.99
2893,2.42,2.87
2903,inf,inf
