,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
333,8.5,7.01,2.24,1.05
334,18.07,20.56,4.13,12.96
335,19.09,23.1,0.43,0.5
336,10.54,31.68,25.84,16.09
337,135.52,149.27,69.2,44.63
338,37.22,49.65,8.33,13.38
339,4.8,10.75,19.76,2.4
340,5.66,30.88,9.59,6.96
341,14.25,47.72,11.77,30.71
342,2.08,20.71,27.62,24.11
345,7.47,22.05,12.7,11.87
346,6.4,15.65,2.86,0.06
347,0.39,2.48,2.82,2.73
348,3.43,4.15,3.65,3.0
350,0.86,1.85,5.06,6.16
351,1.3,1.68,1.64,1.68
352,3.14,6.35,1.65,1.39
354,5.01,10.38,2.44,2.1
355,7.91,17.38,0.11,2.68
356,10.23,4.21,7.19,11.77
357,1.47,1.0,18.83,10.79
358,31.55,9.06,14.9,14.68
359,14.88,14.43,16.0,14.56
360,13.44,39.19,2.12,1.08
361,123.39,141.7,19.39,18.34
362,16.7,16.58,12.63,11.74
363,33.7,27.69,18.85,16.01
364,35.37,28.86,10.19,10.05
367,11.51,0.16,13.83,3.45
368,2.3,0.11,2.27,0.91
369,38.93,38.73,18.68,12.48
373,0.87,2.18,0.73,0.57
375,1.75,2.15,9.73,6.18
376,0.41,1.71,0.31,1.42
377,17.57,17.56,3.14,1.9
378,1.84,21.6,4.4,1.99
380,22.01,7.95,7.95,10.76
381,19.13,7.55,23.49,12.87
383,50.86,30.6,21.25,11.72
384,4.5,37.57,31.05,12.9
390,0.68,24.47,5.88,2.23
391,13.19,19.67,6.01,12.36
392,5.02,8.54,24.86,30.75
394,5.39,11.41,5.8,4.03
395,6.04,0.56,0.13,0.2
396,6.22,4.14,2.01,1.02
397,11.93,14.29,6.17,1.22
398,16.15,20.91,1.21,5.54
399,4.15,11.03,0.37,3.66
400,6.77,12.74,1.43,0.95
401,34.22,34.22,6.66,5.19
402,20.71,14.1,1.33,1.48
404,17.52,8.54,15.1,8.33
405,29.25,19.48,14.66,8.07
406,14.84,0.99,2.77,1.29
407,19.27,12.67,4.84,9.45
408,22.25,27.91,16.2,5.24
411,22.03,19.85,2.56,11.67
414,13.24,23.88,8.64,8.1
416,20.25,14.24,20.96,13.71
418,12.88,21.12,21.46,17.78
419,11.72,20.94,4.52,3.94
421,14.48,27.33,4.24,0.36
423,5.22,2.93,0.92,6.31
424,3.34,3.92,3.31,5.57
425,2.39,4.81,5.29,2.77
429,1.04,2.54,15.45,13.49
430,14.39,7.71,7.82,1.68
