óÒ1,ójì˙,äOãCâ∑ìx,ó‚î}â∑ìx,â^ì]éûä‘,ìdóÕè¡îÔó ,êœéZó‚ñ[î\óÕ,é∫ì‡ã@â“ì≠ë‰êî,é∫ì‡ã@â“ì≠ó¶
2022-07-12 15:00:00,1,29,7.2,60,6.5,23.5,5,0.8333333333333334
2022-07-12 16:00:00,1,26,7.3,60,6.0,23.2,5,0.8333333333333334
2022-07-13 06:00:00,2,22,0.6,23,0.5,1.1,1,0.1666666666666666
2022-07-13 07:00:00,2,23,5.7,34,1.1,3.8,4,0.6666666666666666
2022-07-13 08:00:00,2,23,8.3,60,4.0,19.7,6,1.0
2022-07-13 09:00:00,2,24,7.3,60,5.7,23.7,6,1.0
2022-07-13 10:00:00,2,24,7.2,60,2.1,7.2,2,0.3333333333333333
2022-07-13 11:00:00,2,24,7.0,60,6.0,23.6,6,1.0
2022-07-13 12:00:00,2,24,8.9,60,1.4,5.8,2,0.3333333333333333
2022-07-13 13:00:00,2,24,7.7,60,5.1,21.0,6,1.0
2022-07-13 14:00:00,2,24,9.1,60,1.3,5.5,2,0.3333333333333333
2022-07-13 15:00:00,2,25,9.3,60,3.4,15.3,5,0.8333333333333334
2022-07-13 16:00:00,2,27,5.8,41,1.4,4.4,1,0.1666666666666666
2022-07-14 06:00:00,3,23,1.5,20,0.4,1.2,1,0.1666666666666666
2022-07-14 07:00:00,3,24,7.5,39,1.1,4.2,4,0.6666666666666666
2022-07-14 08:00:00,3,25,7.1,60,5.4,20.9,6,1.0
2022-07-14 09:00:00,3,26,7.5,60,6.1,24.5,6,1.0
2022-07-14 10:00:00,3,26,7.7,60,6.1,24.4,6,1.0
2022-07-14 11:00:00,3,27,7.6,60,6.3,24.8,6,1.0
2022-07-14 12:00:00,3,24,7.7,60,6.3,25.1,6,1.0
2022-07-14 13:00:00,3,25,8.0,60,6.2,25.6,6,1.0
2022-07-14 14:00:00,3,24,7.8,60,6.1,26.1,6,1.0
2022-07-14 15:00:00,3,24,7.6,60,6.1,25.5,5,0.8333333333333334
2022-07-14 16:00:00,3,24,7.5,60,6.0,24.8,5,0.8333333333333334
2022-07-15 07:00:00,4,25,4.2,34,1.2,3.2,2,0.3333333333333333
2022-07-15 08:00:00,4,25,8.5,60,3.6,17.9,4,0.6666666666666666
2022-07-15 09:00:00,4,22,7.1,60,5.2,21.6,6,1.0
2022-07-15 10:00:00,4,22,6.4,60,1.3,4.6,2,0.3333333333333333
2022-07-15 11:00:00,4,23,7.6,60,4.1,15.0,6,1.0
2022-07-15 12:00:00,4,24,7.0,60,1.3,4.4,1,0.1666666666666666
2022-07-15 13:00:00,4,25,9.3,60,2.7,11.9,5,0.8333333333333334
2022-07-15 14:00:00,4,26,6.8,60,1.6,5.1,1,0.1666666666666666
2022-07-15 15:00:00,4,24,9.6,60,1.9,9.2,5,0.8333333333333334
2022-07-15 16:00:00,4,24,6.9,60,1.3,4.2,1,0.1666666666666666
2022-07-16 08:00:00,5,22,7.8,57,2.3,10.2,1,0.1666666666666666
2022-07-16 10:00:00,5,23,8.6,23,0.7,3.1,2,0.3333333333333333
2022-07-17 08:00:00,6,24,9.2,32,0.9,4.4,1,0.1666666666666666
2022-07-17 09:00:00,6,28,7.0,39,1.5,6.4,1,0.1666666666666666
2022-07-17 10:00:00,6,30,8.1,35,1.2,5.3,1,0.1666666666666666
2022-07-17 11:00:00,6,29,6.4,27,1.2,4.5,1,0.1666666666666666
2022-07-17 12:00:00,6,30,5.0,42,2.3,7.4,1,0.1666666666666666
2022-07-17 13:00:00,6,31,6.7,60,3.1,11.3,1,0.1666666666666666
2022-07-17 14:00:00,6,31,3.9,35,1.5,5.1,1,0.1666666666666666
2022-07-17 15:00:00,6,31,5.7,46,2.5,7.7,1,0.1666666666666666
2022-07-17 16:00:00,6,30,5.3,35,1.5,5.1,1,0.1666666666666666
2022-07-18 08:00:00,0,28,8.4,59,2.2,9.9,1,0.1666666666666666
2022-07-18 09:00:00,0,29,6.5,47,2.0,7.3,2,0.3333333333333333
2022-07-18 11:00:00,0,34,7.6,59,4.2,15.9,4,0.6666666666666666
2022-07-18 13:00:00,0,34,5.6,59,3.6,10.2,4,0.6666666666666666
2022-07-18 15:00:00,0,34,8.1,59,3.0,9.7,4,0.6666666666666666
2022-07-19 06:00:00,1,28,5.5,24,0.5,1.5,1,0.1666666666666666
2022-07-19 07:00:00,1,28,4.9,51,1.5,4.9,2,0.3333333333333333
2022-07-19 08:00:00,1,29,5.9,60,5.7,19.4,4,0.6666666666666666
2022-07-19 09:00:00,1,30,5.5,60,8.9,27.2,6,1.0
2022-07-19 10:00:00,1,32,7.5,60,6.4,21.3,6,1.0
2022-07-19 11:00:00,1,31,6.8,60,6.8,23.0,6,1.0
2022-07-19 12:00:00,1,31,6.7,60,6.9,23.4,5,0.8333333333333334
2022-07-19 13:00:00,1,31,4.4,60,9.9,29.5,5,0.8333333333333334
2022-07-19 14:00:00,1,30,5.5,60,9.2,30.9,5,0.8333333333333334
2022-07-19 15:00:00,1,29,6.2,60,8.7,29.9,5,0.8333333333333334
2022-07-19 16:00:00,1,28,6.6,60,6.9,24.7,5,0.8333333333333334
2022-07-20 06:00:00,2,26,2.5,19,0.4,1.2,1,0.1666666666666666
2022-07-20 07:00:00,2,30,4.8,37,1.5,4.4,2,0.3333333333333333
2022-07-20 08:00:00,2,32,6.8,60,5.8,20.5,4,0.6666666666666666
2022-07-20 09:00:00,2,33,6.7,60,7.3,23.1,6,1.0
2022-07-20 10:00:00,2,35,8.1,60,2.3,5.4,2,0.3333333333333333
2022-07-20 11:00:00,2,35,7.9,60,6.2,19.2,6,1.0
2022-07-20 12:00:00,2,34,8.2,60,2.3,6.4,2,0.3333333333333333
2022-07-20 13:00:00,2,34,6.0,60,8.8,24.7,6,1.0
2022-07-20 14:00:00,2,34,8.0,60,2.5,6.3,2,0.3333333333333333
2022-07-20 15:00:00,2,33,7.1,60,6.5,20.1,5,0.8333333333333334
2022-07-20 16:00:00,2,33,8.3,60,2.2,5.5,1,0.1666666666666666
2022-07-21 06:00:00,3,26,5.9,30,0.6,2.0,1,0.1666666666666666
2022-07-21 07:00:00,3,27,5.6,60,1.6,5.8,2,0.3333333333333333
2022-07-21 08:00:00,3,28,7.2,60,4.9,18.3,4,0.6666666666666666
2022-07-21 09:00:00,3,32,7.5,60,6.6,23.0,6,1.0
2022-07-21 10:00:00,3,32,7.4,60,6.5,21.6,6,1.0
2022-07-21 11:00:00,3,32,7.6,60,6.5,21.4,6,1.0
2022-07-21 12:00:00,3,32,7.5,60,6.6,21.3,6,1.0
2022-07-21 13:00:00,3,35,6.4,60,8.4,24.6,5,0.8333333333333334
2022-07-21 14:00:00,3,34,7.6,60,6.5,20.5,5,0.8333333333333334
2022-07-21 15:00:00,3,32,7.7,60,6.3,21.2,5,0.8333333333333334
