,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
3323,14.66,15.14,13.52,10.26
3326,20.44,36.61,1.93,11.87
3330,39.5,24.16,13.14,8.28
3337,inf,inf,inf,inf
3342,inf,inf,inf,inf
3349,29.96,33.69,10.7,29.97
3356,inf,inf,inf,inf
3359,inf,inf,inf,inf
3360,81.1,86.35,7.04,6.35
3367,inf,inf,inf,inf
3369,inf,inf,inf,inf
3370,8.38,19.0,33.43,31.13
3371,21.03,42.0,35.55,43.47
3373,19.54,17.72,11.76,10.82
3377,39.82,32.39,40.88,36.62
3381,44.11,44.37,4.77,8.43
3387,inf,inf,inf,inf
3389,inf,inf,inf,inf
3390,inf,inf,inf,inf
3391,inf,inf,inf,inf
3392,39.59,32.08,28.41,26.5
3400,4.79,8.18,16.84,10.71
3411,inf,inf,inf,inf
3413,inf,inf,inf,inf
3419,24.51,15.55,6.14,17.29
3426,44.72,44.31,24.83,18.64
3427,33.48,29.74,28.69,18.71
3429,inf,inf,inf,inf
3438,inf,inf,inf,inf
3443,inf,inf,inf,inf
3444,45.04,22.63,48.92,63.73
3448,50.22,46.12,18.71,25.82
3452,inf,inf,inf,inf
3455,inf,inf,inf,inf
3456,inf,inf,inf,inf
3459,inf,inf,inf,inf
3461,84.37,87.7,7.46,24.58
3462,inf,inf,inf,inf
3467,19.77,33.36,89.61,85.78
3469,17.96,31.11,84.11,81.16
3474,44.78,59.49,43.16,43.04
3478,inf,inf,inf,inf
3481,inf,inf,inf,inf
3487,25.08,16.84,78.17,109.42
3492,18.07,27.8,18.82,25.69
3493,157.07,130.56,126.32,121.53
3496,14.99,14.1,28.73,0.58
3497,20.02,25.89,33.34,0.75
3503,inf,inf,inf,inf
3508,88.09,92.46,5.24,28.17
3512,46.58,5.26,30.13,12.93
3516,47.52,98.92,16.33,71.0
3520,11.15,6.84,27.59,11.07
3521,11.64,9.24,20.08,13.26
3530,inf,inf,inf,inf
3533,inf,inf,inf,inf
3538,33.83,38.85,27.75,30.31
3541,79.91,68.21,59.72,51.83
3545,38.74,39.59,28.64,28.41
3550,87.47,62.85,4.6,7.64
3552,inf,inf,inf,inf
3554,inf,inf,inf,inf
3556,inf,inf,inf,inf
3558,68.4,63.15,18.92,31.26
3559,161.16,173.37,181.24,183.39
3560,18.77,21.97,10.74,13.8
3563,21.62,23.9,13.75,15.02
3568,0.77,2.2,9.88,0.05
3576,inf,inf,inf,inf
3580,inf,inf,inf,inf
3582,88.56,86.0,32.42,37.56
3583,31.34,26.43,35.06,25.6
3585,59.9,54.59,43.93,55.02
3586,1.11,5.31,13.27,1.05
3590,22.05,23.95,23.71,31.44
3592,1.52,1.45,0.53,4.44
3596,17.94,33.26,84.14,76.83
3598,inf,inf,inf,inf
3618,inf,inf,inf,inf
3620,inf,inf,inf,inf
3626,inf,inf,inf,inf
3627,inf,inf,inf,inf
3641,21.93,2.31,60.48,61.24
3643,inf,inf,inf,inf
3647,inf,inf,inf,inf
3649,inf,inf,inf,inf
3650,inf,inf,inf,inf
3657,84.01,107.46,109.03,121.74
3659,1.89,2.97,11.27,12.47
3663,1.34,9.33,3.82,1.88
3668,24.33,2.35,47.68,41.96
3669,7.27,5.17,55.04,53.98
3670,inf,inf,inf,inf
3671,inf,inf,inf,inf
3673,inf,inf,inf,inf
3678,inf,inf,inf,inf
3680,39.61,41.75,35.28,39.09
3683,17.85,32.2,26.73,47.01
3687,38.63,41.79,24.83,6.68
3690,56.76,52.49,61.28,59.18
3692,50.75,39.14,15.0,4.66
3695,inf,inf,inf,inf
3697,inf,inf,inf,inf
3699,inf,inf,inf,inf
3702,inf,inf,inf,inf
3705,51.29,37.01,67.37,62.53
3708,14.47,8.19,10.11,18.8
3716,3.06,19.02,105.48,102.89
3722,86.8,91.04,14.31,4.89
3723,inf,inf,inf,inf
3727,24.14,26.44,21.88,18.62
3730,38.23,48.51,20.68,19.2
3733,27.72,19.57,27.29,19.8
3742,74.82,69.51,21.1,1.0
3756,25.77,30.38,22.81,10.46
3760,149.83,85.2,156.83,158.62
3762,inf,inf,inf,inf
3765,inf,inf,inf,inf
3766,inf,inf,inf,inf
3769,inf,inf,inf,inf
3770,inf,inf,inf,inf
3774,inf,inf,inf,inf
3776,inf,inf,inf,inf
3777,inf,inf,inf,inf
3780,inf,inf,inf,inf
3790,84.15,90.7,7.64,8.94
3796,inf,inf,inf,inf
3798,75.49,81.47,9.14,2.82
3800,inf,inf,inf,inf
3801,inf,inf,inf,inf
3803,inf,inf,inf,inf
3810,inf,inf,inf,inf
3811,inf,inf,inf,inf
3817,inf,inf,inf,inf
3822,inf,inf,inf,inf
3823,14.63,6.06,88.58,87.74
3824,45.98,43.17,0.66,8.2
3825,inf,inf,inf,inf
3828,19.85,16.93,26.05,26.63
3834,45.84,36.08,28.77,32.27
3837,inf,inf,inf,inf
3843,inf,inf,inf,inf
3849,42.7,104.96,76.58,177.71
3850,13.07,13.09,4.49,1.73
3852,12.83,18.88,14.38,19.19
3853,127.53,132.54,124.16,117.36
3856,22.45,26.72,27.79,28.85
3858,0.32,1.23,8.7,1.03
3862,inf,inf,inf,inf
3863,inf,inf,inf,inf
3866,inf,inf,inf,inf
3874,128.5,123.88,153.9,147.12
3876,115.23,142.86,117.1,122.25
3883,2.39,16.55,8.22,6.29
3884,inf,inf,inf,inf
3885,3.99,0.12,66.64,65.64
3886,inf,inf,inf,inf
3889,inf,inf,inf,inf
3891,inf,inf,inf,inf
3892,inf,inf,inf,inf
3893,81.88,79.59,0.26,12.1
3899,30.42,25.6,25.12,32.04
3905,86.93,106.29,134.98,120.74
3906,63.77,79.09,123.91,111.94
3909,inf,inf,inf,inf
3910,inf,inf,inf,inf
3914,inf,inf,inf,inf
3918,inf,inf,inf,inf
3921,67.46,68.28,78.41,85.51
3922,2.68,6.51,6.3,1.12
3926,22.85,23.83,33.49,31.2
3928,62.06,38.97,65.23,46.49
3929,108.52,97.04,117.73,113.41
3931,66.55,62.15,98.97,105.95
3933,inf,inf,inf,inf
3947,inf,inf,inf,inf
3949,inf,inf,inf,inf
3952,inf,inf,inf,inf
3966,inf,inf,inf,inf
3967,inf,inf,inf,inf
3968,inf,inf,inf,inf
3970,inf,inf,inf,inf
3972,inf,inf,inf,inf
3976,76.59,74.0,26.13,30.66
3979,inf,inf,inf,inf
3992,inf,inf,inf,inf
3996,16.65,2.42,55.54,42.68
3998,54.22,55.71,44.92,44.8
4001,48.04,49.96,35.16,37.87
4003,83.09,74.98,22.56,26.91
4007,inf,inf,inf,inf
4010,inf,inf,inf,inf
4011,inf,inf,inf,inf
4014,73.93,87.97,30.41,17.12
4017,45.99,46.46,41.87,38.12
4018,88.9,96.73,93.87,95.47
4021,6.82,1.15,5.23,9.88
4022,9.12,11.29,10.84,6.47
4039,82.04,82.46,85.3,104.26
4040,76.55,101.74,84.0,93.08
4041,inf,inf,inf,inf
4042,34.39,27.82,19.87,28.77
4045,27.82,32.47,33.13,38.94
4050,46.6,45.13,41.68,45.73
4054,79.35,71.36,0.63,8.94
4060,inf,inf,inf,inf
4062,78.4,77.76,59.99,33.76
4063,14.21,35.78,17.83,31.13
4064,18.08,10.88,21.25,19.21
4066,26.51,20.64,32.12,31.45
4071,68.34,54.21,52.56,58.65
4072,52.53,41.72,36.17,32.75
4074,28.8,21.82,40.07,37.31
4076,118.06,125.67,175.89,138.92
4077,inf,inf,inf,inf
4080,inf,inf,inf,inf
4081,inf,inf,inf,inf
4086,76.83,86.51,27.79,29.82
4093,11.13,1.75,12.91,15.02
4098,2.1,1.43,14.4,0.01
4099,38.53,33.41,30.53,29.61
4103,inf,inf,inf,inf
4104,inf,inf,inf,inf
4107,inf,inf,inf,inf
4112,81.51,71.49,2.55,0.26
4114,60.71,36.96,59.31,82.04
4115,11.97,40.74,72.83,90.07
4116,28.42,16.82,52.76,66.73
4121,44.78,49.61,91.51,45.45
4123,65.45,57.62,38.33,32.14
4124,inf,inf,inf,inf
4129,inf,inf,inf,inf
4133,inf,inf,inf,inf
4137,inf,inf,inf,inf
4140,inf,inf,inf,inf
4148,82.75,80.48,45.72,27.22
4160,42.75,34.65,34.47,29.96
4162,96.84,93.07,97.9,90.94
4163,25.79,24.42,30.18,27.83
4168,4.62,4.1,4.59,17.4
4172,inf,inf,inf,inf
4173,inf,inf,inf,inf
4175,inf,inf,inf,inf
4176,87.24,88.08,0.35,10.18
4177,inf,inf,inf,inf
4185,inf,inf,inf,inf
4188,38.53,18.27,23.93,9.02
4189,7.41,17.3,19.53,33.21
4190,51.24,28.12,46.29,24.34
