,éûçèï 
3587,32.12
3590,35.05
3594,inf
3598,inf
3599,inf
3601,inf
3603,inf
3606,inf
3612,1.29
3614,1.57
3618,inf
3619,inf
3620,inf
3621,inf
3625,88.93
3627,inf
3632,13.27
3635,13.0
3640,138.42
3644,inf
3650,99.57
3661,13.06
3663,18.95
3664,99.39
3666,inf
3669,inf
3674,inf
3675,inf
3678,15.73
3681,38.26
3687,60.51
3697,inf
3704,23.21
3707,16.19
3716,inf
3725,inf
3726,inf
3727,36.72
3731,22.85
3750,inf
3754,inf
3758,inf
3762,inf
3769,inf
3773,inf
3778,inf
3781,inf
3786,68.82
3791,inf
3792,inf
3793,inf
3794,84.73
3796,inf
3807,3.18
3810,inf
3812,88.11
3813,inf
3816,inf
3821,inf
3823,inf
3827,inf
3828,17.1
3833,inf
3835,inf
3838,inf
3841,inf
3847,inf
3849,61.88
3852,18.97
3855,inf
3864,inf
3868,inf
3870,inf
3871,36.26
3872,inf
3873,16.85
3878,inf
3879,13.49
3881,inf
3883,68.49
3886,inf
3887,inf
3892,inf
3893,inf
3899,inf
3903,20.46
3904,10.67
3905,inf
3906,inf
3907,inf
3908,76.91
3911,inf
3916,inf
3918,inf
3922,72.53
3925,inf
3926,inf
3927,inf
3928,inf
3933,inf
3934,inf
3937,86.58
3940,inf
3942,inf
3944,inf
3948,inf
3950,inf
3951,inf
3957,inf
3959,inf
3960,87.7
3966,63.04
3972,40.17
3975,17.88
3978,90.41
3982,inf
3985,88.88
3986,inf
3988,inf
3989,inf
3990,inf
3993,3.21
4001,inf
4003,inf
4005,inf
4007,inf
4008,inf
4011,inf
4016,7.97
4018,23.33
4020,14.88
4024,12.0
4025,inf
4028,inf
4029,inf
4032,87.8
4046,2.42
4047,15.6
4051,inf
4061,inf
4063,32.09
4064,5.35
4065,9.83
4067,5.19
4070,19.11
4071,14.05
4072,inf
4075,inf
4078,inf
4083,inf
4086,inf
4087,inf
4089,inf
4093,inf
4099,inf
4110,92.72
4111,inf
4122,inf
4124,inf
4125,84.03
4126,inf
4128,inf
4131,inf
4132,inf
4137,inf
4139,inf
4140,101.0
4148,84.06
4149,inf
4150,inf
4153,inf
4161,10.57
4166,2.74
4168,21.76
4171,inf
4172,90.56
4176,inf
4179,84.09
4182,inf
4185,26.67
4192,inf
4199,inf
4201,inf
4207,inf
4208,88.2
4209,inf
4210,inf
4212,inf
4217,inf
4219,inf
4221,inf
4224,inf
4230,46.78
4240,17.11
4247,inf
4250,inf
4255,inf
4259,inf
4264,inf
4265,inf
4271,inf
4275,inf
4278,inf
4279,inf
4280,inf
4284,inf
4285,inf
4287,inf
4288,77.33
4289,inf
4291,inf
4302,inf
4303,56.29
4308,56.58
4312,33.96
4313,89.06
4319,92.61
4322,inf
4323,inf
4324,inf
4339,62.92
4340,inf
4341,74.44
4342,71.36
4345,inf
4350,inf
4358,16.62
4364,inf
4366,inf
4369,88.39
4370,inf
4375,inf
4376,4.94
4377,20.02
4383,5.62
4386,inf
4387,inf
4390,64.39
4396,inf
4398,inf
4403,30.03
4405,28.43
4406,inf
4408,inf
4410,inf
4411,inf
4413,inf
4414,inf
4417,inf
4419,inf
4426,inf
4427,inf
4430,inf
4431,75.46
4433,inf
4436,inf
4442,inf
4445,inf
4446,86.84
4448,inf
4456,inf
4458,inf
4462,inf
4472,32.99
4474,30.63
4476,49.13
4479,23.04
4485,inf
4490,inf
4494,82.06
4496,0.03
4499,7.17
4502,inf
4506,inf
4507,inf
4511,inf
4512,inf
4513,93.14
4522,30.79
4530,inf
4531,inf
4535,inf
4537,inf
4541,inf
4543,inf
4544,56.84
4551,inf
4552,6.6
4553,inf
4556,83.93
4557,inf
4562,inf
4566,inf
4568,2.72
4569,11.64
4572,54.9
4574,28.92
4584,inf
4587,inf
4588,inf
4590,85.31
4592,inf
4596,26.19
4600,inf
4603,inf
4604,inf
4607,inf
4608,inf
4610,inf
4617,inf
4620,97.19
4628,inf
4632,inf
4633,inf
4638,inf
4640,4.43
4650,inf
4651,inf
4659,inf
4666,1.5
4670,38.92
4672,inf
4678,inf
4681,86.5
4683,inf
4684,inf
4685,inf
4686,inf
4687,58.65
4689,inf
4692,25.72
4693,inf
4698,inf
4699,inf
4701,inf
4702,inf
4705,inf
4714,30.46
4717,inf
4720,37.43
4725,inf
4727,inf
4729,inf
4733,inf
4737,1.15
4738,inf
4743,inf
4747,inf
4749,inf
4750,77.81
4751,inf
4755,77.31
4758,inf
4760,inf
4764,inf
4766,80.23
4773,74.76
4776,inf
4782,inf
4785,inf
4788,inf
4793,inf
4796,inf
4802,inf
4806,57.36
4807,inf
4808,inf
4809,inf
4810,inf
4811,inf
4812,83.6
4815,58.65
4819,80.88
4822,inf
4824,inf
4826,inf
4831,inf
4832,inf
4835,inf
4836,inf
4839,inf
4840,inf
4844,inf
4848,inf
4851,inf
4852,inf
4856,77.8
4859,68.44
4862,83.7
4863,inf
4865,inf
4867,inf
4868,inf
4872,88.71
4874,inf
4878,inf
4881,inf
4890,inf
4897,inf
4901,inf
4903,inf
4908,inf
4910,inf
4911,inf
4914,inf
4923,inf
4925,inf
4926,inf
4935,inf
4939,inf
4940,inf
4950,inf
4952,inf
4959,inf
4964,inf
4967,inf
4968,inf
4969,87.13
4971,inf
4980,inf
4982,inf
4983,75.34
4985,inf
4988,inf
4990,inf
4992,inf
4999,inf
5000,inf
5006,74.27
5008,inf
5013,80.21
5016,inf
5018,inf
5019,inf
5020,inf
5022,inf
5025,inf
5029,inf
5031,inf
5032,inf
5035,inf
5038,inf
5040,inf
5041,inf
5046,inf
5048,inf
5052,54.97
5053,inf
5057,inf
5059,inf
5063,95.84
5065,inf
5069,inf
5071,inf
5076,inf
5077,inf
5079,inf
5085,inf
5086,inf
5087,79.18
5088,inf
5090,inf
5093,inf
5096,inf
5099,inf
5102,91.02
5106,inf
5107,inf
5109,inf
5115,inf
5116,inf
5117,inf
5118,80.75
5120,inf
5123,inf
5126,inf
5132,inf
5140,98.27
5146,inf
5149,inf
5150,inf
5158,inf
5160,inf
5165,98.46
5167,inf
5169,inf
5172,inf
5179,inf
5184,inf
5185,inf
5191,inf
5194,inf
5196,inf
5197,inf
5198,inf
5200,inf
5202,99.41
5203,inf
5209,inf
5211,inf
5212,inf
5213,inf
5214,inf
5218,inf
5219,inf
5223,inf
5224,inf
5229,inf
5231,inf
5235,inf
5243,inf
5245,64.8
5246,inf
5247,inf
5248,inf
5249,inf
5258,96.78
5260,inf
5263,inf
5266,82.5
5268,inf
5271,77.84
5280,inf
5287,inf
5289,inf
5291,inf
5293,inf
5295,inf
5296,inf
5301,82.1
5303,inf
5305,inf
5308,86.94
5312,inf
5314,inf
5316,inf
5319,inf
5320,inf
5323,inf
5324,inf
5332,90.7
5333,inf
5334,inf
5340,inf
5343,inf
5344,inf
5346,91.22
5350,inf
5356,inf
5358,inf
5359,inf
5362,inf
5363,inf
5376,inf
5378,inf
5382,39.89
5385,44.4
5386,inf
5390,inf
5392,inf
5393,inf
5394,inf
5397,inf
5404,inf
5405,inf
5406,6.12
5417,inf
5423,82.52
5428,inf
5433,inf
5437,86.89
5441,inf
5443,inf
5445,inf
5447,inf
5451,88.88
5459,inf
5464,inf
5466,92.4
5474,inf
5476,inf
5478,28.03
5481,inf
5483,inf
5488,inf
5490,inf
5492,inf
5499,inf
5502,inf
5504,inf
5506,inf
5507,inf
5508,71.7
5509,inf
5510,inf
5518,inf
5519,inf
5522,inf
5523,inf
5524,inf
5527,67.1
5528,inf
5530,inf
5531,inf
5534,inf
5535,inf
5548,inf
5550,56.25
5552,85.87
5554,63.83
5557,inf
5560,inf
5561,inf
5562,inf
5564,inf
5568,inf
5571,inf
5573,inf
5574,inf
5575,inf
5576,inf
5577,32.94
5587,inf
5593,inf
5595,inf
5603,inf
5604,inf
5606,inf
5609,inf
5610,inf
5615,inf
5617,inf
5621,84.79
5622,inf
5625,inf
5630,inf
5635,78.06
5641,inf
5648,inf
5649,inf
5656,inf
5658,94.05
5671,inf
5674,inf
5680,inf
5681,inf
5686,101.0
5692,inf
5697,inf
5698,40.74
5704,0.06
5706,inf
5707,inf
5710,inf
5711,inf
5714,inf
5720,4.88
5725,91.33
5726,42.97
5731,inf
5732,inf
5733,inf
5738,inf
5739,inf
5740,inf
5742,60.11
5743,inf
5744,inf
5746,inf
5747,63.24
5751,inf
5752,inf
5755,inf
5763,inf
5764,93.83
5767,inf
5773,inf
5776,inf
5777,inf
5778,inf
5780,inf
5784,inf
5786,99.52
5792,inf
5794,inf
5806,inf
5808,inf
5810,inf
5820,17.27
5829,inf
5831,inf
5844,55.02
5853,inf
5857,inf
5858,83.75
5860,inf
5862,58.64
5863,54.4
5870,inf
5876,inf
5880,inf
5883,inf
5886,44.99
5890,50.32
5891,inf
5894,inf
5896,inf
5899,inf
5900,inf
5902,inf
5905,inf
5908,inf
5909,inf
5914,67.41
5917,inf
5918,inf
5921,inf
5926,84.28
5937,30.44
5943,inf
5952,inf
5957,inf
5958,67.18
5960,inf
5963,inf
5974,23.44
5975,48.28
5976,28.3
5981,44.89
5995,inf
6001,inf
6003,inf
6005,inf
6006,16.25
6007,59.06
6008,24.25
6009,14.7
6012,32.79
6014,inf
6015,49.47
6017,inf
6020,inf
6025,inf
6029,inf
6036,2.62
6040,14.67
6041,inf
6042,inf
6043,inf
6045,inf
6047,76.36
6048,inf
6049,inf
6050,inf
6052,inf
6057,0.65
6059,14.29
6067,inf
6069,inf
6075,inf
6077,inf
6079,9.73
6080,18.45
6082,144.23
6085,0.22
6089,68.69
6093,inf
6095,inf
6098,inf
6102,inf
6106,inf
6108,inf
6116,inf
6126,inf
6127,inf
6129,inf
6134,inf
6138,inf
6144,inf
6145,inf
6148,inf
6154,17.55
6156,24.66
6157,7.98
6160,43.5
6163,inf
6167,inf
6169,inf
6172,inf
6173,83.97
6175,40.71
6178,6.31
6179,7.8
6180,3.37
6183,33.98
6186,inf
6188,inf
6190,inf
6194,inf
6195,inf
6201,6.73
6205,16.65
6206,22.31
6211,inf
6212,inf
6214,inf
6215,inf
6218,inf
6219,inf
6222,19.05
6224,3.94
6225,29.97
6233,inf
6234,inf
6235,inf
6237,inf
6242,inf
6244,inf
6247,79.04
6252,48.84
6253,20.1
6254,26.44
6255,65.2
6266,inf
6269,inf
6278,inf
6282,82.12
6285,inf
6288,inf
6295,inf
6301,inf
6302,inf
6305,inf
6307,inf
6312,inf
6315,inf
6317,inf
6318,24.32
6319,18.35
6321,2.32
6323,25.37
6332,59.99
6335,inf
6336,inf
6337,inf
6338,inf
6341,inf
6342,156.25
6345,0.68
6346,4.01
6347,31.23
6350,44.3
6354,inf
6355,inf
6357,inf
6361,inf
6362,inf
6366,27.45
6378,inf
6380,inf
6383,inf
6384,inf
6386,39.47
6387,61.69
6389,47.53
6391,7.4
6392,64.11
6395,20.85
6397,139.45
6399,13.17
6403,inf
6404,inf
6405,47.2
6406,inf
6407,inf
6412,57.07
6414,44.65
6418,25.44
6423,13.15
6425,inf
6429,54.93
6433,30.55
6438,14.72
6439,20.14
6445,inf
6448,inf
6449,inf
6451,inf
6453,inf
6455,94.15
6457,inf
6459,inf
6462,43.62
6463,inf
6466,inf
6474,inf
6481,inf
6483,91.05
6490,8.52
6491,0.44
6498,inf
6499,84.82
6503,inf
6504,inf
6513,3.49
6514,20.57
6516,15.18
6519,16.4
6525,inf
6529,141.66
6530,inf
6536,38.82
6542,inf
6543,45.55
6544,inf
6545,inf
6546,inf
6551,inf
6552,inf
6562,inf
6570,inf
6572,inf
6573,inf
6582,inf
6583,inf
6584,inf
6585,21.86
6593,inf
6598,inf
6599,61.46
6603,inf
6607,inf
6608,inf
6613,inf
6614,inf
6615,inf
6616,inf
6619,110.94
6620,inf
6628,inf
6629,inf
6632,inf
6633,168.68
6641,inf
6642,inf
6643,inf
6645,inf
6648,inf
6655,inf
6656,inf
6658,inf
6660,inf
6664,inf
6666,inf
6667,inf
6672,inf
6679,6.45
6686,42.68
6687,26.03
6691,inf
6695,inf
6702,30.84
6703,36.1
6705,26.23
6709,0.66
6711,24.59
6715,78.04
6720,inf
6721,inf
6731,28.82
6732,2.89
6733,18.34
6737,33.88
6742,20.02
6744,13.7
6753,41.06
6754,45.45
6760,11.74
6761,inf
6765,inf
6779,inf
6780,43.96
6784,inf
6790,inf
6791,inf
6795,79.88
6796,inf
6801,inf
6804,inf
6805,inf
6811,inf
6812,inf
6815,inf
6816,81.15
6818,inf
6819,inf
6823,91.59
6825,inf
6826,inf
6828,inf
6829,inf
6830,inf
6831,5.31
6832,inf
6845,82.88
6852,30.89
6853,32.0
6854,17.3
6855,33.51
6862,inf
6865,inf
6866,inf
6869,inf
6875,3.84
6879,24.88
6887,inf
6895,10.57
6900,3.12
6901,25.02
6903,37.06
6904,23.93
6906,inf
6912,inf
6913,inf
6917,inf
6918,44.52
6921,29.09
6939,inf
6940,inf
6950,inf
6951,inf
6955,inf
6958,inf
6961,inf
6962,inf
6972,inf
6974,inf
6979,inf
6983,inf
6985,86.57
6986,inf
6987,inf
6988,inf
6989,inf
6990,8.86
6991,19.73
6992,10.07
6993,29.98
6998,35.31
7000,30.33
7003,65.95
7006,inf
7012,53.48
7013,inf
7016,0.05
7021,27.7
7022,0.33
7023,14.41
7029,inf
7038,23.81
7041,0.94
7042,27.53
7044,1.96
7046,17.16
7049,90.4
7052,inf
7053,inf
7058,inf
7060,inf
7063,19.79
7069,33.05
7071,54.44
7072,90.12
7082,38.55
7087,4.46
7088,16.23
7089,2.35
7091,17.48
7094,33.59
7099,inf
7100,inf
7110,inf
7111,inf
7114,9.58
7115,8.63
7118,inf
7121,38.71
7122,inf
7127,inf
7128,71.54
7130,inf
7136,6.24
7141,inf
7143,20.51
7150,inf
7154,66.36
7155,inf
7163,13.04
7169,6.88
7173,91.66
7174,inf
7175,inf
7178,inf
7184,1.93
7189,129.37
7191,10.8
7195,inf
7197,inf
7198,inf
7199,inf
7204,inf
7206,21.33
7210,4.38
7212,22.31
7215,2.56
7224,inf
7226,inf
7233,0.75
7237,22.69
7245,inf
7247,inf
7249,inf
7255,56.63
7256,35.68
7261,13.18
7262,3.42
7263,5.95
7265,9.36
7267,inf
7268,inf
7271,inf
7272,85.74
7277,inf
7278,inf
7279,175.71
7284,inf
7290,inf
7295,inf
7296,inf
7297,inf
7303,inf
7305,5.86
7310,inf
7313,9.17
7315,inf
7319,inf
7320,65.97
7321,inf
7328,21.6
7330,3.1
7337,4.55
7339,inf
7343,inf
7344,inf
7347,inf
7352,18.58
7357,31.07
7358,2.73
7361,8.1
7364,inf
7365,inf
7368,inf
7371,inf
7376,14.02
7380,35.16
7382,42.24
7387,inf
7389,inf
7392,76.34
7396,inf
7406,40.58
7407,12.02
7416,inf
7417,95.53
7421,inf
7422,18.71
7428,9.92
7430,28.95
7432,12.41
7433,30.52
7436,inf
7438,inf
7439,inf
7440,inf
7441,inf
7442,inf
7447,inf
7449,6.41
7455,4.69
7460,inf
