,éûçèï 
2045,inf
2046,47.71
2047,inf
2049,5.85
2050,0.9
2051,36.33
2052,3.18
2053,13.43
2055,8.92
2057,inf
2062,inf
2063,inf
2065,inf
2066,inf
2067,inf
2068,inf
2069,78.3
2070,inf
2075,inf
2078,inf
2079,inf
2081,inf
2082,inf
2083,inf
2084,81.84
2085,inf
2086,inf
2089,inf
2090,inf
2092,inf
2096,inf
2099,67.05
2100,inf
2101,inf
2102,inf
2104,inf
2107,66.0
2111,inf
2114,80.24
2115,inf
2116,inf
2118,inf
2121,14.48
2123,3.84
2124,13.61
2125,4.05
2126,38.14
2128,8.52
2129,inf
2130,77.09
2132,inf
2133,inf
2134,inf
2135,inf
2136,inf
2137,inf
2140,inf
2141,inf
2143,29.37
2144,24.84
2147,12.24
2148,7.74
2149,11.99
2150,6.07
2151,2.09
2152,inf
2155,inf
2159,inf
2161,inf
2164,inf
2165,inf
2166,inf
2167,35.06
2171,20.36
2172,6.51
2173,5.76
2174,13.08
2175,14.44
2176,inf
2177,inf
2178,57.95
2179,inf
2180,inf
2181,inf
2183,inf
2184,inf
2186,76.66
2188,inf
2189,inf
2190,inf
2191,16.75
2192,4.72
2193,25.16
2194,inf
2197,0.15
2198,6.71
2199,inf
2200,1.09
2202,inf
2205,51.79
2206,inf
2207,inf
2209,inf
2210,inf
2211,inf
2212,inf
2219,10.97
2220,15.36
2221,inf
2222,23.64
2223,inf
2224,40.27
2225,inf
2226,inf
2227,inf
2228,69.67
2229,inf
2230,inf
2231,inf
2232,inf
2233,inf
2234,inf
2235,81.89
2236,inf
2237,inf
2238,inf
2241,inf
2244,inf
2245,inf
2246,inf
2247,inf
2248,inf
2249,69.4
2250,inf
2254,inf
2256,inf
2257,77.71
2260,inf
2261,inf
2262,inf
2265,inf
2267,inf
2269,inf
2270,inf
2273,inf
2274,inf
2277,inf
2278,inf
2279,76.42
2280,inf
2281,inf
2282,inf
2283,inf
2285,inf
2286,46.21
2287,inf
2288,7.88
2289,37.12
2291,5.2
2294,2.79
2295,10.83
2298,inf
2300,75.28
2301,inf
2303,inf
2304,inf
2305,inf
2306,inf
2310,inf
2311,18.02
2312,6.71
2314,23.59
2315,10.7
2316,2.78
2317,8.48
2318,inf
2319,14.21
2320,23.17
2321,inf
2322,inf
2325,inf
2326,inf
2327,inf
2328,inf
2329,inf
2330,inf
2332,inf
2333,inf
2334,inf
2336,9.01
2337,12.97
2338,3.16
2341,32.99
2342,6.26
2343,8.03
2344,4.06
2346,inf
2347,inf
2349,inf
2351,inf
2352,inf
2353,inf
2354,inf
2355,inf
2356,80.97
2357,inf
2358,inf
2359,24.33
2360,13.07
2361,5.91
2363,4.79
2364,0.89
2366,15.92
2367,1.87
2370,inf
2371,inf
2372,inf
2373,63.83
2374,inf
2375,inf
2376,inf
2378,inf
2379,inf
2380,77.07
2381,inf
2382,inf
2383,18.14
2384,35.3
2385,inf
2386,5.79
2387,10.22
2388,1.45
2389,17.25
2390,inf
2391,11.21
2394,inf
2395,inf
2396,inf
2397,inf
2398,inf
2399,71.09
2400,inf
2401,inf
2402,inf
2403,inf
2404,inf
2405,inf
2406,inf
2407,36.1
2408,inf
2409,inf
2410,inf
2413,inf
2415,inf
2416,inf
2417,inf
2418,inf
2419,inf
2423,inf
2425,inf
2426,inf
2427,inf
2430,56.45
2431,inf
2432,inf
2434,58.95
2437,inf
2438,inf
2439,inf
2441,inf
2442,65.88
2444,inf
2445,inf
2449,inf
2450,79.82
2452,inf
2453,inf
2454,0.26
2455,18.45
2457,53.7
2458,7.72
2459,11.74
2461,11.8
2463,19.48
2464,17.69
2465,inf
2467,inf
2469,inf
2471,inf
2472,inf
2473,inf
2475,inf
2476,inf
2477,inf
2478,57.58
2479,5.88
2480,2.6
2481,22.73
2482,20.86
2483,16.45
2485,8.92
2486,20.99
2487,inf
2488,9.59
2490,inf
2491,53.69
2492,inf
2493,inf
2494,inf
2495,inf
2498,84.35
2499,inf
2500,inf
2502,21.57
2503,2.92
2504,5.63
2509,2.7
2510,3.42
2511,4.89
2513,inf
2514,inf
2516,inf
2517,86.22
2518,inf
2522,inf
2523,inf
2524,84.65
2525,inf
2527,56.36
2528,8.46
2530,21.77
2532,27.98
2533,30.12
2534,16.85
2535,18.06
2536,8.53
2537,inf
2539,inf
2541,77.44
2542,inf
2543,inf
2545,inf
2547,inf
2548,78.7
2549,inf
2550,22.41
2551,29.27
2552,19.75
2555,37.49
2557,3.68
2558,38.63
2559,15.55
2561,inf
2562,inf
2563,55.29
2565,inf
2566,inf
2569,inf
2571,inf
2572,inf
2573,inf
2574,43.34
2575,inf
2576,52.67
2577,inf
2578,47.8
2579,inf
2580,38.26
2582,inf
2584,32.6
2585,inf
2586,inf
2587,inf
2588,inf
2589,inf
2590,inf
2591,79.49
2593,inf
2595,inf
2596,inf
2597,inf
2598,inf
2600,inf
2601,inf
2602,inf
2603,inf
2604,inf
2605,inf
2607,71.6
2608,inf
2609,inf
2610,inf
2611,inf
2612,inf
2613,inf
2614,81.73
2615,inf
2616,inf
2617,inf
2618,inf
2622,23.93
2623,inf
2626,3.3
2627,24.01
2628,25.97
2629,9.89
2630,5.11
2631,37.34
2632,10.55
2633,3.25
2634,32.94
2635,48.64
2636,inf
2637,inf
2638,inf
2641,inf
2643,inf
2644,inf
2645,inf
2647,13.33
2648,14.22
2649,9.4
2651,14.78
2652,8.84
2653,11.21
2654,1.74
2655,18.99
2656,25.7
2657,inf
2658,inf
2659,67.67
2660,inf
2661,inf
2662,inf
2663,inf
2664,inf
2665,inf
2666,inf
2667,80.83
2668,inf
2669,inf
2670,8.47
2671,24.49
2673,3.35
2674,19.04
2675,12.83
2677,4.2
2678,15.35
2680,6.43
2682,inf
2683,inf
2684,inf
2686,inf
2687,inf
2690,inf
2693,inf
2694,inf
2695,inf
2697,inf
2698,inf
2700,56.1
2701,inf
2703,inf
2704,inf
2705,inf
2706,inf
2707,inf
2708,81.06
2709,inf
2711,inf
2713,inf
2714,inf
2715,76.25
2716,inf
2718,inf
2719,inf
2720,inf
2721,inf
2722,inf
2724,inf
2725,inf
2726,inf
2727,inf
2728,inf
2729,inf
2730,inf
2731,58.42
2732,inf
2733,inf
2734,inf
2735,inf
2736,inf
2737,inf
2738,82.89
2740,inf
2741,inf
2743,47.94
2744,24.81
2746,18.22
2747,42.37
2748,58.27
2750,inf
2751,inf
2753,inf
2755,inf
2756,inf
2757,inf
2760,80.67
2761,inf
2762,inf
2763,inf
2764,inf
2765,inf
2766,48.57
2767,51.26
2769,27.01
2770,46.78
2771,30.83
2773,inf
2774,38.85
2775,inf
2776,inf
2777,inf
2779,inf
2780,inf
2783,inf
2784,inf
2785,inf
2786,inf
2787,inf
2789,77.95
2790,3.05
2791,27.36
2792,24.54
2793,11.5
2794,39.52
2796,17.14
2797,53.95
2799,23.13
2801,inf
2802,inf
2803,inf
2804,inf
2806,61.65
2808,inf
2810,inf
2811,inf
2813,inf
2815,28.04
2816,8.46
2817,5.43
2818,28.2
2819,20.74
2821,27.69
2823,22.88
2824,26.67
2825,inf
2826,inf
2827,inf
2829,inf
2830,65.64
2832,inf
2833,inf
2835,inf
2837,inf
2839,22.91
2842,3.69
2845,5.99
2847,4.02
2848,29.65
2851,inf
2853,inf
2856,inf
2858,inf
2859,inf
2860,inf
2861,inf
2862,9.4
2863,16.28
2865,4.58
2867,55.72
2868,9.21
2869,1.13
2870,27.38
2872,7.26
2873,inf
2874,inf
2875,inf
2876,inf
2878,80.31
2879,inf
2880,inf
2882,inf
2883,inf
2884,inf
2885,inf
2886,14.83
2887,23.95
2888,17.64
2889,18.88
2890,12.81
2891,43.8
2892,2.63
2894,62.88
2895,20.95
2896,8.58
2900,49.33
2901,inf
2902,inf
2903,inf
2904,inf
2905,inf
2906,inf
2907,72.41
2908,inf
2911,inf
2912,36.32
2913,24.86
2914,inf
2917,5.64
2918,inf
2919,inf
2920,inf
2921,inf
2923,inf
2924,inf
2925,inf
2927,inf
2929,64.14
2930,inf
2931,inf
2936,inf
2937,11.4
2939,inf
2940,inf
2941,inf
2942,inf
2943,inf
2945,inf
2946,inf
2947,inf
2949,inf
2952,51.92
2953,inf
2954,inf
2955,inf
2956,inf
2958,19.07
2959,29.07
2961,29.87
2962,43.34
2965,5.7
2966,0.27
2967,4.82
2968,1.15
2969,inf
2971,inf
2972,inf
2973,69.27
2974,inf
2975,inf
2976,inf
2977,inf
2979,inf
2980,inf
2982,inf
2983,14.8
2984,16.67
2985,0.07
2987,2.6
2988,3.42
2991,8.02
2992,8.11
2994,inf
2995,inf
2996,inf
2997,inf
2998,inf
2999,63.14
3001,inf
3002,inf
3003,inf
3005,inf
3006,32.41
3008,4.51
3009,2.85
3010,9.63
3012,0.51
3014,12.14
3015,6.31
3016,7.71
3017,inf
3018,inf
3019,inf
3021,inf
3022,inf
3023,inf
3024,inf
3025,inf
3027,78.56
3029,inf
3030,36.18
3032,6.75
3035,4.77
3037,2.89
3038,10.11
3039,1.71
3040,9.04
3043,inf
3044,inf
3045,64.61
3046,inf
3047,inf
3048,inf
3050,inf
3052,74.03
3054,4.33
3055,7.21
3056,13.82
3057,9.26
3058,7.58
3060,2.45
3061,7.31
3063,18.82
3064,20.06
3067,inf
3069,inf
3073,inf
3074,inf
3075,inf
3077,inf
3078,51.31
3080,inf
3081,7.48
3082,11.76
3084,3.67
3085,11.4
3086,11.07
3087,2.21
3089,28.14
3090,inf
3092,inf
3093,inf
3094,inf
3096,inf
3097,42.53
3098,inf
3100,inf
3102,inf
3104,27.04
3107,13.75
3108,9.08
3109,20.96
3110,13.43
