,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1502,114.67,5.99
1504,19.66,4.68
1506,72.24,3.81
1509,inf,inf
1519,10.17,2.31
1521,57.2,20.27
1524,110.11,7.19
1530,inf,inf
1532,inf,inf
1534,52.91,2.18
1535,inf,inf
1538,inf,inf
1540,inf,inf
1542,58.14,2.2
1551,119.06,18.92
1561,60.31,1.04
1566,inf,inf
1569,inf,inf
1571,104.03,14.46
1575,inf,inf
1576,77.53,4.7
1577,inf,inf
1578,65.13,2.33
1584,inf,inf
1587,inf,inf
1588,inf,inf
1589,inf,inf
1592,inf,inf
1593,83.39,11.56
1595,inf,inf
1596,74.11,1.56
1599,87.31,1.24
1602,97.06,2.18
1604,65.36,1.34
1612,inf,inf
1617,9.66,11.8
1618,inf,inf
1620,16.43,19.41
1623,25.15,20.15
1627,inf,inf
1633,inf,inf
1641,12.39,20.02
1642,6.32,23.79
1648,15.09,1.62
1650,3.72,6.75
1658,inf,inf
1659,inf,inf
1660,inf,inf
1661,inf,inf
1662,inf,inf
1663,36.01,2.44
1664,98.29,17.21
1670,20.03,5.11
1674,29.46,7.37
1676,inf,inf
1677,inf,inf
1688,7.28,13.63
1690,49.99,1.28
1695,5.47,7.44
1698,inf,inf
1702,inf,inf
1703,85.99,0.43
1705,inf,inf
1706,inf,inf
1708,75.71,0.43
1710,79.45,3.86
1712,4.93,11.32
1714,11.23,24.72
1715,23.16,13.49
1718,27.06,10.27
1722,inf,inf
1726,62.87,2.34
1730,inf,inf
1731,75.89,1.95
1732,inf,inf
1733,inf,inf
1746,61.63,3.32
1748,inf,inf
1751,inf,inf
1755,inf,inf
1758,inf,inf
1762,inf,inf
1763,inf,inf
1766,55.25,15.82
1771,inf,inf
1774,inf,inf
1778,42.2,0.13
1782,14.45,4.38
1789,40.38,1.92
1793,inf,inf
1798,inf,inf
1800,inf,inf
1802,inf,inf
1804,45.93,0.96
1807,15.86,8.38
1809,54.36,22.35
1810,22.34,5.02
