,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
17964,29.31,25.89,1.75,7.15
17965,3.86,1.91,8.34,7.76
17967,27.11,12.78,7.82,10.92
17968,44.36,49.22,5.67,8.05
17969,inf,inf,inf,inf
17974,inf,inf,inf,inf
17976,inf,inf,inf,inf
17977,66.21,70.97,0.57,0.77
17978,inf,inf,inf,inf
17979,inf,inf,inf,inf
17980,77.84,80.88,1.12,1.33
17981,inf,inf,inf,inf
17983,8.36,19.86,15.29,12.15
17984,inf,inf,inf,inf
17985,inf,inf,inf,inf
17987,inf,inf,inf,inf
17989,inf,inf,inf,inf
17990,inf,inf,inf,inf
17991,69.32,59.54,4.3,3.72
17992,inf,inf,inf,inf
17993,inf,inf,inf,inf
17994,inf,inf,inf,inf
17995,inf,inf,inf,inf
17997,inf,inf,inf,inf
18003,58.67,55.3,0.34,1.16
18007,inf,inf,inf,inf
18009,inf,inf,inf,inf
18010,46.85,42.75,2.68,4.87
18011,inf,inf,inf,inf
18012,68.69,48.65,3.62,5.12
18013,inf,inf,inf,inf
18014,inf,inf,inf,inf
18016,inf,inf,inf,inf
18017,inf,inf,inf,inf
18018,48.92,53.31,4.82,6.42
18019,48.57,46.85,4.51,4.85
18020,57.03,47.16,1.38,2.8
18021,inf,inf,inf,inf
18024,inf,inf,inf,inf
18025,inf,inf,inf,inf
18028,64.38,60.71,0.79,0.97
18029,inf,inf,inf,inf
18030,inf,inf,inf,inf
18031,inf,inf,inf,inf
18032,21.42,17.13,24.07,11.28
18033,41.7,38.18,6.68,6.98
18035,13.89,19.26,10.1,20.83
18037,16.64,12.83,15.65,6.67
18040,18.78,22.06,3.57,7.63
18042,inf,inf,inf,inf
18043,43.51,52.92,1.68,2.08
18044,61.37,41.04,1.3,2.34
18045,inf,inf,inf,inf
18046,inf,inf,inf,inf
18048,inf,inf,inf,inf
18049,inf,inf,inf,inf
18050,73.29,61.71,0.75,0.73
18053,inf,inf,inf,inf
18054,inf,inf,inf,inf
18056,inf,inf,inf,inf
18057,inf,inf,inf,inf
18058,37.72,9.35,7.8,9.73
18059,20.04,0.27,7.41,10.88
18060,3.56,3.86,4.07,9.43
18061,30.58,23.6,5.04,8.84
18062,43.99,52.1,5.91,6.77
18063,58.82,50.49,6.51,7.02
18065,inf,inf,inf,inf
18066,inf,inf,inf,inf
18067,inf,inf,inf,inf
18068,83.06,76.9,1.89,0.49
18069,inf,inf,inf,inf
18070,inf,inf,inf,inf
18071,66.1,64.04,1.35,2.3
18072,inf,inf,inf,inf
18073,inf,inf,inf,inf
18074,inf,inf,inf,inf
18075,66.2,69.23,0.9,0.74
18077,62.18,69.94,1.67,1.8
18078,inf,inf,inf,inf
18079,inf,inf,inf,inf
18081,2.23,1.62,8.92,11.4
18082,inf,inf,inf,inf
18083,50.5,51.47,8.16,8.71
18084,inf,inf,inf,inf
18085,55.48,53.65,8.66,8.33
18086,inf,inf,inf,inf
18087,43.08,36.01,7.37,12.09
18089,inf,inf,inf,inf
18092,inf,inf,inf,inf
18093,inf,inf,inf,inf
18096,inf,inf,inf,inf
18098,inf,inf,inf,inf
18099,inf,inf,inf,inf
18100,inf,inf,inf,inf
18101,60.4,68.15,1.65,1.61
18102,65.24,64.4,5.15,5.58
18104,0.64,16.28,4.14,8.73
18105,4.08,5.72,4.02,6.51
18106,30.88,37.95,7.97,6.88
18108,5.59,7.87,7.0,9.21
18109,8.71,6.04,7.59,12.44
18110,49.97,51.34,4.87,6.36
18111,inf,inf,inf,inf
18112,16.03,6.56,6.35,8.26
18114,inf,inf,inf,inf
18115,inf,inf,inf,inf
