,éûçèï 
3686,37.02
3695,inf
3697,inf
3698,inf
3699,83.99
3707,5.28
3711,29.18
3722,inf
3723,inf
3727,inf
3733,1.74
3740,inf
3742,inf
3744,77.36
3752,inf
3755,inf
3762,29.75
3773,inf
3778,inf
3780,33.13
3784,42.13
3785,inf
3787,79.44
3788,87.38
3802,45.51
3803,29.14
3804,37.18
3807,37.23
3812,74.18
3817,inf
3824,inf
3845,inf
3846,inf
3847,inf
3849,25.01
3850,86.51
3851,165.88
3852,34.68
3853,147.64
3855,49.05
3859,inf
3860,inf
3861,inf
3867,inf
3870,inf
3871,inf
3875,48.06
3878,44.99
3888,67.68
3894,inf
3897,91.37
3899,9.17
3900,36.39
3901,2.94
3903,4.51
3907,0.56
3908,25.09
3909,59.71
3912,inf
3918,inf
3928,63.69
3929,inf
3932,inf
3941,inf
3948,36.62
3949,2.66
3950,31.1
3952,11.81
3957,85.41
3960,inf
3961,inf
3969,26.99
3974,0.39
3975,0.33
3976,15.96
3980,21.13
3981,17.49
3984,inf
3985,71.46
3990,inf
3998,14.82
4001,5.81
4002,22.85
4003,139.8
4006,inf
4015,inf
4019,34.41
4023,16.82
4031,inf
4035,88.26
4039,inf
4041,37.45
4042,13.04
4043,27.03
4046,16.41
4048,4.18
4050,102.44
4053,54.36
4056,inf
4057,inf
4058,inf
4061,inf
4063,inf
4066,8.36
4074,67.81
4075,11.47
4076,42.16
4079,74.11
4080,inf
4081,inf
4082,inf
4086,inf
4091,29.92
4094,46.22
4096,16.09
4104,inf
4105,inf
4106,inf
4108,89.48
4110,inf
4112,inf
4115,54.9
4119,32.26
4125,inf
4127,75.6
4129,inf
4131,inf
4132,inf
4135,inf
4140,49.38
4144,23.08
4149,inf
4150,inf
4154,87.66
4155,inf
4158,inf
4162,60.0
4168,12.34
4171,0.2
4180,inf
4182,83.22
4185,23.4
4189,13.82
4199,inf
4200,90.55
4202,inf
4207,93.85
4208,inf
4221,inf
4223,inf
4226,inf
4231,inf
4233,11.43
4234,114.38
4235,9.62
4239,10.82
4242,45.61
4245,53.19
4248,inf
4254,inf
4257,64.01
4258,50.32
4267,19.05
4270,inf
4271,inf
4272,inf
4276,inf
4278,inf
4279,67.94
4283,16.99
4289,55.74
4291,inf
4297,inf
4298,inf
4299,inf
4301,78.0
4303,inf
4305,110.86
4307,10.99
4313,22.44
4314,49.23
4321,inf
4322,inf
4323,90.06
4325,inf
4331,15.67
4332,45.35
4341,inf
4345,inf
4347,inf
4348,inf
4351,inf
4352,inf
4354,15.76
4362,14.21
4367,inf
4370,inf
4376,inf
4377,31.55
4380,1.47
