,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018-10-01,7,8,24,11,17,8,9,14,12,14,6,7,8
2018-10-02,7,7,24,12,13,8,10,13,14,12,8,4,9
2018-10-03,7,13,24,10,14,0,10,12,12,9,9,2,7
2018-10-04,4,6,24,10,14,0,9,13,13,12,8,5,4
2018-10-05,7,4,24,8,15,0,9,14,12,11,2,7,3
2018-10-06,4,4,24,9,4,6,6,12,12,10,0,2,4
2018-10-07,10,14,24,2,13,0,0,2,4,11,1,5,11
2018-10-08,10,11,24,10,5,8,9,12,12,8,10,3,0
2018-10-09,6,11,24,9,14,5,10,12,12,15,9,2,7
2018-10-10,6,14,23,13,16,8,10,11,12,15,9,2,6
2018-10-11,5,7,24,11,13,9,10,11,13,15,6,2,5
2018-10-12,5,6,24,11,16,7,10,12,12,14,0,2,0
2018-10-13,4,5,24,0,3,0,9,10,12,3,0,2,2
2018-10-14,4,2,24,1,12,0,0,3,3,2,0,2,0
2018-10-15,4,5,23,6,13,0,8,11,13,7,0,2,1
2018-10-16,11,7,24,5,12,6,9,12,12,6,0,2,2
2018-10-17,7,3,24,4,12,8,8,11,11,3,0,2,10
2018-10-18,7,3,24,4,11,4,9,12,13,8,0,2,2
2018-10-19,7,3,24,3,11,0,9,11,12,4,0,10,0
2018-10-20,4,5,23,1,3,6,8,12,13,10,0,2,2
2018-10-21,4,2,23,1,5,0,0,2,4,3,0,3,0
2018-10-22,6,3,23,1,10,10,9,12,12,6,0,2,0
2018-10-23,4,3,24,0,4,0,9,12,13,4,0,12,3
2018-10-24,4,3,23,2,8,9,8,12,13,3,0,2,3
2018-10-25,4,3,24,3,9,8,5,11,13,4,0,2,0
2018-10-26,7,3,23,6,10,0,9,12,12,6,0,12,0
2018-10-27,5,2,24,1,4,0,8,11,12,5,0,2,0
2018-10-28,5,3,23,1,4,0,0,2,4,3,0,2,0
2018-10-29,7,4,24,5,12,8,5,12,12,5,0,7,0
2018-10-30,5,3,23,5,10,5,10,12,12,3,0,11,2
2018-10-31,4,5,24,6,7,3,9,12,12,3,0,2,1
2018-11-01,6,3,24,4,6,0,9,11,12,3,0,2,0
2018-11-02,5,3,24,1,10,5,9,12,12,2,0,2,0
2018-11-03,9,8,24,0,3,8,0,10,12,3,0,3,0
2018-11-04,8,4,24,1,4,0,0,2,4,3,0,2,0
2018-11-05,5,18,24,0,4,0,6,12,12,3,0,2,0
2018-11-06,5,3,24,5,7,0,9,10,12,3,0,3,4
2018-11-07,4,3,24,2,10,0,10,12,13,2,0,2,3
2018-11-08,6,6,24,1,5,0,10,13,13,3,0,2,3
2018-11-09,9,7,24,1,8,0,8,11,12,3,0,3,0
2018-11-10,5,3,23,1,4,5,7,11,12,3,0,2,4
2018-11-11,9,3,24,0,3,0,0,3,4,2,0,2,0
2018-11-12,4,3,24,0,6,0,9,11,12,3,0,3,0
2018-11-13,4,3,24,1,7,5,5,10,13,3,0,10,0
2018-11-14,4,3,24,1,3,0,7,11,13,3,0,2,0
2018-11-15,4,7,23,0,4,0,7,12,12,2,0,11,0
2018-11-16,8,10,24,1,3,0,8,11,12,3,0,13,0
2018-11-17,4,3,24,7,4,4,2,11,12,3,0,7,0
2018-11-18,10,11,24,2,3,0,0,2,3,2,0,2,0
2018-11-19,6,3,24,2,4,0,5,9,13,3,0,12,0
2018-11-20,4,9,24,14,3,0,2,12,12,3,0,11,0
2018-11-21,4,11,24,2,4,0,7,11,13,2,0,3,0
2018-11-22,5,9,24,2,4,0,1,12,12,3,0,10,0
2018-11-23,3,2,16,2,2,0,0,2,3,2,0,2,0
2018-11-24,12,13,24,11,5,0,0,9,12,8,8,7,1
2018-11-25,4,19,24,11,5,1,1,5,6,8,10,2,1
2018-11-26,6,14,24,6,5,0,1,11,12,3,10,4,1
2018-11-27,10,18,23,13,4,0,1,12,13,3,2,11,1
2018-11-28,13,5,24,2,4,0,8,11,13,4,3,2,1
2018-11-29,12,3,24,3,4,0,4,12,12,3,2,12,2
2018-11-30,13,3,24,3,4,0,7,10,12,3,2,2,1
2018-12-01,11,5,24,10,4,0,2,11,11,3,9,11,1
2018-12-02,13,11,24,2,9,0,0,3,4,7,10,10,9
2018-12-03,8,13,24,3,5,0,0,10,13,3,2,2,1
2018-12-04,5,13,24,3,4,0,7,11,13,3,2,9,1
2018-12-05,12,4,24,2,4,0,6,11,13,3,3,12,1
2018-12-06,11,8,24,3,5,0,1,13,12,3,2,2,1
2018-12-07,12,3,24,2,4,0,4,11,13,4,3,12,2
2018-12-08,12,4,24,9,5,0,0,10,6,8,7,7,1
2018-12-09,14,20,24,3,13,0,0,2,9,8,2,13,1
2018-12-10,12,15,24,12,7,0,0,11,12,8,3,10,3
2018-12-11,9,13,24,9,7,0,3,11,13,3,2,10,4
2018-12-12,14,21,24,12,9,0,11,10,12,10,10,12,8
2018-12-13,12,14,24,14,10,0,6,11,12,7,2,11,1
2018-12-14,12,20,24,14,13,0,2,11,13,4,2,11,1
2018-12-15,11,3,24,10,14,0,0,8,11,11,9,9,12
2018-12-16,12,16,23,3,15,0,0,2,4,12,10,15,13
2018-12-17,13,14,24,13,6,0,0,10,11,6,13,2,8
2018-12-18,4,14,24,11,8,0,0,10,12,3,12,14,4
2018-12-19,12,19,23,14,6,0,0,10,12,3,2,10,7
2018-12-20,14,14,24,14,9,0,2,12,12,3,12,13,3
2018-12-21,12,14,24,10,6,0,2,11,13,4,12,11,1
2018-12-22,4,15,24,13,5,0,0,10,12,9,5,3,5
2018-12-23,11,10,24,3,12,0,0,3,4,5,11,12,8
2018-12-24,11,9,24,10,14,0,0,9,12,10,3,12,4
2018-12-25,9,15,24,14,16,0,0,9,12,3,8,12,7
2018-12-26,12,14,24,10,15,0,0,11,12,4,12,11,8
2018-12-27,13,15,24,11,11,0,0,10,12,3,2,9,9
2018-12-28,8,14,24,14,16,0,0,10,12,3,13,13,8
2018-12-29,4,6,24,10,12,0,0,2,8,7,11,8,9
2018-12-30,4,15,23,11,4,0,0,3,5,3,8,11,1
2018-12-31,5,3,22,2,5,0,0,2,4,4,2,2,1
2019-01-01,4,4,22,3,4,0,0,2,4,3,3,3,1
2019-01-02,5,3,21,2,5,0,0,2,4,3,2,2,2
2019-01-03,4,3,20,10,4,0,0,2,4,3,3,3,1
2019-01-04,4,3,21,12,5,0,0,3,5,14,11,9,1
2019-01-05,13,12,23,11,13,0,0,2,4,11,14,14,5
2019-01-06,13,11,22,10,14,0,0,2,4,13,10,10,14
2019-01-07,13,15,24,14,17,0,5,5,8,7,12,12,9
2019-01-08,13,14,24,14,15,0,11,8,11,6,12,14,4
2019-01-09,15,16,23,13,14,0,11,10,11,4,13,21,10
2019-01-10,12,13,23,14,15,4,7,10,12,6,11,12,12
2019-01-11,11,14,24,14,8,0,6,10,12,4,8,11,1
2019-01-12,16,20,24,10,13,0,8,8,11,13,11,12,11
2019-01-13,12,13,24,3,14,0,0,3,5,5,14,11,13
2019-01-14,11,12,23,11,14,0,0,10,10,6,15,10,8
2019-01-15,6,15,24,13,15,6,11,10,13,6,13,12,8
2019-01-16,13,14,24,14,10,0,3,9,12,4,3,12,9
2019-01-17,13,13,23,13,10,0,0,10,14,4,9,12,4
2019-01-18,13,15,23,16,7,0,0,11,12,3,2,15,3
2019-01-19,17,9,22,11,14,0,0,10,12,6,2,21,10
2019-01-20,19,23,22,11,12,0,0,2,4,3,10,2,15
2019-01-21,13,21,22,13,13,0,0,10,12,4,10,12,4
2019-01-22,5,22,24,7,14,0,0,10,12,5,12,11,4
2019-01-23,12,23,24,5,11,0,0,10,12,3,12,13,11
2019-01-24,13,18,21,4,13,0,0,11,12,4,11,10,5
2019-01-25,12,14,24,6,12,0,0,10,12,4,11,11,9
2019-01-26,14,3,24,13,13,0,0,9,12,7,9,15,9
2019-01-27,13,13,23,3,13,0,0,2,4,7,12,11,6
2019-01-28,12,13,24,14,14,4,0,10,11,8,11,11,4
2019-01-29,16,15,24,14,9,0,0,10,11,4,8,15,4
2019-01-30,13,13,23,12,10,0,0,11,12,6,8,16,5
2019-01-31,12,14,24,8,9,0,0,11,13,11,13,14,6
2019-02-01,12,12,24,12,13,0,0,9,12,5,12,13,1
2019-02-02,12,3,24,11,13,0,0,9,11,5,13,13,10
2019-02-03,14,14,24,3,13,0,0,2,4,3,2,3,3
2019-02-04,13,13,24,5,11,0,3,10,12,4,9,12,1
2019-02-05,8,14,23,6,11,0,0,10,12,4,10,17,5
2019-02-06,13,12,24,10,9,0,0,11,13,5,12,18,8
2019-02-07,14,15,24,10,7,0,0,10,12,3,9,16,1
2019-02-08,10,16,24,14,7,0,0,10,12,4,12,10,1
2019-02-09,13,7,23,13,13,0,0,2,12,13,12,12,11
2019-02-10,14,14,23,2,14,0,0,3,4,4,8,11,9
2019-02-11,11,12,23,12,15,0,0,2,4,15,12,11,12
2019-02-12,10,10,24,13,15,7,0,9,11,12,11,11,5
2019-02-13,13,16,23,12,14,8,0,10,12,8,11,12,10
2019-02-14,13,14,23,13,12,2,7,9,12,7,12,14,1
2019-02-15,13,12,24,14,12,0,11,10,12,9,13,19,6
2019-02-16,13,9,24,10,12,0,0,2,12,3,14,16,2
2019-02-17,15,15,24,3,14,0,0,2,4,7,10,4,12
2019-02-18,12,9,23,10,13,0,7,10,11,9,11,14,4
2019-02-19,15,15,23,12,15,0,6,11,12,7,11,7,6
2019-02-20,10,12,24,7,5,0,3,11,12,4,11,3,3
