,年,月,日,曜日,曜日_月,曜日_火,曜日_水,曜日_木,曜日_金,曜日_土,曜日_日,休日,風速,相対湿度,蒸気圧,全天日射量,平均気温,最高気温,最低気温,降水量,日照時間,日時
2021-11-28,2021,11,28,6,0,0,0,0,0,0,1,0,2.054166666666667,50.666666666666664,5.604166666666667,0.5224999999999999,9.729166666666666,14.4,5.1,0.0,9.399999999999999,2021-11-28
2021-11-29,2021,11,29,0,1,0,0,0,0,0,0,1,0.7291666666666666,58.541666666666664,6.245833333333334,0.4741666666666666,8.804166666666665,13.3,4.4,0.0,7.3999999999999995,2021-11-29
2021-11-30,2021,11,30,1,0,1,0,0,0,0,0,1,0.6833333333333332,70.04166666666667,9.375000000000002,0.43999999999999995,11.679166666666667,16.5,4.2,6.0,8.3,2021-11-30
2021-12-01,2021,12,1,2,0,0,1,0,0,0,0,1,1.6999999999999995,69.83333333333333,12.875,0.3787499999999999,16.21666666666667,20.5,10.2,79.0,6.1,2021-12-01
2021-12-02,2021,12,2,3,0,0,0,1,0,0,0,1,1.2,43.416666666666664,5.341666666666668,0.5133333333333333,11.195833333333333,15.1,7.2,0.0,9.299999999999999,2021-12-02
2021-12-03,2021,12,3,4,0,0,0,0,1,0,0,1,0.8208333333333334,58.25,6.9958333333333345,0.4833333333333334,10.983333333333334,15.8,5.8,0.0,9.2,2021-12-03
2021-12-04,2021,12,4,5,0,0,0,0,0,1,0,0,1.091666666666667,56.125,6.654166666666666,0.47208333333333335,11.345833333333333,16.2,6.9,0.0,9.2,2021-12-04
2021-12-05,2021,12,5,6,0,0,0,0,0,0,1,0,2.095833333333333,50.166666666666664,5.591666666666668,0.4595833333333333,9.183333333333334,12.1,6.1,0.0,9.2,2021-12-05
2021-12-06,2021,12,6,0,1,0,0,0,0,0,0,1,1.754166666666667,64.75,7.4291666666666645,0.16791666666666663,8.779166666666667,10.1,6.7,0.0,0.0,2021-12-06
2021-12-07,2021,12,7,1,0,1,0,0,0,0,0,1,2.0416666666666665,85.04166666666667,11.716666666666667,0.14583333333333331,11.941666666666665,14.8,9.6,5.0,0.5,2021-12-07
2021-12-08,2021,12,8,2,0,0,1,0,0,0,0,1,3.370833333333334,92.75,11.079166666666666,0.09416666666666663,9.995833333333332,11.3,8.4,34.0,0.0,2021-12-08
2021-12-09,2021,12,9,3,0,0,0,1,0,0,0,1,2.117391304347826,67.33333333333333,8.299999999999999,0.42791666666666656,10.416666666666666,14.3,8.4,0.0,7.0,2021-12-09
2021-12-10,2021,12,10,4,0,0,0,0,1,0,0,1,1.25,68.04166666666667,7.625000000000001,0.3529166666666666,9.237499999999999,11.9,7.3,0.0,3.6,2021-12-10
2021-12-11,2021,12,11,5,0,0,0,0,0,1,0,0,0.5708333333333333,73.54166666666667,8.466666666666667,0.4562499999999999,10.891666666666666,15.9,5.3,0.0,9.1,2021-12-11
2021-12-12,2021,12,12,6,0,0,0,0,0,0,1,0,0.6958333333333332,71.79166666666667,9.537500000000001,0.3679166666666666,12.220833333333337,16.9,8.0,0.0,7.5,2021-12-12
2021-12-13,2021,12,13,0,1,0,0,0,0,0,0,1,3.420833333333333,47.125,5.6625000000000005,0.4879166666666666,9.779166666666667,13.3,5.8,0.0,9.2,2021-12-13
2021-12-14,2021,12,14,1,0,1,0,0,0,0,0,1,1.3083333333333333,74.79166666666667,6.533333333333332,0.10541666666666666,5.441666666666666,6.9,4.4,4.5,0.1,2021-12-14
2021-12-15,2021,12,15,2,0,0,1,0,0,0,0,1,0.425,74.20833333333333,7.491666666666667,0.47041666666666665,9.345833333333333,14.2,3.3,0.0,9.2,2021-12-15
2021-12-16,2021,12,16,3,0,0,0,1,0,0,0,1,0.7250000000000001,67.91666666666667,7.945833333333333,0.4416666666666667,10.520833333333334,14.7,5.0,0.0,8.1,2021-12-16
2021-12-17,2021,12,17,4,0,0,0,0,1,0,0,1,1.695833333333333,80.45833333333333,9.254166666666666,0.14250000000000002,9.233333333333333,12.0,5.2,4.0,0.8999999999999999,2021-12-17
2021-12-18,2021,12,18,5,0,0,0,0,0,1,0,0,2.779166666666667,39.875,3.329166666666666,0.48999999999999994,5.187499999999999,9.5,2.4,0.0,9.3,2021-12-18
2021-12-19,2021,12,19,6,0,0,0,0,0,0,1,0,0.7041666666666667,51.541666666666664,4.316666666666667,0.4683333333333332,5.745833333333334,10.4,1.0,0.0,9.2,2021-12-19
2021-12-20,2021,12,20,0,1,0,0,0,0,0,0,1,0.6458333333333333,60.708333333333336,5.654166666666665,0.46208333333333335,7.629166666666667,12.4,1.8,0.0,9.2,2021-12-20
2021-12-21,2021,12,21,1,0,1,0,0,0,0,0,1,0.5124999999999998,65.75,7.0874999999999995,0.4620833333333332,9.9125,15.2,4.4,0.0,9.100000000000001,2021-12-21
2021-12-22,2021,12,22,2,0,0,1,0,0,0,0,1,3.016666666666666,51.125,5.683333333333333,0.4387499999999999,9.0375,13.3,5.6,0.0,8.6,2021-12-22
2021-12-23,2021,12,23,3,0,0,0,1,0,0,0,1,2.779166666666667,40.833333333333336,4.404166666666668,0.46875,8.720833333333333,12.4,4.9,0.0,8.700000000000001,2021-12-23
2021-12-24,2021,12,24,4,0,0,0,0,1,0,0,1,0.8666666666666667,57.041666666666664,6.154166666666666,0.47333333333333333,8.745833333333332,12.7,3.6,0.0,8.899999999999999,2021-12-24
2021-12-25,2021,12,25,5,0,0,0,0,0,1,0,0,1.9666666666666666,70.41666666666667,7.6875,0.3545833333333334,9.045833333333333,15.3,4.5,2.0,4.999999999999999,2021-12-25
2021-12-26,2021,12,26,6,0,0,0,0,0,0,1,0,3.4791666666666674,35.25,2.7791666666666663,0.46374999999999994,3.883333333333333,8.6,0.4,0.0,8.5,2021-12-26
2021-12-27,2021,12,27,0,1,0,0,0,0,0,0,1,1.0708333333333333,39.541666666666664,2.8375000000000004,0.4766666666666666,3.9583333333333326,9.5,-0.8,0.0,9.3,2021-12-27
2021-12-28,2021,12,28,1,0,1,0,0,0,0,0,1,1.4333333333333333,48.666666666666664,3.725,0.48708333333333337,4.645833333333334,9.3,0.2,0.0,9.200000000000001,2021-12-28
2021-12-29,2021,12,29,2,0,0,1,0,0,0,0,1,0.7083333333333335,54.041666666666664,4.445833333333334,0.43541666666666673,4.883333333333334,8.5,1.6,0.0,8.0,2021-12-29
2021-12-30,2021,12,30,3,0,0,0,1,0,0,0,1,1.1416666666666668,52.916666666666664,4.945833333333334,0.4575,7.225000000000001,13.5,1.5,0.0,8.0,2021-12-30
2021-12-31,2021,12,31,4,0,0,0,0,1,0,0,1,2.3708333333333336,51.25,4.016666666666667,0.2625,3.6041666666666665,7.9,0.3,0.0,3.8,2021-12-31
2022-01-01,2022,1,1,5,0,0,0,0,0,1,0,0,2.420833333333333,32.666666666666664,2.4708333333333328,0.5070833333333333,3.595833333333333,7.8,-0.7,0.0,9.4,2022-01-01
2022-01-02,2022,1,2,6,0,0,0,0,0,0,1,0,1.1375000000000004,51.041666666666664,4.091666666666667,0.42250000000000004,4.1875,7.9,0.8,0.0,6.3,2022-01-02
2022-01-03,2022,1,3,0,1,0,0,0,0,0,0,1,1.229166666666667,55.291666666666664,4.908333333333332,0.4629166666666667,6.3875,10.8,2.7,0.0,9.100000000000001,2022-01-03
2022-01-04,2022,1,4,1,0,1,0,0,0,0,0,1,2.2416666666666667,56.958333333333336,4.854166666666667,0.48999999999999994,5.779166666666668,13.2,2.2,0.0,9.100000000000001,2022-01-04
2022-01-05,2022,1,5,2,0,0,1,0,0,0,0,1,2.858333333333334,36.291666666666664,2.9458333333333333,0.5054166666666666,4.499999999999999,8.5,1.6,0.0,9.3,2022-01-05
2022-01-06,2022,1,6,3,0,0,0,1,0,0,0,1,1.1750000000000003,71.75,4.541666666666667,0.07666666666666667,0.804166666666667,2.2,-1.0,4.0,0.0,2022-01-06
2022-01-07,2022,1,7,4,0,0,0,0,1,0,0,1,2.3541666666666665,65.58333333333333,4.466666666666666,0.5075,3.1374999999999997,8.1,-2.1,0.0,9.3,2022-01-07
2022-01-08,2022,1,8,5,0,0,0,0,0,1,0,0,0.9083333333333333,51.583333333333336,4.3,0.49333333333333335,5.808333333333333,9.9,1.5,0.0,9.3,2022-01-08
2022-01-09,2022,1,9,6,0,0,0,0,0,0,1,0,0.6208333333333332,53.791666666666664,4.820833333333333,0.47333333333333333,7.8999999999999995,14.0,1.7,0.0,8.4,2022-01-09
2022-01-10,2022,1,10,0,1,0,0,0,0,0,0,0,1.3291666666666668,60.083333333333336,6.320833333333333,0.15,7.937499999999999,9.5,6.8,0.0,2.2,2022-01-10
2022-01-11,2022,1,11,1,0,1,0,0,0,0,0,1,1.0458333333333334,90.0,8.229166666666666,0.06416666666666666,6.1916666666666655,7.6,4.8,12.5,0.0,2022-01-11
2022-01-12,2022,1,12,2,0,0,1,0,0,0,0,1,2.475000000000001,48.791666666666664,4.233333333333333,0.52625,5.737500000000001,8.9,3.4,0.0,9.5,2022-01-12
2022-01-13,2022,1,13,3,0,0,0,1,0,0,0,1,1.6249999999999998,43.041666666666664,3.945833333333333,0.4970833333333333,6.066666666666666,11.1,3.0,0.0,7.3,2022-01-13
2022-01-14,2022,1,14,4,0,0,0,0,1,0,0,1,3.1875,38.666666666666664,3.1041666666666665,0.5333333333333333,5.154166666666668,9.2,1.5,0.0,9.6,2022-01-14
2022-01-15,2022,1,15,5,0,0,0,0,0,1,0,0,1.9000000000000001,38.625,3.495833333333333,0.4429166666666666,6.149999999999999,10.5,1.4,0.0,7.800000000000001,2022-01-15
2022-01-16,2022,1,16,6,0,0,0,0,0,0,1,0,0.5583333333333332,59.625,5.404166666666666,0.5112500000000001,6.691666666666669,11.3,1.5,0.0,9.6,2022-01-16
2022-01-17,2022,1,17,0,1,0,0,0,0,0,0,1,0.8791666666666665,58.625,5.379166666666666,0.395,7.116666666666666,10.7,3.5,0.0,6.800000000000001,2022-01-17
2022-01-18,2022,1,18,1,0,1,0,0,0,0,0,1,3.141666666666667,39.708333333333336,3.304166666666666,0.5433333333333333,5.349999999999999,9.4,2.4,0.0,9.6,2022-01-18
2022-01-19,2022,1,19,2,0,0,1,0,0,0,0,1,1.0875000000000001,43.166666666666664,3.4124999999999996,0.4024999999999999,4.933333333333334,9.2,1.2,0.0,8.1,2022-01-19
2022-01-20,2022,1,20,3,0,0,0,1,0,0,0,1,1.9416666666666664,53.375,4.045833333333333,0.5075,4.2458333333333345,8.6,0.1,0.0,8.9,2022-01-20
2022-01-21,2022,1,21,4,0,0,0,0,1,0,0,1,2.5916666666666663,43.041666666666664,3.183333333333334,0.5566666666666668,3.741666666666667,9.0,0.1,0.0,9.5,2022-01-21
2022-01-22,2022,1,22,5,0,0,0,0,0,1,0,0,1.3375000000000001,42.583333333333336,3.5375,0.5579166666666666,5.754166666666667,10.3,1.1,0.0,9.8,2022-01-22
2022-01-23,2022,1,23,6,0,0,0,0,0,0,1,0,1.3916666666666668,53.125,4.6416666666666675,0.2841666666666667,5.320833333333333,7.5,1.8,0.0,1.2,2022-01-23
2022-01-24,2022,1,24,0,1,0,0,0,0,0,0,1,2.3833333333333333,53.791666666666664,5.133333333333333,0.42666666666666675,7.2458333333333345,10.5,3.9,0.0,8.8,2022-01-24
2022-01-25,2022,1,25,1,0,1,0,0,0,0,0,1,0.6791666666666667,56.041666666666664,4.95,0.49333333333333335,6.020833333333333,9.1,2.5,0.0,6.9,2022-01-25
2022-01-26,2022,1,26,2,0,0,1,0,0,0,0,1,1.2500000000000002,82.25,7.425,0.28208333333333335,6.287499999999998,9.5,3.9,0.0,4.9,2022-01-26
2022-01-27,2022,1,27,3,0,0,0,1,0,0,0,1,2.7416666666666667,54.666666666666664,5.029166666666666,0.5320833333333334,7.216666666666665,11.2,3.7,0.0,8.3,2022-01-27
2022-01-28,2022,1,28,4,0,0,0,0,1,0,0,1,2.629166666666667,41.333333333333336,4.020833333333333,0.40750000000000003,7.054166666666667,10.5,4.6,0.0,6.000000000000001,2022-01-28
2022-01-29,2022,1,29,5,0,0,0,0,0,1,0,0,1.5833333333333333,48.208333333333336,4.479166666666666,0.44791666666666674,6.291666666666667,9.5,4.0,0.0,4.0,2022-01-29
2022-01-30,2022,1,30,6,0,0,0,0,0,0,1,0,2.775,44.458333333333336,3.8458333333333337,0.32625,5.395833333333333,8.2,2.9,0.0,3.4,2022-01-30
2022-01-31,2022,1,31,0,1,0,0,0,0,0,0,1,3.1124999999999994,36.583333333333336,3.1166666666666667,0.6141666666666666,5.270833333333333,9.4,1.6,0.0,9.9,2022-01-31
2022-02-01,2022,2,1,1,0,1,0,0,0,0,0,1,1.2458333333333333,45.25,4.108333333333333,0.5941666666666666,6.320833333333334,11.8,1.6,0.0,9.8,2022-02-01
2022-02-02,2022,2,2,2,0,0,1,0,0,0,0,1,1.6208333333333336,45.458333333333336,3.9500000000000006,0.6,6.645833333333332,11.4,2.9,0.0,9.9,2022-02-02
2022-02-03,2022,2,3,3,0,0,0,1,0,0,0,1,1.1041666666666665,42.25,3.7708333333333326,0.5495833333333333,6.6000000000000005,12.0,1.6,0.0,7.8999999999999995,2022-02-03
2022-02-04,2022,2,4,4,0,0,0,0,1,0,0,1,1.5291666666666668,48.625,4.224999999999999,0.31124999999999997,5.8125,8.3,3.3,0.0,3.5000000000000004,2022-02-04
2022-02-05,2022,2,5,5,0,0,0,0,0,1,0,0,2.3208333333333333,45.666666666666664,3.5208333333333335,0.5245833333333333,3.8708333333333336,8.7,0.7,0.0,5.9,2022-02-05
2022-02-06,2022,2,6,6,0,0,0,0,0,0,1,0,1.3750000000000002,44.541666666666664,3.1374999999999997,0.515,3.220833333333333,9.4,-0.7,0.0,5.299999999999999,2022-02-06
2022-02-07,2022,2,7,0,1,0,0,0,0,0,0,1,1.9291666666666665,36.583333333333336,2.933333333333333,0.6370833333333332,4.862500000000001,9.7,0.0,0.0,8.7,2022-02-07
2022-02-08,2022,2,8,1,0,1,0,0,0,0,0,1,1.2625000000000002,53.791666666666664,4.825,0.3766666666666667,5.620833333333333,8.5,3.2,0.0,5.0,2022-02-08
2022-02-09,2022,2,9,2,0,0,1,0,0,0,0,1,2.1166666666666667,50.833333333333336,4.716666666666666,0.64625,6.658333333333332,10.1,2.9,0.0,9.4,2022-02-09
2022-02-10,2022,2,10,3,0,0,0,1,0,0,0,1,2.2833333333333337,88.375,6.358333333333334,0.0725,2.3666666666666667,5.5,0.9,21.5,0.0,2022-02-10
2022-02-11,2022,2,11,4,0,0,0,0,1,0,0,0,1.9750000000000005,77.79166666666667,6.191666666666666,0.6425,4.591666666666666,8.8,1.2,2.0,9.8,2022-02-11
2022-02-12,2022,2,12,5,0,0,0,0,0,1,0,0,0.5916666666666667,62.208333333333336,5.162499999999999,0.6200000000000001,5.983333333333333,9.5,1.2,0.0,9.4,2022-02-12
2022-02-13,2022,2,13,6,0,0,0,0,0,0,1,0,1.5708333333333329,85.25,6.591666666666668,0.11374999999999998,3.5041666666666664,4.9,1.2,15.0,0.0,2022-02-13
2022-02-14,2022,2,14,0,1,0,0,0,0,0,0,1,1.6916666666666667,78.04166666666667,6.125,0.3804166666666666,4.416666666666667,7.6,1.4,3.5,4.3999999999999995,2022-02-14
2022-02-15,2022,2,15,1,0,1,0,0,0,0,0,1,0.8166666666666668,72.83333333333333,6.483333333333334,0.4579166666666667,6.029166666666666,11.3,2.5,0.0,5.6,2022-02-15
2022-02-16,2022,2,16,2,0,0,1,0,0,0,0,1,1.5916666666666661,61.25,5.537500000000001,0.5283333333333332,6.516666666666667,11.8,2.5,0.0,6.1000000000000005,2022-02-16
2022-02-17,2022,2,17,3,0,0,0,1,0,0,0,1,2.1499999999999995,34.041666666666664,2.8208333333333333,0.6779166666666666,5.2041666666666675,10.4,2.0,0.0,7.6000000000000005,2022-02-17
2022-02-18,2022,2,18,4,0,0,0,0,1,0,0,1,2.2083333333333335,39.75,3.6541666666666663,0.7345833333333333,6.537499999999999,11.0,2.3,0.0,10.5,2022-02-18
2022-02-19,2022,2,19,5,0,0,0,0,0,1,0,0,1.2249999999999999,70.29166666666667,6.1916666666666655,0.3120833333333333,5.595833333333332,9.3,2.0,2.5,0.8999999999999999,2022-02-19
2022-02-20,2022,2,20,6,0,0,0,0,0,0,1,0,2.2500000000000004,78.54166666666667,7.3166666666666655,0.1979166666666667,5.895833333333333,9.4,2.5,7.5,0.0,2022-02-20
2022-02-21,2022,2,21,0,1,0,0,0,0,0,0,1,2.9291666666666667,34.416666666666664,2.7750000000000004,0.6999999999999998,4.679166666666666,9.7,1.4,0.0,10.600000000000001,2022-02-21
2022-02-22,2022,2,22,1,0,1,0,0,0,0,0,1,2.1333333333333333,37.625,3.120833333333333,0.7483333333333332,4.9625,9.6,1.3,0.0,9.100000000000001,2022-02-22
2022-02-23,2022,2,23,2,0,0,1,0,0,0,0,0,2.1999999999999997,38.416666666666664,3.1249999999999996,0.7312499999999998,5.1125,9.6,1.3,0.0,9.9,2022-02-23
2022-02-24,2022,2,24,3,0,0,0,1,0,0,0,1,3.5875000000000004,33.791666666666664,2.8166666666666664,0.7570833333333334,5.091666666666667,9.8,1.8,0.0,8.4,2022-02-24
2022-02-25,2022,2,25,4,0,0,0,0,1,0,0,1,1.45,33.875,3.0958333333333337,0.7954166666666667,7.466666666666666,13.0,1.6,0.0,10.700000000000001,2022-02-25
2022-02-26,2022,2,26,5,0,0,0,0,0,1,0,0,1.3291666666666664,47.333333333333336,5.262500000000001,0.7695833333333333,9.379166666666666,14.3,3.9,0.0,10.700000000000001,2022-02-26
2022-02-27,2022,2,27,6,0,0,0,0,0,0,1,0,2.808333333333333,44.541666666666664,5.049999999999999,0.7645833333333333,9.849999999999998,17.5,5.2,0.0,10.700000000000001,2022-02-27
2022-02-28,2022,2,28,0,1,0,0,0,0,0,0,1,1.5458333333333336,40.208333333333336,4.766666666666666,0.7604166666666666,10.491666666666665,15.7,4.9,0.0,8.3,2022-02-28
2022-03-01,2022,3,1,1,0,1,0,0,0,0,0,1,1.6708333333333334,50.916666666666664,6.562500000000001,0.67125,11.579166666666666,17.0,6.1,0.0,7.6,2022-03-01
2022-03-02,2022,3,2,2,0,0,1,0,0,0,0,1,1.979166666666667,55.125,7.2,0.5729166666666666,11.712499999999999,15.3,8.5,3.0,4.6,2022-03-02
2022-03-03,2022,3,3,3,0,0,0,1,0,0,0,1,2.075,66.08333333333333,7.670833333333334,0.7379166666666669,10.054166666666665,14.2,6.7,0.0,7.3,2022-03-03
2022-03-04,2022,3,4,4,0,0,0,0,1,0,0,1,1.8083333333333336,47.625,5.179166666666665,0.64125,8.775,12.0,5.6,0.0,7.3,2022-03-04
2022-03-05,2022,3,5,5,0,0,0,0,0,1,0,0,2.3333333333333335,56.5,7.091666666666668,0.7787499999999999,11.837500000000004,17.3,6.1,0.0,10.8,2022-03-05
2022-03-06,2022,3,6,6,0,0,0,0,0,0,1,0,3.1916666666666664,33.5,3.6,0.7408333333333332,8.533333333333333,14.3,5.1,0.0,8.5,2022-03-06
2022-03-07,2022,3,7,0,1,0,0,0,0,0,0,1,2.3749999999999996,34.708333333333336,3.754166666666667,0.7904166666666668,8.9875,13.4,4.7,0.0,10.9,2022-03-07
2022-03-08,2022,3,8,1,0,1,0,0,0,0,0,1,1.9208333333333336,72.41666666666667,6.912500000000001,0.1491666666666667,6.4750000000000005,7.9,4.7,0.0,0.0,2022-03-08
2022-03-09,2022,3,9,2,0,0,1,0,0,0,0,1,1.2708333333333335,58.708333333333336,6.0,0.7808333333333334,8.9875,13.2,4.4,0.0,9.9,2022-03-09
2022-03-10,2022,3,10,3,0,0,0,1,0,0,0,1,0.7999999999999999,57.041666666666664,6.283333333333334,0.7137500000000001,10.070833333333335,13.8,5.0,0.0,10.0,2022-03-10
2022-03-11,2022,3,11,4,0,0,0,0,1,0,0,1,1.5,59.75,8.108333333333333,0.7954166666666668,12.6,17.1,6.6,0.0,10.299999999999999,2022-03-11
2022-03-12,2022,3,12,5,0,0,0,0,0,1,0,0,1.116666666666667,47.541666666666664,7.520833333333335,0.8341666666666668,16.033333333333335,22.2,9.9,0.0,10.9,2022-03-12
2022-03-13,2022,3,13,6,0,0,0,0,0,0,1,0,1.2833333333333334,65.04166666666667,10.758333333333333,0.6179166666666667,15.549999999999999,19.1,10.9,0.0,5.3,2022-03-13
2022-03-14,2022,3,14,0,1,0,0,0,0,0,0,1,1.6833333333333333,69.625,13.145833333333334,0.8333333333333334,17.15833333333333,24.2,9.1,0.0,9.700000000000001,2022-03-14
2022-03-15,2022,3,15,1,0,1,0,0,0,0,0,1,1.8958333333333337,66.45833333333333,9.329166666666666,0.7270833333333333,13.695833333333335,20.0,8.3,0.0,8.4,2022-03-15
2022-03-16,2022,3,16,2,0,0,1,0,0,0,0,1,1.2625,62.791666666666664,10.279166666666665,0.6558333333333334,14.77083333333333,19.2,11.9,0.0,8.6,2022-03-16
2022-03-17,2022,3,17,3,0,0,0,1,0,0,0,1,0.9458333333333333,62.333333333333336,9.883333333333333,0.7275,15.274999999999997,19.5,11.0,0.5,7.5,2022-03-17
2022-03-18,2022,3,18,4,0,0,0,0,1,0,0,1,2.629166666666667,90.125,8.079166666666666,0.07916666666666666,5.758333333333334,9.3,4.0,38.5,0.0,2022-03-18
2022-03-19,2022,3,19,5,0,0,0,0,0,1,0,0,2.025,82.41666666666667,9.791666666666666,0.6675,12.108333333333333,18.7,7.7,16.0,7.4,2022-03-19
2022-03-20,2022,3,20,6,0,0,0,0,0,0,1,0,2.0208333333333335,60.0,6.891666666666665,0.6979166666666666,11.120833333333332,15.0,6.3,0.0,8.2,2022-03-20
2022-03-21,2022,3,21,0,1,0,0,0,0,0,0,0,1.1125,62.125,7.308333333333333,0.63,10.429166666666665,13.9,6.9,0.0,2.8000000000000003,2022-03-21
2022-03-22,2022,3,22,1,0,1,0,0,0,0,0,1,1.9625000000000001,90.75,7.408333333333334,0.11958333333333333,4.2625,9.8,2.3,15.0,0.0,2022-03-22
2022-03-23,2022,3,23,2,0,0,1,0,0,0,0,1,1.5416666666666667,66.20833333333333,5.524999999999999,0.6820833333333335,6.108333333333333,10.2,1.5,0.0,6.1000000000000005,2022-03-23
2022-03-24,2022,3,24,3,0,0,0,1,0,0,0,1,1.3875000000000002,72.79166666666667,7.624999999999999,0.8933333333333334,9.549999999999999,14.2,3.4,1.0,9.5,2022-03-24
2022-03-25,2022,3,25,4,0,0,0,0,1,0,0,1,1.3416666666666666,55.25,7.445833333333333,0.8891666666666665,13.204166666666667,18.9,7.3,0.0,11.2,2022-03-25
2022-03-26,2022,3,26,5,0,0,0,0,0,1,0,0,2.25,78.5,14.341666666666663,0.20458333333333326,15.93333333333333,18.7,11.7,2.0,0.0,2022-03-26
2022-03-27,2022,3,27,6,0,0,0,0,0,0,1,0,2.1999999999999997,72.875,13.304166666666665,0.5104166666666666,16.833333333333332,21.5,12.4,1.0,1.3000000000000003,2022-03-27
2022-03-28,2022,3,28,0,1,0,0,0,0,0,0,1,2.4375,49.75,7.4875,0.7870833333333334,14.320833333333338,18.7,11.5,0.0,7.0,2022-03-28
2022-03-29,2022,3,29,1,0,1,0,0,0,0,0,1,1.4208333333333334,54.25,6.7625,0.12375000000000001,10.695833333333333,11.5,9.9,0.0,0.0,2022-03-29
2022-03-30,2022,3,30,2,0,0,1,0,0,0,0,1,1.3124999999999998,76.08333333333333,12.608333333333333,0.6795833333333334,14.779166666666669,18.6,10.1,0.0,4.6,2022-03-30
