ポイント番号,名称,単位,フロア別,用途別,部門別,クラスタリング対象,BL対象,2F4F空調
312000997,EHP6-1 6F南西系統室外機,kWh,6,空調,専有,1,0,0
312000998,EHP6-2 6F南東系統室外機,kWh,6,空調,専有,1,2,0
312000999,EHP6-3 6Fﾍﾟﾘ南西系統室,kWh,6,空調,専有,1,0,0
312001000,1F北系統室内機,kWh,1,空調,専有,0,0,0
312001001,1F南系統室内機,kWh,1,空調,専有,0,0,0
312001002,1F共用部系統室内機,kWh,共用,空調,共用,0,0,0
312001003,2F北系統室内機,kWh,2,空調,専有,0,0,0
312001004,2F南系統室内機,kWh,2,空調,専有,0,0,0
312001005,2F共用部系統室内機,kWh,共用,空調,共用,0,0,0
312001006,3F北系統室内機,kWh,3,空調,専有,0,0,0
312001007,3F南系統室内機,kWh,3,空調,専有,0,0,0
312001008,3F共用部室内機,kWh,共用,空調,共用,0,0,0
312001009,4F北系統室内機,kWh,4,空調,専有,0,0,0
312001010,4F南系統室内機,kWh,4,空調,専有,0,0,0
312001011,4F共用部系統室内機,kWh,共用,空調,共用,0,0,0
312001012,5F南系統室内機 電力量,kWh,5,空調,専有,0,0,0
312001013,5F共用部室内機 電力量,kWh,共用,空調,共用,0,0,0
312001014,6F南系統室内機 電力量,kWh,6,空調,専有,0,0,0
312001015,6F共用部室内機 電力量,kWh,共用,空調,共用,0,0,0
312001016,1F 南側電灯電力量1,kWh,1,照明,専有,0,0,0
312001017,1F 南側電灯電力量2,kWh,1,照明,専有,0,0,0
312001018,1F 南側OA電力量1,kWh,1,OA機器,専有,0,0,0
312001019,1F 南側OA電力量2,kWh,1,OA機器,専有,0,0,0
312001020,1F 北側電灯電力量1,kWh,1,照明,専有,0,0,0
312001021,1F 北側電灯電力量2,kWh,1,照明,専有,0,0,0
312001022,1F 北側電灯電力量3,kWh,1,照明,専有,0,0,0
312001023,1F 北側OA電力量1,kWh,1,OA機器,専有,0,0,0
312001024,1F 北側OA電力量2,kWh,1,OA機器,専有,0,0,0
312001025,1F 北側OA電力量3,kWh,1,OA機器,専有,0,0,0
312001026,1F ｴﾝﾄﾗﾝｽ 屋外機電力量,kWh,データ無,データ無,データ無,0,0,0
312001027,1F 事務室1 屋外機電力量,kWh,データ無,データ無,データ無,0,0,0
312001028,1F 事務室2 屋外機電力量,kWh,データ無,データ無,データ無,0,0,0
312001029,1F ｺﾝﾋﾟｭｰﾀ室 屋外機電力,kWh,1,空調,専有,0,0,0
312001030,1F 倉庫3　電力量,kWh,1,OA機器,専有,0,0,0
312001031,1F ｺﾝﾋﾟｭｰﾀ室 電力量,kWh,1,OA機器,専有,0,0,0
312001032,1F ﾏｲｸﾛﾊﾞｯｸｽ室電力量,kWh,1,OA機器,専有,0,0,0
312001033,1F ｺﾝﾋﾟｭｰﾀ室UPS電力量,kWh,1,OA機器,専有,0,0,0
312001034,2F 南側電灯電力量1,kWh,2,照明,専有,0,0,0
312001035,2F 南側電灯電力量2,kWh,2,照明,専有,0,0,0
312001036,2F 南側電灯電力量3,kWh,2,照明,専有,0,0,0
312001037,2F 南側電灯電力量4,kWh,2,照明,専有,0,0,0
312001038,2F 南側OA電力量1,kWh,2,OA機器,専有,0,0,0
312001039,2F 南側OA電力量2,kWh,2,OA機器,専有,0,0,0
312001040,2F 南側OA電力量3,kWh,2,OA機器,専有,0,0,0
312001041,2F 南側OA電力量4,kWh,2,OA機器,専有,0,0,0
312001042,2F 北側電灯電力量1,kWh,2,照明,専有,0,0,0
312001043,2F 北側電灯電力量2,kWh,2,照明,専有,0,0,0
312001044,2F 北側電灯電力量3,kWh,2,照明,専有,0,0,0
312001045,2F 北側電灯電力量4,kWh,2,照明,専有,0,0,0
312001046,2F 北側OA電力量1,kWh,2,OA機器,専有,0,0,0
312001047,2F 北側OA電力量2,kWh,2,OA機器,専有,0,0,0
312001048,2F 北側OA電力量3,kWh,2,OA機器,専有,0,0,0
312001049,2F 北側OA電力量4,kWh,2,OA機器,専有,0,0,0
312001050,2F 事務室1 屋外機電力量,kWh,,データ無,専有,0,0,0
312001051,2F 事務室2 屋外機電力量,kWh,,データ無,専有,0,0,0
312001052,3F 事務室1 屋外機電力量,kWh,,データ無,専有,0,0,0
312001053,3F 事務室2 屋外機電力量,kWh,,データ無,専有,0,0,0
312001054,3F OA室 屋外機電力量,kWh,,データ無,専有,0,0,0
312001055,3F 南側電灯電力量1,kWh,3,照明,専有,0,0,0
312001056,3F 南側電灯電力量2,kWh,3,照明,専有,0,0,0
312001057,3F 南側電灯電力量3,kWh,3,照明,専有,0,0,0
312001058,3F 南側電灯電力量4,kWh,3,照明,専有,0,0,0
312001059,3F 南側OA電力量1,kWh,3,OA機器,専有,0,0,0
312001060,3F 南側OA電力量2,kWh,3,OA機器,専有,0,0,0
312001061,3F 南側OA電力量3,kWh,3,OA機器,専有,0,0,0
312001062,3F 南側OA電力量4,kWh,3,OA機器,専有,0,0,0
312001063,3F 北側電灯電力量1,kWh,3,照明,専有,0,0,0
312001064,3F 北側電灯電力量2,kWh,3,照明,専有,0,0,0
312001065,3F 北側電灯電力量3,kWh,3,照明,専有,0,0,0
312001066,3F 北側電灯電力量4,kWh,3,照明,専有,0,0,0
312001067,3F 北側OA電力量1,kWh,3,OA機器,専有,0,0,0
312001068,3F 北側OA電力量2,kWh,3,OA機器,専有,0,0,0
312001069,3F 北側OA電力量3,kWh,3,OA機器,専有,0,0,0
312001070,3F 北側OA電力量4,kWh,3,OA機器,専有,0,0,0
312001071,4F 事務室1 屋外機電力量,kWh,4,データ無,専有,0,0,0
312001072,4F 事務室2 屋外機電力量,kWh,4,データ無,専有,0,0,0
312001073,4F 南側電灯電力量1,kWh,4,照明,専有,0,0,0
312001074,4F 南側電灯電力量2,kWh,4,照明,専有,0,0,0
312001075,4F 南側電灯電力量3,kWh,4,照明,専有,0,0,0
312001076,4F 南側電灯電力量4,kWh,4,照明,専有,0,0,0
312001077,4F 南側OA電力量1,kWh,4,OA機器,専有,0,0,0
312001078,4F 南側OA電力量2,kWh,4,OA機器,専有,0,0,0
312001079,4F 南側OA電力量3,kWh,4,OA機器,専有,0,0,0
312001080,4F 南側OA電力量4,kWh,4,OA機器,専有,0,0,0
312001081,4F 北側電灯電力量1,kWh,4,照明,専有,0,0,0
312001082,4F 北側電灯電力量2,kWh,4,照明,専有,0,0,0
312001083,4F 北側電灯電力量3,kWh,4,照明,専有,0,0,0
312001084,4F 北側電灯電力量4,kWh,4,照明,専有,0,0,0
312001085,4F 北側OA電力量1,kWh,4,OA機器,専有,0,0,0
312001086,4F 北側OA電力量2,kWh,4,OA機器,専有,0,0,0
312001087,4F 北側OA電力量3,kWh,4,OA機器,専有,0,0,0
312001088,4F 北側OA電力量4,kWh,4,OA機器,専有,0,0,0
312001089,5F 外気処理ﾕﾆｯﾄ1 電力量,kWh,,データ無,専有,0,0,0
312001090,5F 外気処理ﾕﾆｯﾄ2 電力量,kWh,,データ無,専有,0,0,0
312001091,5F 事務室1 屋外機電力量,kWh,,データ無,専有,0,0,0
312001092,5F 南側電灯電力量1,kWh,5,照明,専有,0,0,0
312001093,5F 南側電灯電力量2,kWh,5,照明,専有,0,0,0
312001094,5F 南側電灯電力量3,kWh,5,照明,専有,0,0,0
312001095,5F 南側電灯電力量4,kWh,5,照明,専有,0,0,0
312001096,5F 南側OA電力量1,kWh,5,OA機器,専有,0,0,0
312001097,5F 南側OA電力量2,kWh,5,OA機器,専有,0,0,0
312001098,5F 南側OA電力量3,kWh,5,OA機器,専有,0,0,0
312001099,5F 南側OA電力量4,kWh,5,OA機器,専有,0,0,0
312001100,P-1 電力量,kWh,1,空調,専有,0,0,0
312001101,5F ｽﾀｼﾞｵ用電力量1,kWh,5,空調,専有,0,0,0
312001102,5F ｽﾀｼﾞｵ用電力量2,kWh,5,照明,専有,0,0,0
312001103,KWH 5F 三相三線 ﾎﾞｲﾗｰ室,kWh,,データ無,専有,0,0,0
312001104,6F 事務室1 屋外機電力量,kWh,,データ無,専有,0,0,0
312001105,6F 外気処理ﾕﾆｯﾄ 電力量,kWh,,データ無,専有,0,0,0
312001106,6F 南側電灯電力量,kWh,6,照明,専有,0,0,0
312001107,6F 南側OA電力量,kWh,6,OA機器,専有,0,0,0
312001108,3～5F OA盤(南)電力量,kWh,共用,OA機器,共用,0,0,0
312001109,2～4F OA盤(北)電力量,kWh,共用,OA機器,共用,0,0,0
312001110,1F マシン室OA盤電力量,kWh,共用,OA機器,共用,0,0,0
312001111,KWH 自動販売機電力量,kWh,その他,その他,その他,0,0,0
